Global Rank,Institution,Country,Sector,Best Country Quartile
1,Chinese Academy of Sciences *,CHN,Government,1
2,Ministry of Education of the People's Republic of China,CHN,Government,1
3,Centre National de la Recherche Scientifique *,FRA,Government,1
4,Harvard University *,USA,Universities,1
5,University of Chinese Academy of Sciences,CHN,Universities,1
6,Tsinghua University *,CHN,Universities,1
7,Harvard Medical School,USA,Universities,1
8,Zhejiang University *,CHN,Universities,1
9,Helmholtz Gemeinschaft *,DEU,Government,1
10,Google International LLC,MUL,Companies,1
11,Russian Academy of Sciences *,RUS,Government,1
12,U.S. Department of Health & Human Services *,USA,Health,1
13,Shanghai Jiao Tong University *,CHN,Universities,1
14,National Institutes of Health,USA,Health,1
15,DeepMind,MUL,Companies,1
16,Peking University *,CHN,Universities,1
17,Stanford University *,USA,Universities,1
18,"DeepMind Technologies Ltd, UK",GBR,Companies,1
19,Facebook Inc *,MUL,Companies,1
20,State Grid Corporation of China *,CHN,Companies,1
21,University of Oxford *,GBR,Universities,1
22,American Cancer Society,USA,Health,1
23,The New York Genome Center,USA,Health,1
24,Johns Hopkins University *,USA,Universities,1
25,Consejo Superior de Investigaciones Cientificas *,ESP,Government,1
26,University College London *,GBR,Universities,1
27,Alphabet Inc *,MUL,Companies,1
28,Parker Institute for Cancer Immunotherapy,USA,Health,1
29,Institut National de la Sante et de la Recherche Medicale *,FRA,Health,1
30,Massachusetts Institute of Technology *,USA,Universities,1
31,University of Toronto,CAN,Universities,1
32,University of Washington *,USA,Universities,1
33,"University of Michigan, Ann Arbor *",USA,Universities,1
34,Huazhong University of Science and Technology *,CHN,Universities,1
35,Microsoft Corp *,MUL,Companies,1
36,University of Pennsylvania *,USA,Universities,1
37,European Bioinformatics Institute EMBL,GBR,Government,1
38,"Google Inc, USA",USA,Companies,1
39,Allen Institute for Artificial Intelligence,USA,Non-Profit,1
40,Veterans Affairs Medical Centers *,USA,Health,1
41,Cornell University *,USA,Universities,1
42,Max Planck Gesellschaft *,DEU,Government,1
43,Baidu Inc *,MUL,Companies,1
44,Columbia University *,USA,Universities,1
45,Universidade de Sao Paulo *,BRA,Universities,1
46,"Adobe Research, USA",USA,Companies,1
47,University of Cambridge *,GBR,Universities,1
48,"University of California, Los Angeles *",USA,Universities,1
49,University of Melbourne *,AUS,Universities,1
50,Sichuan University *,CHN,Universities,1
51,Samsung Corp *,MUL,Companies,1
52,National University of Singapore *,SGP,Universities,1
53,National Center for Biotechnology Information,USA,Government,1
54,Imperial College London,GBR,Universities,1
55,NVIDIA Corp,USA,Companies,1
56,Sun Yat-Sen University *,CHN,Universities,1
57,"University of California, San Diego *",USA,Universities,1
58,Central South University *,CHN,Universities,1
59,"Facebook Inc, United States",USA,Companies,1
60,Whitehead Institute for Biomedical Research,USA,Health,1
61,Yale University *,USA,Universities,1
62,Fudan University *,CHN,Universities,1
63,Tencent America Llc,USA,Companies,1
64,University of Amsterdam *,NLD,Universities,1
65,"University of California, Berkeley *",USA,Universities,1
66,"University of California, San Francisco *",USA,Universities,1
67,University of Sydney *,AUS,Universities,1
68,Massachusetts General Hospital,USA,Health,1
69,Broad Institute of MIT and Harvard,USA,Health,1
70,Harbin Institute of Technology,CHN,Universities,1
71,Howard Hughes Medical Institute *,USA,Health,1
72,Inception Institute of Artificial Intelligence,ARE,Non-Profit,1
73,"Microsoft Research Asia, China",CHN,Companies,1
74,Mayo Clinic *,USA,Health,1
75,Xi'an Jiaotong University *,CHN,Universities,1
76,Instituto de Salud Carlos III *,ESP,Health,1
77,University of Chicago *,USA,Universities,1
78,IBM United States,USA,Companies,1
79,National Library of Medicine,USA,Health,1
80,IBM Research *,MUL,Companies,1
81,Tianjin University *,CHN,Universities,1
82,University of New South Wales *,AUS,Universities,1
83,"Monash University, Melbourne *",AUS,Universities,1
84,Assistance Publique Hopitaux de Paris *,FRA,Health,1
85,Duke University *,USA,Universities,1
86,Johns Hopkins Medicine,USA,Health,1
87,"Microsoft, USA",USA,Companies,1
88,Huawei Technologies Co Ltd *,MUL,Companies,1
89,"University of North Carolina, Chapel Hill *",USA,Universities,1
90,"Ragon Institute of MGH, MIT and Harvard",USA,Health,1
91,International Agency for Research on Cancer,FRA,Health,1
92,Brigham and Women's Hospital *,USA,Health,1
93,"Baidu Inc, United States",USA,Companies,1
93,"Microsoft, China",CHN,Companies,1
95,Sorbonne Universite *,FRA,Universities,1
96,Adobe Inc *,MUL,Companies,1
97,The University of Queensland *,AUS,Universities,1
98,University of Tokyo *,JPN,Universities,1
99,Centres de Recerca de Catalunya *,ESP,Non-Profit,1
100,Wuhan University *,CHN,Universities,1
101,"Northwestern University, Evanston *",USA,Universities,1
102,NEC Corporation of America,USA,Companies,1
103,South China University of Technology,CHN,Universities,1
104,New York University *,USA,Universities,1
105,Vrije Universiteit Amsterdam *,NLD,Universities,1
106,Ludwig Institute for Cancer Research Lausanne,CHE,Health,1
107,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
108,"University of Minnesota, Twin Cities *",USA,Universities,1
109,Seoul National University *,KOR,Universities,1
110,Consiglio Nazionale delle Ricerche *,ITA,Government,1
111,Jilin University *,CHN,Universities,1
112,"Southeast University, Nanjing *",CHN,Universities,1
113,Nanyang Technological University *,SGP,Universities,1
114,Tongji University *,CHN,Universities,1
115,Shandong University *,CHN,Universities,1
116,"University of Wisconsin, Madison *",USA,Universities,1
117,Utrecht University *,NLD,Universities,1
118,Swiss Federal Institute of Technology,CHE,Universities,1
119,European Molecular Biology Laboratory Heidelberg,DEU,Government,1
120,"Ohio State University, Columbus *",USA,Universities,1
121,Kings College London,GBR,Universities,1
122,University of Electronic Science and Technology of China *,CHN,Universities,1
123,University of Science and Technology of China *,CHN,Universities,1
124,Tencent Holdings Ltd *,MUL,Companies,1
125,Singapore Immunology Network,SGP,Government,1
126,Medical Research Council,GBR,Health,1
127,Sarah Cannon Research Institute,USA,Health,1
128,National Institute of Allergy and Infectious Diseases,USA,Health,1
129,University of Copenhagen,DNK,Universities,1
130,The University of Edinburgh *,GBR,Universities,1
131,Catholic University of Leuven,BEL,Universities,1
132,"Adobe Inc, USA",USA,Companies,1
133,"Intel Labs, USA",USA,Companies,1
134,BeiHang University *,CHN,Universities,1
135,Regeneron Pharmaceuticals Inc *,USA,Companies,1
136,Dana Farber Cancer Institute ,USA,Health,1
137,McGill University *,CAN,Universities,1
138,European Molecular Biology Organization *,DEU,Government,1
139,"University of California, Davis *",USA,Universities,1
140,University of Florida *,USA,Universities,1
141,Mount Sinai Health System *,USA,Health,1
142,Memorial Sloan-Kettering Cancer Center,USA,Health,1
143,The University of British Columbia,CAN,Universities,1
144,Stanford Medicine,USA,Health,1
145,University of Pennsylvania Health System,USA,Health,1
146,Scripps Research Institute,USA,Health,1
147,Chan Zuckerberg Biohub,USA,Health,1
148,University of Pittsburgh *,USA,Universities,1
149,Leibniz Gemeinschaft *,DEU,Government,1
150,Universite de Paris Cite *,FRA,Universities,1
151,The University of Manchester *,GBR,Universities,1
152,Genentech Inc,USA,Companies,1
153,University of Southern California *,USA,Universities,1
154,"Amazon.com, Inc *",MUL,Companies,1
154,University of Illinois at Urbana-Champaign *,USA,Universities,1
156,Washington University in Saint Louis *,USA,Universities,1
157,"Microsoft Research Redmond, USA",USA,Companies,1
158,Pennsylvania State University *,USA,Universities,1
159,Ludwig Institute for Cancer Research *,USA,Health,1
160,Wellcome Trust Sanger Institute,GBR,Health,1
161,F Hoffmann-La Roche *,MUL,Companies,1
162,University of Texas M.D. Anderson Cancer Center ,USA,Health,1
163,Technische Universitat Munchen *,DEU,Universities,1
164,"University of Texas, Austin",USA,Universities,1
165,Yale University Health & Medicine,USA,Health,1
166,Universite Paris-Saclay *,FRA,Universities,1
167,The Chinese University of Hong Kong *,HKG,Universities,1
168,Emory University *,USA,Universities,1
169,Weill Cornell Medicine,USA,Universities,1
170,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government,1
171,Mitsubishi Electric Research Laboratories,USA,Companies,1
172,National Cancer Institute,USA,Health,1
173,"Hoffmann-La Roche Ltd, United States",USA,Companies,1
174,Karolinska Institute,SWE,Universities,1
175,"Novartis Institutes for Biomedical Research, United States",USA,Companies,1
176,Wellcome Trust,GBR,Health,1
177,Toyota Group *,MUL,Companies,1
178,J. David Gladstone Institutes,USA,Health,1
179,Columbia University Irving Medical Center,USA,Health,1
180,Max Planck Institut fur Informatik,DEU,Government,1
181,"Samsung Electronics, South Korea",KOR,Companies,1
182,Nanjing University *,CHN,Universities,1
183,"Mitsubishi Electric Corp, USA",USA,Companies,1
184,Cold Spring Harbor Laboratory,USA,Health,1
185,Beijing Institute of Technology,CHN,Universities,1
186,IBM Switzerland,CHE,Companies,1
187,Ministry of Agriculture,CHN,Government,1
188,Universitat de Barcelona *,ESP,Universities,1
189,University of Groningen *,NLD,Universities,1
190,Vanderbilt University *,USA,Universities,1
191,Universita degli Studi di Milano,ITA,Universities,1
192,Purdue University,USA,Universities,1
193,Universita degli Studi di Roma La Sapienza,ITA,Universities,1
194,Zhengzhou University *,CHN,Universities,1
195,Georgia Institute of Technology *,USA,Universities,1
196,Taiwan Semiconductor Manufacturing Company Ltd.,TWN,Companies,1
197,Boston University *,USA,Universities,1
198,Cancer Research UK,GBR,Health,1
199,Erasmus University Rotterdam *,NLD,Universities,1
200,Chinese Academy of Agricultural Sciences *,CHN,Government,1
201,Qualcomm Inc *,MUL,Companies,1
202,Carnegie Mellon University *,USA,Universities,1
203,Intel Corp *,MUL,Companies,1
204,LG Corporation *,MUL,Companies,1
205,Universidad Nacional Autonoma de Mexico,MEX,Universities,1
206,Northwestern Polytechnical University,CHN,Universities,1
207,University of Alberta,CAN,Universities,1
208,"Tencent Holdings Ltd, China",CHN,Companies,1
209,Universitat Autonoma de Barcelona *,ESP,Universities,1
210,Ericsson *,MUL,Companies,1
211,Nokia Corp *,MUL,Companies,1
212,Academisch Medisch Centrum,NLD,Health,1
213,Ericsson Sweden,SWE,Companies,1
214,Leiden University *,NLD,Universities,1
215,Yonsei University *,KOR,Universities,1
216,"Rutgers, The State University of New Jersey",USA,Universities,1
217,The University of Hong Kong *,HKG,Universities,1
218,"Huawei Technologies Ltd, Germany",DEU,Companies,1
219,Institute for Health Metrics and Evaluation,USA,Health,1
220,Centers for Disease Control and Prevention,USA,Health,1
221,"Baidu Inc, China",CHN,Companies,1
222,AstraZeneca *,MUL,Companies,1
223,United States Department of Agriculture,USA,Government,1
224,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government,1
225,Frederick National Laboratory for Cancer Research,USA,Health,1
226,Aarhus University *,DNK,Universities,1
227,Dalian University of Technology *,CHN,Universities,1
228,NEC Corp *,MUL,Companies,1
229,Polish Academy of Sciences *,POL,Government,1
230,"Intel Corp, USA",USA,Companies,1
231,Wistar Institute,USA,Health,1
232,"Huawei Software Technology Co Ltd, China",CHN,Companies,1
233,Icahn School of Medicine at Mount Sinai,USA,Universities,1
234,"Soochow University, Suzhou *",CHN,Universities,1
235,IBM Thomas J Watson Research Center,USA,Companies,1
236,Washington University Medical Center ,USA,Health,1
237,Chongqing University,CHN,Universities,1
238,Vector Institute for Artificial Intelligence,CAN,Non-Profit,1
239,"Samsung Research, South Korea",KOR,Companies,1
240,Salk Institute for Biological Studies,USA,Health,1
241,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities,1
241,University of Helsinki,FIN,Universities,1
243,Ghent University,BEL,Universities,1
244,UCSF Helen Diller Family Comprehensive Cancer Center,USA,Health,1
245,Gilead Sciences *,MUL,Companies,1
246,"Microsoft, United Kingdom",GBR,Companies,1
247,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government,1
248,University of Liverpool *,GBR,Universities,1
249,Universitat Zurich,CHE,Universities,1
250,"University of Maryland, College Park *",USA,Universities,1
251,"Qualcomm Inc, USA",USA,Companies,1
252,UCLA Health System,USA,Health,1
253,Deutsches Krebsforschungszentrum,DEU,Government,1
254,Singapore-MIT Alliance,SGP,Government,1
255,Sanford Burnham Prebys Medical Discovery Institute,USA,Health,1
256,Universita degli Studi di Napoli Federico II,ITA,Universities,1
257,Vall d’Hebron Instituto de Oncologia,ESP,Health,1
258,Bristol-Myers Squibb Company *,MUL,Companies,1
259,Woodruff Health Sciences Center,USA,Health,1
260,"Texas A&M University, College Station *",USA,Universities,1
261,Cleveland Clinic *,USA,Health,1
262,"University of California, Irvine *",USA,Universities,1
262,Biogen Inc *,MUL,Companies,1
