Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Centre National de la Recherche Scientifique *,FRA,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,Harvard University *,USA,Universities
5,Harvard Medical School,USA,Universities
6,Helmholtz Gemeinschaft *,DEU,Government
7,National Institutes of Health *,USA,Health
8,Massachusetts Institute of Technology *,USA,Universities
9,Stanford University *,USA,Universities
10,Google Inc.,USA,Companies
11,Russian Academy of Sciences *,RUS,Government
12,Johns Hopkins University *,USA,Universities
13,Tsinghua University *,CHN,Universities
14,University of Oxford,GBR,Universities
15,"Facebook, Inc.",USA,Companies
16,Max Planck Gesellschaft *,DEU,Government
17,"University of Michigan, Ann Arbor *",USA,Universities
18,University College London,GBR,Universities
19,University of Washington *,USA,Universities
20,University of Toronto,CAN,Universities
21,Consejo Superior de Investigaciones Cientificas *,ESP,Government
22,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
23,University of Pennsylvania *,USA,Universities
24,Howard Hughes Medical Institute *,USA,Health
25,The University of Hong Kong *,HKG,Universities
25,Veterans Affairs Medical Centers *,USA,Health
27,American Cancer Society,USA,Health
28,"University of California, Los Angeles *",USA,Universities
29,Peking University *,CHN,Universities
30,Zhejiang University *,CHN,Universities
31,Shanghai Jiao Tong University *,CHN,Universities
32,Whitehead Institute for Biomedical Research,USA,Health
33,University of Cambridge *,GBR,Universities
34,Columbia University *,USA,Universities
35,"University of California, San Diego *",USA,Universities
36,Broad Institute of MIT and Harvard,USA,Health
37,Microsoft Corp *,MUL,Companies
38,"Microsoft, USA",USA,Companies
39,"University of California, Berkeley *",USA,Universities
40,Cornell University *,USA,Universities
41,Massachusetts General Hospital,USA,Health
42,"University of California, San Francisco *",USA,Universities
43,University of Tokyo *,JPN,Universities
44,Samsung Corp *,MUL,Companies
45,Yale University *,USA,Universities
46,Imperial College London,GBR,Universities
47,National University of Singapore *,SGP,Universities
48,Duke University *,USA,Universities
49,Regeneron Pharmaceuticals Inc,USA,Companies
50,Universidade de Sao Paulo,BRA,Universities
51,Brigham and Women's Hospital,USA,Health
52,"University of Wisconsin, Madison *",USA,Universities
53,University of Melbourne,AUS,Universities
54,"University of Minnesota, Twin Cities *",USA,Universities
55,University of Sydney,AUS,Universities
56,Swiss Federal Institute of Technology,CHE,Universities
