Global Rank,Institution,Country,Sector
1,Facebook Inc *,MUL,Companies
1,"Facebook Inc, United States",USA,Companies
3,Centre National de la Recherche Scientifique *,FRA,Government
4,Chinese Academy of Sciences *,CHN,Government
5,Harvard University *,USA,Universities
6,Ministry of Education of the People's Republic of China,CHN,Government
7,Google International LLC,MUL,Companies
8,"Google Inc, USA",USA,Companies
9,Harvard Medical School,USA,Universities
10,Helmholtz Gemeinschaft *,DEU,Government
11,U.S. Department of Health and Human Services *,USA,Government
12,Stanford University *,USA,Universities
13,National Institutes of Health,USA,Health
14,Max Planck Gesellschaft *,DEU,Government
15,University of Oxford,GBR,Universities
16,Microsoft Corp *,MUL,Companies
17,Johns Hopkins University *,USA,Universities
18,Russian Academy of Sciences *,RUS,Government
19,"Microsoft, USA",USA,Companies
20,University of Washington *,USA,Universities
21,University College London *,GBR,Universities
22,"University of Michigan, Ann Arbor *",USA,Universities
23,"Microsoft Research, Asia",CHN,Companies
24,"Microsoft Research, Cambridge",GBR,Companies
25,Massachusetts Institute of Technology *,USA,Universities
26,Columbia University *,USA,Universities
27,University of Pennsylvania *,USA,Universities
28,Consejo Superior de Investigaciones Cientificas *,ESP,Government
29,University of Cambridge *,GBR,Universities
30,University of Toronto,CAN,Universities
31,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
32,"University of California, Los Angeles *",USA,Universities
33,Cornell University *,USA,Universities
34,Veterans Affairs Medical Centers *,USA,Health
35,Yale University *,USA,Universities
36,"University of California, San Diego *",USA,Universities
37,Sorbonne Universite *,FRA,Universities
38,"University of California, Berkeley *",USA,Universities
39,Imperial College London,GBR,Universities
40,Duke University *,USA,Universities
41,University of Melbourne *,AUS,Universities
42,"University of California, San Francisco *",USA,Universities
43,Tsinghua University *,CHN,Universities
44,University of Sydney,AUS,Universities
45,Universite de Paris *,FRA,Universities
46,Universidade de Sao Paulo *,BRA,Universities
47,University of Chinese Academy of Sciences,CHN,Universities
48,Peking University *,CHN,Universities
49,Assistance Publique Hopitaux de Paris *,FRA,Health
50,University of Tokyo *,JPN,Universities
51,"Northwestern University, Evanston *",USA,Universities
52,Mayo Clinic *,USA,Health
53,"University of Wisconsin, Madison *",USA,Universities
54,New York University *,USA,Universities
55,Massachusetts General Hospital,USA,Health
56,The University of British Columbia,CAN,Universities
57,University of Copenhagen,DNK,Universities
58,"Ohio State University, Columbus *",USA,Universities
59,Brigham and Women's Hospital,USA,Health
60,"University of Maryland, Baltimore",USA,Universities
61,"University of North Carolina, Chapel Hill *",USA,Universities
62,University of Amsterdam *,NLD,Universities
63,Baidu Inc *,MUL,Companies
63,"Baidu Inc, China",CHN,Companies
65,The University of Queensland *,AUS,Universities
66,Kings College London,GBR,Universities
67,The University of Edinburgh *,GBR,Universities
68,"University of California, Davis *",USA,Universities
69,"Monash University, Melbourne *",AUS,Universities
70,Pennsylvania State University *,USA,Universities
71,"University of Minnesota, Twin Cities *",USA,Universities
72,University of Chicago *,USA,Universities
73,Utrecht University *,NLD,Universities
74,University of Florida *,USA,Universities
75,University of Pittsburgh *,USA,Universities
