Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Centre National de la Recherche Scientifique *,FRA,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,Tsinghua University *,CHN,Universities
5,Microsoft Corp *,MUL,Companies
6,Google International LLC,MUL,Companies
7,"Google Inc, USA",USA,Companies
8,"Microsoft, USA",USA,Companies
9,Alphabet Inc *,MUL,Companies
10,Facebook Inc *,MUL,Companies
11,"Facebook Inc, United States",USA,Companies
12,Massachusetts Institute of Technology *,USA,Universities
13,Carnegie Mellon University *,USA,Universities
14,Stanford University *,USA,Universities
15,Institut National de Recherche en Informatique et en Automatique *,FRA,Government
16,DeepMind Technologies Ltd,GBR,Companies
17,Shanghai Jiao Tong University *,CHN,Universities
18,Harbin Institute of Technology,CHN,Universities
19,IBM Research *,MUL,Companies
20,Zhejiang University *,CHN,Universities
21,BeiHang University *,CHN,Universities
22,"University of California, Berkeley *",USA,Universities
23,Nanyang Technological University *,SGP,Universities
24,"Microsoft Research, Asia",CHN,Companies
25,University of Electronic Science and Technology of China,CHN,Universities
26,Swiss Federal Institute of Technology,CHE,Universities
27,Huazhong University of Science and Technology *,CHN,Universities
28,IBM United States,USA,Companies
29,Beijing University of Posts and Telecommunications,CHN,Universities
30,"Southeast University, Nanjing *",CHN,Universities
31,Georgia Institute of Technology *,USA,Universities
32,Xidian University,CHN,Universities
33,Helmholtz Gemeinschaft *,DEU,Government
34,Technische Universitat Munchen *,DEU,Universities
35,"University of Michigan, Ann Arbor *",USA,Universities
36,National University of Singapore *,SGP,Universities
37,Samsung Corp *,MUL,Companies
38,University of Chinese Academy of Sciences,CHN,Universities
39,University of Oxford,GBR,Universities
40,Max Planck Gesellschaft *,DEU,Government
41,University of Washington *,USA,Universities
42,NVIDIA Corp,USA,Companies
42,Imperial College London,GBR,Universities
43,State Grid Corporation of China *,CHN,Companies
44,Peking University *,CHN,Universities
45,Xi'an Jiaotong University *,CHN,Universities
46,University of Illinois at Urbana-Champaign *,USA,Universities
47,"University of California, San Diego *",USA,Universities
48,Ecole Polytechnique Federale de Lausanne,CHE,Universities
49,Northwestern Polytechnical University,CHN,Universities
50,Cornell University *,USA,Universities
51,"University of Texas, Austin",USA,Universities
52,Nokia Corp *,MUL,Companies
53,The Chinese University of Hong Kong *,HKG,Universities
