Global Rank,Institution,Country,Sector
1,Centre National de la Recherche Scientifique *,FRA,Government
2,Chinese Academy of Sciences *,CHN,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,"Google Inc, USA",USA,Companies
5,Google International LLC,MUL,Companies
6,Tsinghua University *,CHN,Universities
7,Facebook Inc *,MUL,Companies
8,"Facebook Inc, United States",USA,Companies
9,"Microsoft Research, Asia",CHN,Companies
10,Microsoft Corp *,MUL,Companies
11,Russian Academy of Sciences *,RUS,Government
12,Massachusetts Institute of Technology *,USA,Universities
13,Alphabet Inc *,MUL,Companies
14,"Microsoft, USA",USA,Companies
15,Institut National de Recherche en Informatique et en Automatique *,FRA,Government
16,Stanford University *,USA,Universities
17,IBM Research *,MUL,Companies
18,"Siemens Healthineers, USA",USA,Companies
19,Helmholtz Gemeinschaft *,DEU,Government
20,Wellcome Trust Sanger Institute,GBR,Health
21,Harbin Institute of Technology,CHN,Universities
22,Shanghai Jiao Tong University *,CHN,Universities
23,Samsung Corp *,MUL,Companies
24,State Grid Corporation of China *,CHN,Companies
25,IBM United States,USA,Companies
26,Swiss Federal Institute of Technology,CHE,Universities
27,European Molecular Biology Laboratory Heidelberg,DEU,Government
28,NTT Docomo Inc,JPN,Companies
29,University of Electronic Science and Technology of China,CHN,Universities
30,Huawei Technologies Co Ltd *,MUL,Companies
31,Mitsubishi Corp *,MUL,Companies
32,"University of California, Berkeley *",USA,Universities
33,Max Planck Gesellschaft *,DEU,Government
34,Nokia Corp *,MUL,Companies
35,European Molecular Biology Organization *,DEU,Government
36,University of Oxford,GBR,Universities
37,Alcatel-Lucent,MUL,Companies
38,Mitsubishi Electric Research Laboratories,USA,Companies
39,"Nokia, Finland",FIN,Companies
40,JECRC University,IND,Universities
41,"Siemens AG, USA",USA,Companies
42,"Southeast University, Nanjing *",CHN,Universities
43,"Microsoft Research, Cambridge",GBR,Companies
44,Imperial College London,GBR,Universities
45,Harvard University *,USA,Universities
46,"Alcatel-Lucent, United States",USA,Companies
47,Technische Universitat Munchen *,DEU,Universities
48,Broad Institute of MIT and Harvard,USA,Health
49,Zhejiang University *,CHN,Universities
50,BeiHang University *,CHN,Universities
51,Mitsubishi Electric Corp,MUL,Companies
52,Huazhong University of Science and Technology *,CHN,Universities
53,"Huawei Software Technology Co Ltd, China",CHN,Companies
54,"Samsung Electronics, South Korea",KOR,Companies
55,Sorbonne Universite *,FRA,Universities
56,Carnegie Mellon University *,USA,Universities
57,Nanyang Technological University *,SGP,Universities
58,Fraunhofer Gesellschaft *,DEU,Government
59,Siemens *,MUL,Companies
60,Toyota Group *,MUL,Companies
61,"University of Michigan, Ann Arbor *",USA,Universities
62,IMEC International,BEL,Companies
63,"University of California, San Diego *",USA,Universities
64,Xi'an Jiaotong University *,CHN,Universities
65,University of Cambridge *,GBR,Universities
66,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
