Global Rank,Institution,Country,Sector
1,Harvard University *,USA,Universities
2,Harvard Medical School,USA,Universities
3,Veterans Affairs Medical Centers *,USA,Health
4,University of Toronto,CAN,Universities
5,Mayo Clinic *,USA,Health
6,Assistance Publique Hopitaux de Paris *,FRA,Health
7,Stanford University *,USA,Universities
8,Dana Farber Cancer Institute ,USA,Health
9,University of Washington *,USA,Universities
10,University Health Network *,CAN,Health
11,Massachusetts General Hospital,USA,Health
12,Copenhagen University Hospital,DNK,Health
13,Cleveland Clinic *,USA,Health
14,Johns Hopkins University *,USA,Universities
15,Duke University *,USA,Universities
16,University of Texas M.D. Anderson Cancer Center ,USA,Health
17,Brigham and Women's Hospital,USA,Health
18,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
19,University of Pennsylvania *,USA,Universities
20,"University of California, San Francisco *",USA,Universities
21,National Institutes of Health,USA,Health
22,Stanford Medicine,USA,Health
23,Fred Hutchinson Cancer Research Center,USA,Health
24,Duke Medicine,USA,Health
25,Johns Hopkins Medicine,USA,Health
26,Erasmus University Rotterdam *,NLD,Universities
27,Helmholtz Gemeinschaft *,DEU,Government
28,Erasmus Medical Center,NLD,Health
29,Deutsches Krebsforschungszentrum,DEU,Government
30,Cornell University *,USA,Universities
31,Chinese Academy of Sciences *,CHN,Government
32,Kings College London,GBR,Universities
33,University of Pennsylvania Health System,USA,Health
34,"University of Michigan, Ann Arbor *",USA,Universities
35,All India Institute of Medical Sciences,IND,Universities
36,"University of California, Los Angeles *",USA,Universities
37,"University of California, San Diego *",USA,Universities
38,Weill Cornell Medicine,USA,Universities
39,Karolinska Institute,SWE,Universities
40,University of Melbourne *,AUS,Universities
41,Samsung Corp *,MUL,Companies
42,Columbia University *,USA,Universities
43,University of Oxford,GBR,Universities
44,Yale University *,USA,Universities
45,Mount Sinai Health System *,USA,Health
46,CareGroup Healthcare System *,USA,Health
47,Beth Israel Deaconess Medical Center,USA,Health
48,Toronto Western Hospital,CAN,Health
49,German Cancer Consortium,DEU,Government
50,"Monash University, Melbourne *",AUS,Universities
51,Consejo Superior de Investigaciones Cientificas *,ESP,Government
52,Washington University in Saint Louis *,USA,Universities
53,Instituto de Investigacion Biomedica de Salamanca,ESP,Government
54,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
55,Universite de Paris *,FRA,Universities
56,U.S. Department of Health & Human Services *,USA,Health
57,Children's Hospital Boston  *,USA,Health
58,Vanderbilt University *,USA,Universities
59,University of Pittsburgh *,USA,Universities
60,University of Copenhagen,DNK,Universities
61,Universitat Heidelberg,DEU,Universities
62,"Northwestern University, Evanston *",USA,Universities
63,UCLA Health System,USA,Health
64,University College London *,GBR,Universities
65,Icahn School of Medicine at Mount Sinai,USA,Universities
66,New York University *,USA,Universities
67,The University of British Columbia,CAN,Universities
68,City of Hope,USA,Health
68,Universita degli Studi di Roma La Sapienza,ITA,Universities
69,Huazhong University of Science and Technology *,CHN,Universities
70,University of Iowa *,USA,Universities
70,"Ohio State University, Columbus *",USA,Universities
71,Case Western Reserve University,USA,Universities
