Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Tongji University *,CHN,Universities
3,"University of California, Berkeley *",USA,Universities
4,"University of California, San Diego *",USA,Universities
5,Delft University of Technology,NLD,Universities
6,Politecnico di Milano,ITA,Universities
7,Chinese Academy of Sciences *,CHN,Government
8,University College London *,GBR,Universities
9,Massachusetts Institute of Technology *,USA,Universities
10,"University of Michigan, Ann Arbor *",USA,Universities
11,Pennsylvania State University *,USA,Universities
12,Xi'an University of Architecture and Technology,CHN,Universities
13,Georgia Institute of Technology *,USA,Universities
14,Shanghai Jiao Tong University *,CHN,Universities
15,Centre National de la Recherche Scientifique *,FRA,Government
16,University of New South Wales,AUS,Universities
17,Hong Kong Polytechnic University,HKG,Universities
18,Universitat Politecnica de Catalunya *,ESP,Universities
19,Universita degli Studi di Roma La Sapienza,ITA,Universities
20,University of Cambridge *,GBR,Universities
21,Swiss Federal Institute of Technology,CHE,Universities
22,Harvard University *,USA,Universities
23,Universita degli Studi di Napoli Federico II,ITA,Universities
24,Universidad de Sevilla *,ESP,Universities
25,Catholic University of Leuven,BEL,Universities
26,Aalto University,FIN,Universities
27,National University of Singapore *,SGP,Universities
28,Harbin Institute of Technology,CHN,Universities
29,University of Virginia *,USA,Universities
30,Universidad Politecnica de Madrid *,ESP,Universities
30,Universitat Politecnica de Valencia *,ESP,Universities
31,Politecnico di Torino *,ITA,Universities
32,Universidade de Lisboa,PRT,Universities
33,"Southeast University, Nanjing *",CHN,Universities
34,University of Illinois at Urbana-Champaign *,USA,Universities
35,Tsinghua University *,CHN,Universities
36,Universita degli Studi di Firenze,ITA,Universities
37,Central South University *,CHN,Universities
38,Chongqing University,CHN,Universities
39,Eindhoven University of Technology,NLD,Universities
40,Universidade do Porto *,PRT,Universities
41,Istanbul Technical University,TUR,Universities
42,University of Tokyo *,JPN,Universities
43,Tianjin University *,CHN,Universities
44,Universidade do Minho,PRT,Universities
45,"Texas A&M University, College Station *",USA,Universities
46,Imperial College London,GBR,Universities
47,Technical University of Denmark,DNK,Universities
48,University of Nevada-Reno,USA,Universities
49,University of Melbourne *,AUS,Universities
50,Arizona State University,USA,Universities
51,University of Sydney,AUS,Universities
52,City University of Hong Kong *,HKG,Universities
53,Royal Melbourne Institute of Technology *,AUS,Universities
