Global Rank,Institution,Country,Sector
1,Assistance Publique Hopitaux de Paris *,FRA,Health
2,Harvard University *,USA,Universities
3,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
4,Harvard Medical School,USA,Universities
5,University of Pittsburgh *,USA,Universities
6,University of Toronto,CAN,Universities
7,Veterans Affairs Medical Centers *,USA,Health
8,Mayo Clinic *,USA,Health
9,University of Washington *,USA,Universities
10,University of Pennsylvania *,USA,Universities
11,Brigham and Women's Hospital,USA,Health
12,Johns Hopkins University *,USA,Universities
13,St Michaels Hospital Toronto,CAN,Health
14,Instituto de Salud Carlos III *,ESP,Health
15,Universite de Paris *,FRA,Universities
15,Stanford University *,USA,Universities
16,National Institutes of Health,USA,Health
17,Massachusetts General Hospital,USA,Health
18,"University of Michigan, Ann Arbor *",USA,Universities
19,"University of California, San Francisco *",USA,Universities
20,University of Pennsylvania Health System,USA,Health
21,University of Pittsburgh Health Sciences,USA,Universities
22,Vanderbilt University *,USA,Universities
23,Imperial College London,GBR,Universities
24,University of Amsterdam *,NLD,Universities
25,"GlaxoSmithKline, United States",USA,Companies
26,Hopital Erasme,BEL,Health
27,Universite Libre de Bruxelles,BEL,Universities
28,Erasmus University Rotterdam *,NLD,Universities
29,Erasmus Medical Center,NLD,Health
30,St Georges University of London,GBR,Universities
31,Vanderbilt University Medical Center,USA,Health
32,Copenhagen University Hospital,DNK,Health
33,Sorbonne Universite *,FRA,Universities
34,Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias,ESP,Health
35,Yale University *,USA,Universities
36,St Georges Healthcare NHS Trust,GBR,Health
37,Duke University *,USA,Universities
38,Academisch Medisch Centrum,NLD,Health
39,"Monash University, Melbourne *",AUS,Universities
40,GlaxoSmithKline *,MUL,Companies
41,"University of Colorado, Denver *",USA,Universities
42,Cornell University *,USA,Universities
43,Columbia University *,USA,Universities
44,Stanford Medicine,USA,Health
45,Johns Hopkins Medicine,USA,Health
46,Rabin Medical Center,ISR,Health
47,Samsung Corp *,MUL,Companies
48,The University of Queensland *,AUS,Universities
49,U.S. Department of Health & Human Services *,USA,Health
50,University of Pittsburgh Medical Center ,USA,Health
50,Friedrich-Schiller-Universitat Jena *,DEU,Universities
50,Emory University *,USA,Universities
50,Yale University Health & Medicine,USA,Health
51,University of Chicago *,USA,Universities
52,Centre National de la Recherche Scientifique *,FRA,Government
53,Universita degli Studi di Milano,ITA,Universities
54,Catholic University of Leuven,BEL,Universities
55,University of Melbourne *,AUS,Universities
56,McMaster University,CAN,Universities
57,Universitat Hohenheim,DEU,Universities
58,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
59,Centre Hospitalier Universitaire Vaudois ,CHE,Health
60,University of Washington Medicine ,USA,Health
61,University of Florida *,USA,Universities
62,Hopitaux Universitaires de Strasbourg,FRA,Health
63,"University of Colorado, Anschutz Medical Campus",USA,Universities
64,Universitatsklinikum Jena,DEU,Health
65,Utrecht University *,NLD,Universities
66,Washington University in Saint Louis *,USA,Universities
66,The University of British Columbia,CAN,Universities
67,Columbia University Irving Medical Center,USA,Health
68,University College London *,GBR,Universities
69,Duke Medicine,USA,Health
70,"University of North Carolina, Chapel Hill *",USA,Universities
71,Vrije Universiteit Amsterdam *,NLD,Universities
72,Brown University,USA,Universities
73,Skane University Hospital,SWE,Health
74,Hospital Clinic i Provincial de Barcelona,ESP,Health
75,New York University *,USA,Universities
76,"University of Alabama, Birmingham *",USA,Universities
77,University of Copenhagen,DNK,Universities
78,University of Groningen *,NLD,Universities
79,University of Southampton,GBR,Universities
80,"Northwestern University, Evanston *",USA,Universities
81,Clalit Health Services *,ISR,Health
82,University Health Network *,CAN,Health
83,"University of California, San Diego *",USA,Universities
84,Cleveland Clinic *,USA,Health
85,"University of Maryland, Baltimore",USA,Universities
86,University Medical Center Utrecht,NLD,Health
87,Weill Cornell Medicine,USA,Universities
87,"Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias, Madrid",ESP,Health
88,VU University Medical Center,NLD,Health
88,University Hospitals Leuven,BEL,Health
89,Boston University *,USA,Universities
89,Radboud University Nijmegen Medical Centre,NLD,Health
90,Woodruff Health Sciences Center,USA,Health
91,Tel Aviv University,ISR,Universities
91,Institut d'Investigacions Biomediques August Pi i Sunyer,ESP,Health
92,Universitat de Barcelona *,ESP,Universities
93,University Medical Center Groningen,NLD,Health
94,Universitat Hamburg *,DEU,Universities
95,University of Sydney,AUS,Universities
96,Royal Brompton and Harefield NHS Foundation Trust,GBR,Health
97,Hospices Civils de Lyon *,FRA,Health
98,Medizinische Universitat Innsbruck *,AUT,Universities
99,Lunds University,SWE,Universities
100,U.S. Army *,USA,Government
100,Universite de Lausanne,CHE,Universities
101,Cincinnati Children's Hospital Medical Center,USA,Health
102,University of Cincinnati *,USA,Universities
103,Universitatsklinikum Hamburg Eppendorf,DEU,Health
104,Universidade de Sao Paulo *,BRA,Universities
105,The University of Manchester,GBR,Universities
106,Massachusetts Institute of Technology *,USA,Universities
107,Washington University Medical Center ,USA,Health
108,Cambridge University Hospitals NHS Foundation Trust,GBR,Health
109,University Hospital Brussels,BEL,Health
109,Georg-August-Universitat Gottingen,DEU,Universities
110,CareGroup Healthcare System *,USA,Health
110,Charite - Universitatsmedizin Berlin *,DEU,Health
111,Telethon Kids Institute,AUS,Health
112,Beth Israel Deaconess Medical Center,USA,Health
113,Universita Cattolica del Sacro Cuore,ITA,Universities
114,Providence Health Care,CAN,Health
115,Universitat Heidelberg,DEU,Universities
116,Universita degli Studi di Modena e Reggio Emilia,ITA,Universities
117,Kings College London,GBR,Universities
118,Universitat Autonoma de Barcelona *,ESP,Universities
119,Universite Paris-Saclay *,FRA,Universities
120,Montefiore Medical Center *,USA,Health
121,Universita degli Studi di Roma La Sapienza,ITA,Universities
121,NYU Langone Medical Center,USA,Health
122,Oregon Health & Science University *,USA,Universities
123,Queen's University Belfast,GBR,Universities
123,Albert Einstein College of Medicine,USA,Universities
124,University of Alberta,CAN,Universities
125,Central South University *,CHN,Universities
126,The University of Newcastle,AUS,Universities
127,The University of Edinburgh *,GBR,Universities
128,Medizinische Universitat Wien,AUT,Universities
129,"Ohio State University, Columbus *",USA,Universities
130,Boston University Medical Campus ,USA,Health
131,Instituto de Investigacion e Innovacion Parc Tauli,ESP,Health
132,"Fondazione IRCCS Ospedale Maggiore Policlinico, Mangiagalli e Regina Elena",ITA,Health
133,Zhejiang University *,CHN,Universities
133,University of Athens,GRC,Universities
134,University of Utah *,USA,Universities
134,Children's Hospital of Philadelphia,USA,Health
135,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
135,Children's Hospital Boston  *,USA,Health
136,Ghent University Hospital,BEL,Health
137,"University of California, Davis *",USA,Universities
138,Haukeland University Hospital,NOR,Health
139,Hospital Universitario Rio Hortega,ESP,Health
140,"China Medical University, Taichung *",TWN,Universities
141,Mount Sinai Health System *,USA,Health
141,Shahid Beheshti University of Medical Sciences and Health Services *,IRN,Universities
142,Attikon Athens University Hospital,GRC,Health
143,University of Southern California *,USA,Universities
144,University Hospital Southampton NHS Foundation Trust,GBR,Health
145,Keio University *,JPN,Universities
145,Vrije Universiteit Brussel,BEL,Universities
146,Denver Health Medical Center,USA,Health
147,Sunnybrook Health Sciences Centre,CAN,Health
148,Virginia Commonwealth University *,USA,Universities
149,"Queen Mary, University of London",GBR,Universities
150,Cliniques Universitaires Saint-Luc,BEL,Health
151,Medical University of South Carolina *,USA,Universities
152,Swansea University,GBR,Universities
153,"University of California, Irvine *",USA,Universities
154,Medizinische Hochschule Hannover,DEU,Universities
155,"University of Minnesota, Twin Cities *",USA,Universities
156,Hospital Clinico Universitario de Valladolid,ESP,Health
157,Hopitaux Universitaires de Geneve,CHE,Health
157,University of Western Ontario,CAN,Universities
158,University College London Hospital NHS Trust,GBR,Health
158,Universitatsspital Zurich,CHE,Health
159,"University of California, Los Angeles *",USA,Universities
160,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
160,University Hospital of Bern,CHE,Health
161,Trinity College Dublin *,IRL,Universities
162,University of Oxford,GBR,Universities
163,Karolinska Institute,SWE,Universities
164,"Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias, Barcelona",ESP,Health
164,The Ottawa Hospital  *,CAN,Health
165,University of Cincinnati Medical Center,USA,Health
166,Baylor Scott & White Health,USA,Health
167,The Central Hospital of Wuhan,CHN,Health
168,University of Michigan Health System,USA,Health
169,Northwestern Medicine,USA,Health
169,University of Calgary,CAN,Universities
170,Universitatsklinikum Ulm,DEU,Health
171,Shanghai Jiao Tong University *,CHN,Universities
172,Case Western Reserve University,USA,Universities
173,University of Leicester,GBR,Universities
174,Mount Sinai Hospital,USA,Health
174,Mount Sinai Hospital Joseph and Wolf Lebovic Health Complex,CAN,Health
175,Leiden University *,NLD,Universities
176,Baylor College of Medicine,USA,Universities
177,University of New South Wales,AUS,Universities
178,Hochschule Furtwangen,DEU,Universities
179,University of Surrey,GBR,Universities
180,Karolinska University Hospital,SWE,Health
181,Capital University of Medical Sciences,CHN,Universities
