Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,Tsinghua University *,CHN,Universities
5,"Google Inc, USA",USA,Companies
6,Google International LLC,MUL,Companies
7,Broad Institute of MIT and Harvard,USA,Health
8,Facebook Inc *,MUL,Companies
9,"Facebook Inc, United States",USA,Companies
10,Zhejiang University *,CHN,Universities
11,Harbin Institute of Technology,CHN,Universities
12,Shanghai Jiao Tong University *,CHN,Universities
13,Microsoft Corp *,MUL,Companies
14,"Microsoft, USA",USA,Companies
15,Alphabet Inc *,MUL,Companies
16,University of Chinese Academy of Sciences,CHN,Universities
17,State Grid Corporation of China *,CHN,Companies
18,Helmholtz Gemeinschaft *,DEU,Government
19,Massachusetts Institute of Technology *,USA,Universities
20,BeiHang University *,CHN,Universities
21,Huazhong University of Science and Technology *,CHN,Universities
22,"Southeast University, Nanjing *",CHN,Universities
23,Xi'an Jiaotong University *,CHN,Universities
24,Howard Hughes Medical Institute *,USA,Health
25,Inception Institute of Artificial Intelligence,ARE,Non-Profit
26,Tianjin University *,CHN,Universities
27,Nanyang Technological University *,SGP,Universities
28,University of Electronic Science and Technology of China,CHN,Universities
29,Peking University *,CHN,Universities
30,South China University of Technology,CHN,Universities
31,Samsung Corp *,MUL,Companies
32,Harvard University *,USA,Universities
33,Russian Academy of Sciences *,RUS,Government
34,National University of Singapore *,SGP,Universities
35,Stanford University *,USA,Universities
35,Beijing Institute of Technology,CHN,Universities
36,IBM United States,USA,Companies
37,Northwestern Polytechnical University,CHN,Universities
38,"Microsoft Research, Asia",CHN,Companies
39,Georgia Institute of Technology *,USA,Universities
40,IBM Research *,MUL,Companies
41,"University of California, Berkeley *",USA,Universities
42,NVIDIA Corp,USA,Companies
43,Memorial Sloan-Kettering Cancer Center,USA,Health
44,Imperial College London,GBR,Universities
45,Swiss Federal Institute of Technology,CHE,Universities
45,Tongji University *,CHN,Universities
46,Central South University *,CHN,Universities
47,University of Science and Technology of China,CHN,Universities
48,"Samsung Electronics, South Korea",KOR,Companies
49,"University of Michigan, Ann Arbor *",USA,Universities
50,Chongqing University,CHN,Universities
51,Dalian University of Technology,CHN,Universities
52,Wuhan University *,CHN,Universities
53,Delft University of Technology,NLD,Universities
54,Nanjing University of Aeronautics and Astronautics,CHN,Universities
55,Toyota Group *,MUL,Companies
56,Xidian University,CHN,Universities
57,Consejo Superior de Investigaciones Cientificas *,ESP,Government
58,LG Corporation *,MUL,Companies
59,University of Cambridge *,GBR,Universities
60,Jilin University *,CHN,Universities
61,Huawei Technologies Co Ltd *,MUL,Companies
62,Beijing University of Posts and Telecommunications,CHN,Universities
63,Baidu Inc *,MUL,Companies
64,National Institutes of Health,USA,Health
65,Sichuan University *,CHN,Universities
66,Fraunhofer Gesellschaft *,DEU,Government
66,Korea Advanced Institute of Science and Technology *,KOR,Universities
67,"University of California, San Diego *",USA,Universities
68,Consiglio Nazionale delle Ricerche *,ITA,Government
69,Carnegie Mellon University *,USA,Universities
70,Shandong University *,CHN,Universities
71,University of Illinois at Urbana-Champaign *,USA,Universities
72,Nokia Corp *,MUL,Companies
72,Seoul National University *,KOR,Universities
73,Children's Hospital Boston  *,USA,Health
74,Technische Universitat Munchen *,DEU,Universities
75,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
76,Max Planck Gesellschaft *,DEU,Government
77,Ecole Polytechnique Federale de Lausanne,CHE,Universities
77,University of Washington *,USA,Universities
78,University of Oxford,GBR,Universities
79,"University of Texas, Austin",USA,Universities
80,Purdue University,USA,Universities
81,"Nokia, Finland",FIN,Companies
82,National University of Defense Technology,CHN,Universities
83,University of Tokyo *,JPN,Universities
84,Brigham and Women's Hospital,USA,Health
84,"University of California, Los Angeles *",USA,Universities
85,"Baidu Inc, China",CHN,Companies
86,Intel Corp *,MUL,Companies
87,University of New South Wales,AUS,Universities
87,National Aeronautics and Space Administration *,USA,Government
87,Mitsubishi Corp *,MUL,Companies
88,Ericsson Sweden,SWE,Companies
89,University College London *,GBR,Universities
90,Mitsubishi Electric Research Laboratories,USA,Companies
91,Hunan University,CHN,Universities
92,University of Toronto,CAN,Universities
93,Cornell University *,USA,Universities
94,"Huawei Software Technology Co Ltd, China",CHN,Companies
94,Politecnico di Milano,ITA,Universities
95,"Intel Corp, USA",USA,Companies
96,Hong Kong Polytechnic University,HKG,Universities
97,City University of Hong Kong *,HKG,Universities
97,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
98,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government
99,Shenzhen University,CHN,Universities
99,Southwest Jiaotong University,CHN,Universities
99,Ericsson *,MUL,Companies
99,Weill Cornell Medicine,USA,Universities
100,Columbia University *,USA,Universities
101,Qualcomm Inc *,MUL,Companies
102,Sun Yat-Sen University *,CHN,Universities
103,"Qualcomm Inc, USA",USA,Companies
104,University of Science and Technology Beijing,CHN,Universities
105,Nanjing University of Science and Technology,CHN,Universities
106,Harvard Medical School,USA,Universities
107,Beijing Jiaotong University,CHN,Universities
108,Pennsylvania State University *,USA,Universities
109,Nanjing University *,CHN,Universities
110,Beijing National Laboratory for Molecular Sciences,CHN,Government
111,Wuhan University of Technology,CHN,Universities
112,UC San Diego Health System,USA,Health
113,Fudan University *,CHN,Universities
114,North China Electric Power University,CHN,Universities
114,Aalborg University *,DNK,Universities
115,Lawrence Berkeley National Laboratory *,USA,Government
116,The University of Manchester,GBR,Universities
117,"Agency for Science, Technology and Research Singapore *",SGP,Government
118,Shanghai Institutes for Biological Sciences Chinese Academy of Sciences,CHN,Government
119,Technical University of Denmark,DNK,Universities
120,Catholic University of Leuven,BEL,Universities
121,King Abdullah University of Science and Technology,SAU,Universities
121,"Northeastern University, China",CHN,Universities
122,University of Pennsylvania *,USA,Universities
122,"Northwestern University, Evanston *",USA,Universities
123,"Texas A&M University, College Station *",USA,Universities
124,China University of Mining and Technology,CHN,Universities
124,Arizona State University,USA,Universities
125,Royal Institute of Technology,SWE,Universities
126,"HP Inc, USA",USA,Companies
127,The Hong Kong University of Science and Technology,HKG,Universities
127,Virginia Polytechnic Institute and State University,USA,Universities
128,Karlsruher Institut fur Technologie,DEU,Universities
128,Hewlett Packard *,MUL,Companies
129,"University of Wisconsin, Madison *",USA,Universities
130,National Center for Nanoscience and Technology of China,CHN,Government
131,Tsinghua National Laboratory for Information Science and Technology,CHN,Government
132,Jiangsu University *,CHN,Universities
133,"Ohio State University, Columbus *",USA,Universities
133,The University of British Columbia,CAN,Universities
134,"Soochow University, Suzhou *",CHN,Universities
135,University of Southern California *,USA,Universities
136,"LG Electronics, South Korea",KOR,Companies
136,Korea University *,KOR,Universities
136,Mitsubishi Electric Corp,MUL,Companies
137,"Alcatel-Lucent, United States",USA,Companies
138,Sony Corp *,MUL,Companies
139,Johns Hopkins University *,USA,Universities
139,"University of Minnesota, Twin Cities *",USA,Universities
140,The Chinese University of Hong Kong *,HKG,Universities
141,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
142,University of Waterloo,CAN,Universities
143,Princeton University,USA,Universities
143,Alcatel-Lucent,MUL,Companies
144,Sorbonne Universite *,FRA,Universities
145,California Institute of Technology *,USA,Universities
