Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,University of Chinese Academy of Sciences,CHN,Universities
5,Tsinghua University *,CHN,Universities
6,Helmholtz Gemeinschaft *,DEU,Government
7,National Institutes of Health,USA,Health
8,"Samsung Electronics, South Korea",KOR,Companies
9,State University of Management,RUS,Universities
10,State Grid Corporation of China *,CHN,Companies
11,Samsung Corp *,MUL,Companies
12,Consejo Superior de Investigaciones Cientificas *,ESP,Government
13,Huaibei Normal University,CHN,Universities
14,Zhejiang University *,CHN,Universities
15,Joint BioEnergy Institute,USA,Government
16,"Institute of Psychology, Chinese Academy of Sciences",CHN,Government
17,Peking University *,CHN,Universities
18,United States Department of Agriculture,USA,Government
19,Beijing Normal University *,CHN,Universities
20,Medizinische Hochschule Hannover,DEU,Universities
21,Centers for Disease Control and Prevention,USA,Health
21,"Centro de Investigacion Biomedica en Red en Bioingenieria, Biomateriales y Nanomedicina",ESP,Health
22,Nanfang Hospital,CHN,Health
23,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
24,Kyiv National University of Trade and Economics,UKR,Universities
25,Merck *,MUL,Companies
26,Russian Academy of Sciences *,RUS,Government
27,Harvard University *,USA,Universities
28,Massachusetts Institute of Technology *,USA,Universities
28,Leibniz Gemeinschaft *,DEU,Government
29,National Institute of Allergy and Infectious Diseases,USA,Health
30,Stanford University *,USA,Universities
31,Toyota Group *,MUL,Companies
32,Tianjin University *,CHN,Universities
33,South China University of Technology,CHN,Universities
34,Harbin Institute of Technology,CHN,Universities
35,"University of California, Berkeley *",USA,Universities
36,U.S. Department of Health & Human Services *,USA,Health
37,"Merck & Co Inc, United States",USA,Companies
38,"Changchun Institute of Applied Chemistry, Chinese Academy of Sciences",CHN,Government
39,Korea Research Institute of Chemical Technology,KOR,Government
40,Wageningen University and Research Centre *,NLD,Universities
41,The General Hospital of the People's Liberation Army,CHN,Health
42,Instituto de Tecnologia Quimica,ESP,Government
43,Ministry of Agriculture,CHN,Government
44,Hunan University of Science and Engineering,CHN,Universities
45,United States Geological Survey,USA,Government
45,Shanghai Jiao Tong University *,CHN,Universities
46,"University of Wisconsin, Madison *",USA,Universities
47,University of Oxford,GBR,Universities
48,Flanders Interuniversity Institute for Biotechnology,BEL,Government
49,Huazhong University of Science and Technology *,CHN,Universities
50,Korea Research Institute of Bioscience and Biotechnology,KOR,Government
51,Kryvyi Rih National University,UKR,Universities
52,Tongji University *,CHN,Universities
53,The University of Queensland *,AUS,Universities
54,Deutsches Krebsforschungszentrum,DEU,Government
55,Rostov State Medical University,RUS,Universities
56,Consiglio Nazionale delle Ricerche *,ITA,Government
57,University of Washington *,USA,Universities
58,Instituto de Agroquimica y Tecnologia de Alimentos ,ESP,Government
59,National University of Singapore *,SGP,Universities
59,Nanjing University *,CHN,Universities
60,Max Planck Gesellschaft *,DEU,Government
61,Institute of Materials Research and Engineering,SGP,Government
61,Japan Science & Technology Agency,JPN,Government
62,University of Cambridge *,GBR,Universities
63,Shandong University *,CHN,Universities
64,Institut National des Sciences Appliquees de Toulouse *,FRA,Universities
64,Hunan University,CHN,Universities
65,Swiss Federal Institute of Technology,CHE,Universities
65,Leibniz Institut fur Katalyse,DEU,Government
66,Mayo Clinic *,USA,Health
67,"Northwestern University, Evanston *",USA,Universities
68,Shanghai Institute of Microsystem and Information Technology,CHN,Government
69,Sun Yat-Sen University *,CHN,Universities
69,"University of California, Davis *",USA,Universities
70,Central South University *,CHN,Universities
71,Collaborative Innovation Center of Chemical Science and Engineering,CHN,Government
72,"University of Michigan, Ann Arbor *",USA,Universities
73,"Dalian Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
74,University of Florida *,USA,Universities
74,US Environmental Protection Agency,USA,Government
75,"Institute of Biophysics, Chinese Academy of Sciences",CHN,Government
76,National Center for Nanoscience and Technology of China,CHN,Government
77,F Hoffmann-La Roche *,MUL,Companies
78,GlaxoSmithKline *,MUL,Companies
79,Jiangsu University *,CHN,Universities
80,Cornell University *,USA,Universities
81,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
81,Wuhan University *,CHN,Universities
82,Chinese Academy of Agricultural Sciences *,CHN,Government
82,Lawrence Livermore National Laboratory *,USA,Government
83,Dalian University of Technology,CHN,Universities
83,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government
84,"Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences",CHN,Government
85,Technical University of Denmark,DNK,Universities
86,Academy of Military Medical Sciences *,CHN,Health
87,National Aeronautics and Space Administration *,USA,Government
88,Sichuan University *,CHN,Universities
89,"University of Texas, Austin",USA,Universities
90,National Oceanic and Atmospheric Administration,USA,Government
90,Hohai University,CHN,Universities
91,Delft University of Technology,NLD,Universities
92,"Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
93,The University of British Columbia,CAN,Universities
94,Nankai University *,CHN,Universities
95,Pennsylvania State University *,USA,Universities
96,Imperial College London,GBR,Universities
97,Yale University *,USA,Universities
98,Columbia University *,USA,Universities
99,National Renewable Energy Laboratory,USA,Government
99,Xiangya Hospital Affiliated to Central South University,CHN,Health
100,King Abdullah University of Science and Technology,SAU,Universities
101,"Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences",CHN,Government
102,University College London *,GBR,Universities
103,Nanyang Technological University *,SGP,Universities
103,University of Illinois at Urbana-Champaign *,USA,Universities
104,Jiangnan University *,CHN,Universities
105,Chongqing University,CHN,Universities
106,Ecole Polytechnique Federale de Lausanne,CHE,Universities
107,Lawrence Berkeley National Laboratory *,USA,Government
107,University of New South Wales,AUS,Universities
108,Yanshan University,CHN,Universities
109,The First Affiliated Hospital of Zhejiang University,CHN,Health
109,University of Science and Technology of China,CHN,Universities
110,Utrecht University *,NLD,Universities
111,Ecole Nationale Superieure de Chimie de Montpellier *,FRA,Universities
112,Universidade de Sao Paulo *,BRA,Universities
112,Arizona State University,USA,Universities
113,China University of Geosciences,CHN,Universities
113,Xi'an Jiaotong University *,CHN,Universities
113,Beijing Institute of Technology,CHN,Universities
114,Institut Pasteur de Paris *,FRA,Health
115,China Petroleum and Chemical Corporation *,CHN,Companies
116,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
116,Howard Hughes Medical Institute *,USA,Health
117,Saint Petersburg State Institute of Technology,RUS,Universities
118,Technical Institute of Physics and Chemistry Chinese Academy of Sciences,CHN,Government
118,US Food and Drug Administration,USA,Government
118,Catholic University of Leuven,BEL,Universities
119,University of Virginia Health System,USA,Health
120,Oak Ridge National Laboratory,USA,Government
121,Financial University Under the Government of the Russian Federation,RUS,Universities
121,North Carolina State University,USA,Universities
122,Georgia Institute of Technology *,USA,Universities
122,Korea Institute of Energy Research,KOR,Government
122,"Institute of Coal Chemistry, Chinese Academy of Sciences",CHN,Government
123,"Xinjiang Technical Institute of Physics and Chemistry, Chinese Academy of Sciences",CHN,Government
124,Michigan State University,USA,Universities
124,University of Melbourne *,AUS,Universities
125,World Health Organization *,MUL,Health
125,University of Toronto,CAN,Universities
126,State Key Joint Laboratory of Environmental Simulation and Pollution Control,CHN,Government
126,University of Chicago *,USA,Universities
