Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,United States Department of Agriculture,USA,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,Chinese Academy of Forestry *,CHN,Government
5,Beijing Forestry University,CHN,Universities
6,University of Chinese Academy of Sciences,CHN,Universities
7,Tsinghua University *,CHN,Universities
8,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",CHN,Government
9,Swedish University of Agricultural Sciences,SWE,Universities
10,Stanford University *,USA,Universities
11,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit
12,Sun Yat-Sen University *,CHN,Universities
13,China Agricultural University,CHN,Universities
14,Centre National de la Recherche Scientifique *,FRA,Government
15,Harvard University *,USA,Universities
16,University of Florida *,USA,Universities
17,National Aeronautics and Space Administration *,USA,Government
18,Consejo Superior de Investigaciones Cientificas *,ESP,Government
19,Beijing Normal University *,CHN,Universities
20,Zhejiang University *,CHN,Universities
21,Basque Research and Technology Alliance *,ESP,Government
22,Northeast Forestry University,CHN,Universities
23,Jiangsu University *,CHN,Universities
24,Michigan State University,USA,Universities
25,Pennsylvania State University *,USA,Universities
26,South China Agricultural University,CHN,Universities
27,Wageningen University and Research Centre *,NLD,Universities
28,Ministry of Agriculture,CHN,Government
29,Universitat fur Bodenkultur Wien *,AUT,Universities
30,The University of British Columbia,CAN,Universities
31,Wuhan University *,CHN,Universities
32,Nanjing Forestry University,CHN,Universities
33,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
34,Consiglio Nazionale delle Ricerche *,ITA,Government
35,Universidade de Sao Paulo *,BRA,Universities
36,"University of California, Berkeley *",USA,Universities
37,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
38,University of Groningen *,NLD,Universities
39,Xi'an Jiaotong University *,CHN,Universities
40,National Engineering Research Center for Information Technology in Agriculture,CHN,Non-Profit
41,"Colorado State University, Fort Collins *",USA,Universities
42,University of Helsinki,FIN,Universities
43,Helmholtz Gemeinschaft *,DEU,Government
44,Universitat Hohenheim,DEU,Universities
45,"Swiss Federal Institute for Forest, Snow and Landscape Research",CHE,Government
46,Huazhong University of Science and Technology *,CHN,Universities
47,Oregon State University,USA,Universities
48,Natural Resources Canada,CAN,Government
49,National Oceanic and Atmospheric Administration,USA,Government
50,University of Illinois at Urbana-Champaign *,USA,Universities
51,"University of Nebraska, Lincoln",USA,Universities
52,Swiss Federal Institute of Technology,CHE,Universities
53,European Commission *,MUL,Government
54,Swinburne University of Technology *,AUS,Universities
55,Natural Resources Institute Finland,FIN,Government
56,California Institute of Technology *,USA,Universities
57,United States Geological Survey,USA,Government
58,Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria  *,ESP,Government
59,Technische Universitat Munchen *,DEU,Universities
60,"University of Wisconsin, Madison *",USA,Universities
61,Lancaster University,GBR,Universities
62,Northwest A and F University,CHN,Universities
63,University of Copenhagen,DNK,Universities
64,Jet Propulsion Laboratory,USA,Government
65,Kansas State University,USA,Universities
66,"University of Connecticut, Storrs *",USA,Universities
67,Institute of Remote Sensing and Digital Earth,CHN,Government
68,Czech University of Life Sciences Prague,CZE,Universities
69,Peking University *,CHN,Universities
70,China University of Geosciences,CHN,Universities
71,University of Washington *,USA,Universities
72,University of Melbourne *,AUS,Universities
73,North Carolina State University,USA,Universities
74,"National University of Ireland, Galway",IRL,Universities
75,Ghent University,BEL,Universities
76,"Monash University, Melbourne *",AUS,Universities
77,Center for International Forestry Research Indonesia,IDN,Non-Profit
78,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
79,The University of Queensland *,AUS,Universities
80,Center for International Forestry Research,MUL,Non-Profit
81,Lulea University of Technology,SWE,Universities
82,Cornell University *,USA,Universities
83,Albert-Ludwigs-Universitat Freiburg im Breisgau,DEU,Universities
84,University of Sydney,AUS,Universities
85,Aristotle University of Thessaloniki,GRC,Universities
86,Empresa Brasileira de Pesquisa Agropecuaria,BRA,Government
86,Universidade de Lisboa,PRT,Universities
86,Aberystwyth University,GBR,Universities
87,Universita degli Studi di Firenze,ITA,Universities
87,Max Planck Gesellschaft *,DEU,Government
88,Georg-August-Universitat Gottingen,DEU,Universities
89,Universidad Politecnica de Madrid *,ESP,Universities
90,The University of Hong Kong *,HKG,Universities
91,University of Aberdeen,GBR,Universities
92,City University of Hong Kong *,HKG,Universities
93,Northeast Institute of Geography and Agroecology Chinese Academy of Sciences,CHN,Government
94,Indiana University-Bloomington,USA,Universities
95,Iowa State University,USA,Universities
96,"University of California, Merced",USA,Universities
97,Nanjing Agricultural University,CHN,Universities
97,European Commission - Joint Research Centre,MUL,Government
97,Charles University *,CZE,Universities
98,"University of California, Davis *",USA,Universities
99,University of Idaho,USA,Universities
100,Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement *,FRA,Government
101,Northern Arizona University,USA,Universities
102,"Washington State University, Pullman *",USA,Universities
103,Hohai University,CHN,Universities
104,Shanghai Jiao Tong University *,CHN,Universities
105,Universitat de Lleida,ESP,Universities
106,Aalto University,FIN,Universities
107,Natural Environment Research Council *,GBR,Government
108,Polish Academy of Sciences *,POL,Government
109,"University of Colorado, Boulder *",USA,Universities
110,University of Leeds,GBR,Universities
111,University of Ljubljana *,SVN,Universities
112,University of Alberta,CAN,Universities
113,University of Eastern Finland,FIN,Universities
114,Seoul National University *,KOR,Universities
115,Universite du Quebec en Quebec *,CAN,Universities
116,University of Georgia,USA,Universities
117,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
118,Zhejiang A & F University *,CHN,Universities
119,Duke University *,USA,Universities
120,Aarhus University *,DNK,Universities
121,Purdue University,USA,Universities
121,Chinese Academy of Agricultural Sciences *,CHN,Government
121,"Newcastle University, Newcastle upon Tyne",GBR,Universities
122,University of Guelph,CAN,Universities
123,University of Cambridge *,GBR,Universities
124,"Ohio State University, Columbus *",USA,Universities
125,Universita degli Studi di Padova,ITA,Universities
126,Royal Melbourne Institute of Technology *,AUS,Universities
127,University of New South Wales,AUS,Universities
128,University of Oxford,GBR,Universities
129,Laboratoire d'Etudes et de Recherches sur le Materiau Bois,FRA,Government
130,Norwegian Institute of Bioeconomy Research,NOR,Government
131,Queensland University of Technology,AUS,Universities
132,NASA Goddard Space Flight Center,USA,Government
133,Leibniz Gemeinschaft *,DEU,Government
