Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Chinese Academy of Sciences *,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,Tsinghua University *,CHN,Universities
5,Zhejiang University *,CHN,Universities
6,Shanghai Jiao Tong University *,CHN,Universities
7,South China University of Technology,CHN,Universities
8,Harbin Institute of Technology,CHN,Universities
9,IBM United States,USA,Companies
10,Tianjin University *,CHN,Universities
11,Massachusetts Institute of Technology *,USA,Universities
12,Harvard University *,USA,Universities
13,Huazhong University of Science and Technology *,CHN,Universities
14,Xi'an Jiaotong University *,CHN,Universities
15,Pennsylvania State University *,USA,Universities
16,Samsung Corp *,MUL,Companies
17,BeiHang University *,CHN,Universities
18,University of Chinese Academy of Sciences,CHN,Universities
19,State Grid Corporation of China *,CHN,Companies
20,"California State University, Bakersfield",USA,Universities
21,Instituto IMDEA Materiales,ESP,Government
22,Shenzhen Polytechnic,CHN,Universities
23,"Samsung Electronics, South Korea",KOR,Companies
24,Fraunhofer Gesellschaft *,DEU,Government
25,LG Corporation *,MUL,Companies
26,Beijing University of Chemical Technology,CHN,Universities
27,Beijing Institute of Technology,CHN,Universities
28,Northwestern Polytechnical University,CHN,Universities
29,National University of Singapore *,SGP,Universities
30,Universidad Politecnica de Madrid *,ESP,Universities
31,Dalian University of Technology,CHN,Universities
32,National Institute of Standards and Technology *,USA,Government
33,Central South University *,CHN,Universities
34,Stanford University *,USA,Universities
35,Chongqing University,CHN,Universities
36,University of Patras,GRC,Universities
37,Consejo Superior de Investigaciones Cientificas *,ESP,Government
38,Sichuan University *,CHN,Universities
39,Georgia Institute of Technology *,USA,Universities
40,Universite Ferhat Abbas de Setif,DZA,Universities
41,Shandong University *,CHN,Universities
42,Nanyang Technological University *,SGP,Universities
43,National Aeronautics and Space Administration *,USA,Government
44,Politecnico di Milano,ITA,Universities
45,Instituto de Salud Carlos III *,ESP,Health
46,University of Nottingham *,GBR,Universities
47,"University of California, Berkeley *",USA,Universities
48,Jiangsu University *,CHN,Universities
49,Swiss Federal Institute of Technology,CHE,Universities
50,"Southeast University, Nanjing *",CHN,Universities
51,Helmholtz Gemeinschaft *,DEU,Government
52,Imperial College London,GBR,Universities
53,University of Cambridge *,GBR,Universities
54,Qatar Foundation *,QAT,Non-Profit
54,South West University Neofit Rilski,BGR,Universities
55,Intel Corp *,MUL,Companies
56,United States Department of Agriculture,USA,Government
56,Japan Science & Technology Agency,JPN,Government
57,"University of Michigan, Ann Arbor *",USA,Universities
58,Siemens *,MUL,Companies
59,Toyota Group *,MUL,Companies
60,Peking University *,CHN,Universities
61,King Abdullah University of Science and Technology,SAU,Universities
62,Aalborg University *,DNK,Universities
63,"University of Wisconsin, Madison *",USA,Universities
64,"Intel Corp, USA",USA,Companies
65,Nanjing University of Aeronautics and Astronautics,CHN,Universities
66,North China Electric Power University,CHN,Universities
67,University of Science and Technology of China,CHN,Universities
67,Hunan University,CHN,Universities
67,Schlumberger *,MUL,Companies
68,Hong Kong Polytechnic University,HKG,Universities
69,Red de Institutos IMDEA *,ESP,Government
70,"Texas A&M University, College Station *",USA,Universities
71,Tongji University *,CHN,Universities
72,IBM Research *,MUL,Companies
73,"New York University, Abu Dhabi",ARE,Universities
74,"LG Electronics, South Korea",KOR,Companies
75,Delft University of Technology,NLD,Universities
76,Seoul National University *,KOR,Universities
77,Cranfield University,GBR,Universities
78,King Saud University *,SAU,Universities
78,Riddet Institute,NZL,Government
79,California Institute of Technology *,USA,Universities
80,China University of Petroleum,CHN,Universities
81,Purdue University,USA,Universities
82,Institute of Materials Research and Engineering,SGP,Government
83,Arizona State University,USA,Universities
84,"Siemens AG, Germany",DEU,Companies
85,Technical University of Denmark,DNK,Universities
86,Cornell University *,USA,Universities
87,Aramco *,MUL,Companies
88,Karlsruher Institut fur Technologie,DEU,Universities
89,University of New South Wales,AUS,Universities
90,University of Oxford,GBR,Universities
91,Consiglio Nazionale delle Ricerche *,ITA,Government
92,The University of Manchester,GBR,Universities
93,East China University of Science and Technology,CHN,Universities
94,Nanjing University *,CHN,Universities
95,Korea Institute of Geoscience and Mineral Resources,KOR,Government
96,"Laboratoire d'Informatique, de Robotique et de Microelectronique de Montpellier",FRA,Government
97,Carnegie Mellon University *,USA,Universities
98,China University of Mining and Technology,CHN,Universities
99,University of Illinois at Urbana-Champaign *,USA,Universities
100,Catholic University of Leuven,BEL,Universities
101,"Rolls-Royce plc, United Kingdom",GBR,Companies
101,University of Southern Denmark,DNK,Universities
102,Hamad Bin Khalifa University *,QAT,Universities
103,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
104,Universitat Bayreuth,DEU,Universities
105,Central South University of Forestry and Technology,CHN,Universities
106,Wuhan University of Technology,CHN,Universities
107,US Environmental Protection Agency,USA,Government
108,University of Cincinnati *,USA,Universities
108,University of Tehran,IRN,Universities
109,China Petroleum and Chemical Corporation *,CHN,Companies
110,Lockheed Martin Corp *,USA,Companies
111,University of Twente,NLD,Universities
111,Donghua University,CHN,Universities
112,Politecnico di Torino *,ITA,Universities
112,Nankai University *,CHN,Universities
113,Johns Hopkins University *,USA,Universities
113,Jiangnan University *,CHN,Universities
113,University of Electronic Science and Technology of China,CHN,Universities
114,Aalto University,FIN,Universities
114,Fraunhofer Institut fur Produktionstechnik und Automatisierung,DEU,Government
115,"Institute of Soil Science, Chinese Academy of Sciences",CHN,Government
116,Case Western Reserve University,USA,Universities
117,Institute of High Energy Physics Chinese Academy of Science,CHN,Government
118,Auckland University of Technology,NZL,Universities
119,"University of Texas, Dallas",USA,Universities
120,"Fraunhofer-Institut fur Optronik, Systemtechnik und Bildauswertung",DEU,Government
121,Technische Universitat Munchen *,DEU,Universities
122,"Lanzhou Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
123,North Carolina State University,USA,Universities
124,Beijing Forestry University,CHN,Universities
125,US Naval Research Laboratory,USA,Government
126,University of Bath,GBR,Universities
127,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
127,Norwegian University of Science and Technology,NOR,Universities
128,Loughborough University,GBR,Universities
129,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
130,Saudi Arabian Oil Company,SAU,Companies
