Global Rank,Institution,Country,Sector
1,Veterans Affairs Medical Centers *,USA,Health
2,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
3,Assistance Publique Hopitaux de Paris *,FRA,Health
4,Harvard University *,USA,Universities
5,Mayo Clinic *,USA,Health
6,National Institutes of Health,USA,Health
7,Universite de Paris *,FRA,Universities
8,Johns Hopkins University *,USA,Universities
9,Harvard Medical School,USA,Universities
10,University of Washington *,USA,Universities
11,Washington University in Saint Louis *,USA,Universities
12,Centre National de la Recherche Scientifique *,FRA,Government
13,Columbia University *,USA,Universities
14,University of Pittsburgh *,USA,Universities
15,University of Pennsylvania *,USA,Universities
16,Washington University Medical Center ,USA,Health
17,U.S. Department of Health & Human Services *,USA,Health
18,Columbia University Irving Medical Center,USA,Health
19,Vanderbilt University *,USA,Universities
20,"University of California, Los Angeles *",USA,Universities
21,Yale University *,USA,Universities
22,"University of Alabama, Birmingham *",USA,Universities
23,Brigham and Women's Hospital,USA,Health
24,"University of Michigan, Ann Arbor *",USA,Universities
25,Huazhong University of Science and Technology *,CHN,Universities
26,Stanford University *,USA,Universities
27,University of Pittsburgh Health Sciences,USA,Universities
28,Sorbonne Universite *,FRA,Universities
29,"University of California, San Francisco *",USA,Universities
30,"University of Colorado, Denver *",USA,Universities
31,University of Toronto,CAN,Universities
32,Johns Hopkins Medicine,USA,Health
33,Vanderbilt University Medical Center,USA,Health
34,University of Pennsylvania Health System,USA,Health
35,Peking University *,CHN,Universities
36,University of Sydney,AUS,Universities
37,Massachusetts General Hospital,USA,Health
38,Catholic University of Leuven,BEL,Universities
39,"University of Colorado, Anschutz Medical Campus",USA,Universities
40,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
41,Mount Sinai Health System *,USA,Health
42,"University of California, Irvine *",USA,Universities
43,University Hospitals Leuven,BEL,Health
44,Mario Negri Istituto di Ricerche Farmacologiche,ITA,Health
45,University College London *,GBR,Universities
46,Icahn School of Medicine at Mount Sinai,USA,Universities
47,University Health Network *,CAN,Health
48,"University of California, San Diego *",USA,Universities
49,Yale University Health & Medicine,USA,Health
50,University of Texas Southwestern Medical Center ,USA,Universities
51,Universitat Hamburg *,DEU,Universities
52,Peking University Health Science Center,CHN,Universities
53,"Monash University, Melbourne *",AUS,Universities
54,Universitatsklinikum Hamburg Eppendorf,DEU,Health
55,Northshore University HealthSystem,USA,Health
56,University of Virginia *,USA,Universities
57,University of Chicago *,USA,Universities
58,UCLA Health System,USA,Health
59,"Northwestern University, Evanston *",USA,Universities
60,Helmholtz Gemeinschaft *,DEU,Government
61,University of Tokyo *,JPN,Universities
62,Karolinska Institute,SWE,Universities
63,National Institute of Diabetes and Digestive and Kidney Diseases,USA,Health
64,Samsung Corp *,MUL,Companies
65,Duke University *,USA,Universities
66,University of Amsterdam *,NLD,Universities
67,Tufts Medical Center,USA,Health
68,Radboud University Nijmegen Medical Centre,NLD,Health
69,University of Alberta,CAN,Universities
70,University of Groningen *,NLD,Universities
71,"Ohio State University, Columbus *",USA,Universities
72,Montefiore Medical Center *,USA,Health
73,Albert Einstein College of Medicine,USA,Universities
74,"University of Minnesota, Twin Cities *",USA,Universities
75,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
76,Juntendo University *,JPN,Universities
77,University of Cambridge *,GBR,Universities
78,University Medical Center Groningen,NLD,Health
79,University of Calgary,CAN,Universities
80,The University of Queensland *,AUS,Universities
