Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Centre National de la Recherche Scientifique *,FRA,Government
3,Helmholtz Gemeinschaft *,DEU,Government
4,National Oceanic and Atmospheric Administration,USA,Government
5,Ocean University of China,CHN,Universities
6,Ministry of Education of the People's Republic of China,CHN,Government
7,Russian Academy of Sciences *,RUS,Government
8,Harbin Engineering University,CHN,Universities
9,Woods Hole Oceanographic Institution,USA,Non-Profit
10,Leibniz Gemeinschaft *,DEU,Government
11,State Oceanic Administration,CHN,Government
12,Consejo Superior de Investigaciones Cientificas *,ESP,Government
13,University of Washington *,USA,Universities
14,National Aeronautics and Space Administration *,USA,Government
15,University of Chinese Academy of Sciences,CHN,Universities
16,Institut de Recherche pour le Developpement Paris *,FRA,Government
17,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
18,Institut Francais de Recherche pour l'Exploitation de la Mer *,FRA,Government
19,"University of California, San Diego *",USA,Universities
20,Pennsylvania State University *,USA,Universities
21,China University of Geosciences,CHN,Universities
22,Consiglio Nazionale delle Ricerche *,ITA,Government
23,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government
24,China National Petroleum Corp *,CHN,Companies
25,Harvard University *,USA,Universities
26,Sorbonne Universite *,FRA,Universities
27,Tsinghua University *,CHN,Universities
28,Massachusetts Institute of Technology *,USA,Universities
29,United States Geological Survey,USA,Government
30,Universita degli Studi di Siena,ITA,Universities
31,PetroChina Co Ltd,CHN,Companies
32,Stanford University *,USA,Universities
33,"China University of Petroleum, Beijing",CHN,Universities
34,China Petroleum and Chemical Corporation *,CHN,Companies
35,Max Planck Institut fur Marine Mikrobiologie,DEU,Government
36,China University of Petroleum,CHN,Universities
37,National Oceanography Centre Southampton,GBR,Government
38,Zhejiang University *,CHN,Universities
39,Plymouth University,GBR,Universities
40,United Nations *,MUL,Non-Profit
41,Helmholtz-Zentrum fur Ozeanforschung Kiel Umgewandelt,DEU,Government
42,Universidade de Sao Paulo *,BRA,Universities
43,"Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
44,University of Southampton,GBR,Universities
45,Helmholtz Zentrum fur Umweltforschung,DEU,Government
46,"University of California, Santa Barbara",USA,Universities
47,Oregon State University,USA,Universities
47,"University of Texas, Arlington",USA,Universities
48,National Kaohsiung University of Science and Technology,TWN,Universities
