Global Rank,Institution,Country,Sector
1,Harvard University *,USA,Universities
2,Harvard Medical School,USA,Universities
3,Children's Hospital Boston  *,USA,Health
4,Children's Hospital of Philadelphia,USA,Health
5,U.S. Department of Health & Human Services *,USA,Health
6,Cincinnati Children's Hospital Medical Center,USA,Health
7,Johns Hopkins University *,USA,Universities
8,University of Pennsylvania *,USA,Universities
9,"University of Michigan, Ann Arbor *",USA,Universities
10,Hospital for Sick Children,CAN,Health
11,Stanford University *,USA,Universities
12,National Institutes of Health,USA,Health
13,Nationwide Children's Hospital ,USA,Health
14,Baylor College of Medicine,USA,Universities
15,Assistance Publique Hopitaux de Paris *,FRA,Health
16,Columbia University *,USA,Universities
17,University College London *,GBR,Universities
18,Johns Hopkins Medicine,USA,Health
18,"University of North Carolina, Chapel Hill *",USA,Universities
19,University of Pennsylvania Health System,USA,Health
20,"University of California, San Francisco *",USA,Universities
21,University of Washington *,USA,Universities
22,University of Toronto,CAN,Universities
23,"Northwestern University, Evanston *",USA,Universities
24,Emory University *,USA,Universities
25,"University of Colorado, Denver *",USA,Universities
26,Columbia University Irving Medical Center,USA,Health
27,"Ohio State University, Columbus *",USA,Universities
28,Great Ormond Street Hospital for Children NHS Trust,GBR,Health
29,University of Melbourne *,AUS,Universities
30,"University of Colorado, Anschutz Medical Campus",USA,Universities
31,Seattle Children's Hospital,USA,Health
32,Erasmus University Rotterdam *,NLD,Universities
33,Washington University in Saint Louis *,USA,Universities
34,Centers for Disease Control and Prevention,USA,Health
35,Texas Children's Hospital ,USA,Health
36,"University of California, San Diego *",USA,Universities
37,Erasmus Medical Center,NLD,Health
38,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
39,Duke University *,USA,Universities
40,Murdoch Children's Research Institute,AUS,Health
41,"University of California, Davis *",USA,Universities
42,Stanford Medicine,USA,Health
43,Ann & Robert H. Lurie Children s Hospital,USA,Health
44,Utrecht University *,NLD,Universities
45,Children's Hospital Colorado,USA,Health
45,Northwestern Medicine,USA,Health
46,Woodruff Health Sciences Center,USA,Health
47,Vanderbilt University *,USA,Universities
48,"University of California, Los Angeles *",USA,Universities
49,University of Sydney,AUS,Universities
50,Tel Aviv University,ISR,Universities
50,"World Health Organization, Switzerland",CHE,Health
51,Yale University *,USA,Universities
52,University Medical Center Utrecht,NLD,Health
53,Massachusetts General Hospital,USA,Health
54,Royal Children's Hospital Melbourne,AUS,Health
55,Universite de Paris *,FRA,Universities
56,University of Cincinnati *,USA,Universities
57,University of Southern California *,USA,Universities
58,Wuhan Children's Hospital,CHN,Health
59,Children’s National Health System,USA,Health
59,Karolinska Institute,SWE,Universities
60,Washington University Medical Center ,USA,Health
61,Zhongnan Hospital at Wuhan University,CHN,Health
62,University of Amsterdam *,NLD,Universities
63,University of Pittsburgh *,USA,Universities
63,University of Pittsburgh Medical Center ,USA,Health
64,University of Utah *,USA,Universities
65,Clalit Health Services *,ISR,Health
66,Pennsylvania State University *,USA,Universities
67,Samsung Corp *,MUL,Companies
68,World Health Organization *,MUL,Health
69,University of Michigan Health System,USA,Health
