Global Rank,Institution,Country,Sector
1,Assistance Publique Hopitaux de Paris *,FRA,Health
2,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
3,Leiden University *,NLD,Universities
4,Leiden University Medical Center,NLD,Health
5,National Institutes of Health,USA,Health
6,Universite de Paris *,FRA,Universities
7,Harvard University *,USA,Universities
8,Veterans Affairs Medical Centers *,USA,Health
9,Stanford University *,USA,Universities
10,Karolinska Institute,SWE,Universities
11,U.S. Department of Health & Human Services *,USA,Health
12,Harvard Medical School,USA,Universities
13,Brigham and Women's Hospital,USA,Health
14,Charite - Universitatsmedizin Berlin *,DEU,Health
15,Utrecht University *,NLD,Universities
16,University of Leeds,GBR,Universities
17,Johns Hopkins University *,USA,Universities
18,Medizinische Universitat Wien,AUT,Universities
19,University Medical Center Utrecht,NLD,Health
20,University of Oxford,GBR,Universities
21,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities
22,The University of Manchester,GBR,Universities
23,"University of Alabama, Birmingham *",USA,Universities
24,University of Pennsylvania *,USA,Universities
25,Duke University *,USA,Universities
26,University College London *,GBR,Universities
27,"University of California, San Diego *",USA,Universities
28,"University of Michigan, Ann Arbor *",USA,Universities
29,Sorbonne Universite *,FRA,Universities
30,The Leeds Teaching Hospitals NHS Trust,GBR,Health
31,University of Toronto,CAN,Universities
32,Mayo Clinic *,USA,Health
33,Massachusetts General Hospital,USA,Health
34,Boston University *,USA,Universities
35,Pfizer *,MUL,Companies
36,Tsinghua University *,CHN,Universities
37,Duke Medicine,USA,Health
37,University Hospitals Birmingham NHS Foundation Trust,GBR,Health
38,Johns Hopkins Medicine,USA,Health
39,Copenhagen University Hospital,DNK,Health
40,Stanford Medicine,USA,Health
41,University Health Network *,CAN,Health
42,University of Glasgow *,GBR,Universities
43,University of Amsterdam *,NLD,Universities
44,University of Washington *,USA,Universities
45,"University of California, Los Angeles *",USA,Universities
46,Erasmus University Rotterdam *,NLD,Universities
47,New York University *,USA,Universities
48,Hospital for Special Surgery,USA,Health
49,"Novartis, Switzerland",CHE,Companies
50,National Institute of Arthritis and Musculoskeletal and Skin Diseases,USA,Health
51,Erasmus Medical Center,NLD,Health
52,Universita Vita-Salute San Raffaele,ITA,Universities
53,Johnson & Johnson *,MUL,Companies
54,"University of California, San Francisco *",USA,Universities
55,Boston University Medical Campus ,USA,Health
56,Cornell University *,USA,Universities
57,"Pfizer Inc, United States",USA,Companies
