Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,United States Department of Agriculture,USA,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,National Aeronautics and Space Administration *,USA,Government
5,Centre National de la Recherche Scientifique *,FRA,Government
6,Boston University *,USA,Universities
7,University of Southampton,GBR,Universities
8,Ministry of Agriculture,CHN,Government
9,University of Chinese Academy of Sciences,CHN,Universities
10,European Commission *,MUL,Government
11,Harvard University *,USA,Universities
12,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit
13,Helmholtz Gemeinschaft *,DEU,Government
14,European Commission - Joint Research Centre,MUL,Government
15,Stanford University *,USA,Universities
16,Centre d'Etudes Spatiales de la Biosphere,FRA,Government
17,Chinese Academy of Agricultural Sciences *,CHN,Government
18,China Agricultural University,CHN,Universities
18,Tsinghua University *,CHN,Universities
19,Northwest A and F University,CHN,Universities
20,Beijing Normal University *,CHN,Universities
21,Consejo Superior de Investigaciones Cientificas *,ESP,Government
22,Texas Tech University,USA,Universities
23,Lancaster University,GBR,Universities
24,Pennsylvania State University *,USA,Universities
25,NASA Goddard Space Flight Center,USA,Government
26,United States Geological Survey,USA,Government
27,Cornell University *,USA,Universities
28,Centre National d'Etudes Spatiales *,FRA,Government
29,Wageningen University and Research Centre *,NLD,Universities
30,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
31,Nanjing Agricultural University,CHN,Universities
32,South Dakota State University,USA,Universities
33,Yale University *,USA,Universities
34,Johns Hopkins University *,USA,Universities
35,Natural Resources Canada,CAN,Government
36,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
37,"Ohio State University, Columbus *",USA,Universities
38,California Institute of Technology *,USA,Universities
39,Jet Propulsion Laboratory,USA,Government
40,"Institute of Soil Science, Chinese Academy of Sciences",CHN,Government
41,"Universite Paul Sabatier, Toulouse III *",FRA,Universities
42,State Key Laboratory of Remote Sensing Science,CHN,Government
43,Leibniz-Institut fur Agrartechnik Potsdam-Bornim,DEU,Government
44,Institut de Recherche pour le Developpement Paris *,FRA,Government
45,Zhejiang University *,CHN,Universities
46,Agricultural Research Organization,ISR,Government
47,Massachusetts Institute of Technology *,USA,Universities
48,International Rice Research Institute Filipinas,PHL,Non-Profit
49,Politecnico di Torino *,ITA,Universities
50,International Rice Research Institute,MUL,Non-Profit
51,National Academy of Sciences of Ukraine *,UKR,Government
51,Peking University *,CHN,Universities
52,Technical University of Denmark,DNK,Universities
53,University of Exeter,GBR,Universities
54,"University of California, Davis *",USA,Universities
55,University of Illinois at Urbana-Champaign *,USA,Universities
55,Leibniz Gemeinschaft *,DEU,Government
56,"University of Maryland, College Park *",USA,Universities
57,University of Florida *,USA,Universities
58,"Louisiana State University, Baton Rouge",USA,Universities
59,University of Kentucky *,USA,Universities
59,Michigan State University,USA,Universities
60,"University of Wisconsin, Madison *",USA,Universities
61,"University of Nottingham, Malaysia Campus",MYS,Universities
62,Swiss Federal Institute of Technology,CHE,Universities
63,"Colorado State University, Fort Collins *",USA,Universities
64,Universitat Zurich,CHE,Universities
65,"University of Nebraska, Lincoln",USA,Universities
66,Wuhan University *,CHN,Universities
67,Universidade de Sao Paulo *,BRA,Universities
68,The University of British Columbia,CAN,Universities
69,Iowa State University,USA,Universities
70,Institute of Remote Sensing and Digital Earth,CHN,Government
71,Central South University *,CHN,Universities
72,Agricultural Research Center Egypt *,EGY,Government
73,Universitat Wien,AUT,Universities
74,Catholic University of Leuven,BEL,Universities
74,Swedish University of Agricultural Sciences,SWE,Universities
75,Humboldt-Universitat zu Berlin,DEU,Universities
76,"University of Maryland, Baltimore",USA,Universities
77,Virginia Polytechnic Institute and State University,USA,Universities
78,The University of Edinburgh *,GBR,Universities
79,Technische Universitat Munchen *,DEU,Universities
79,The University of Queensland *,AUS,Universities
80,James Hutton Institute,GBR,Non-Profit
80,National Oceanic and Atmospheric Administration,USA,Government
81,"University of California, Berkeley *",USA,Universities
82,US Environmental Protection Agency,USA,Government
83,"University of Colorado, Boulder *",USA,Universities
83,Universitat de Valencia *,ESP,Universities
84,Forschungszentrum Julich in der Helmholtz Gemeinschaft,DEU,Government
84,Shanghai Jiao Tong University *,CHN,Universities
85,University of Helsinki,FIN,Universities
86,The Chinese University of Hong Kong *,HKG,Universities
87,University of South Florida System *,USA,Universities
88,Huaiyin Teachers University,CHN,Universities
89,University of the Philippines Los Banos,PHL,Universities
90,Consiglio Nazionale delle Ricerche *,ITA,Government
91,International Maize and Wheat Improvement Center,MUL,Non-Profit
91,University of Arizona *,USA,Universities
92,Empresa Brasileira de Pesquisa Agropecuaria,BRA,Government
93,"Swiss Federal Institute for Forest, Snow and Landscape Research",CHE,Government
94,Georg-August-Universitat Gottingen,DEU,Universities
94,Arizona State University,USA,Universities
94,Taiyuan University of Technology,CHN,Universities
95,"Institute of Soil and Water Conservation, Chinese Academy of Sciences",CHN,Government
96,Oregon State University,USA,Universities
97,University of Guelph,CAN,Universities
98,Cranfield University,GBR,Universities
99,Universite de Rennes 1 *,FRA,Universities
100,University of Twente,NLD,Universities
100,Universite d'Avignon *,FRA,Universities
101,University of Copenhagen,DNK,Universities
101,Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement *,FRA,Government
102,University of Nottingham *,GBR,Universities
103,University of Aberdeen,GBR,Universities
104,Kansas State University,USA,Universities
105,Environment Canada,CAN,Government
106,The University of Reading,GBR,Universities
107,"Texas A&M University, College Station *",USA,Universities
108,Max Planck Gesellschaft *,DEU,Government
109,The University of Sheffield,GBR,Universities
110,Natural Environment Research Council *,GBR,Government
111,"University of Texas, Austin",USA,Universities
112,Utrecht University *,NLD,Universities
113,Lawrence Berkeley National Laboratory *,USA,Government
114,University of Sydney,AUS,Universities
114,United Nations *,MUL,Non-Profit
115,James Cook University *,AUS,Universities
115,Universidad Politecnica de Madrid *,ESP,Universities
116,International Maize and Wheat Improvement Center Mexico,MEX,Non-Profit
116,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
116,Universite Hassan II de Casablanca *,MAR,Universities
117,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",CHN,Government
118,Northern Arizona University,USA,Universities
118,"University of Connecticut, Storrs *",USA,Universities
119,Ghent University,BEL,Universities
119,University of Antwerp,BEL,Universities
120,Columbia University *,USA,Universities
