Global Rank,Institution,Country,Sector
1,National Aeronautics and Space Administration *,USA,Government
2,Centre National de la Recherche Scientifique *,FRA,Government
3,Chinese Academy of Sciences *,CHN,Government
4,Max Planck Gesellschaft *,DEU,Government
5,California Institute of Technology *,USA,Universities
6,Harvard University *,USA,Universities
7,Istituto Nazionale di Astrofisica *,ITA,Government
8,Smithsonian Institution *,USA,Government
9,Jet Propulsion Laboratory,USA,Government
10,Harvard-Smithsonian Center for Astrophysics,USA,Government
11,Helmholtz Gemeinschaft *,DEU,Government
12,Queensland University of Technology,AUS,Universities
13,Sorbonne Universite *,FRA,Universities
14,Massachusetts Institute of Technology *,USA,Universities
15,"University of California, Berkeley *",USA,Universities
16,Universite PSL *,FRA,Universities
17,National Astronomical Observatories Chinese Academy of Science,CHN,Government
18,University of Cambridge *,GBR,Universities
19,Johns Hopkins University *,USA,Universities
20,NASA Goddard Space Flight Center,USA,Government
21,European Southern Observatory *,DEU,Government
22,University of Arizona *,USA,Universities
23,Deutsches Zentrum fur Luft- und Raumfahrt,DEU,Government
24,Max Planck Institut fur Astronomie,DEU,Government
25,Princeton University,USA,Universities
26,Pennsylvania State University *,USA,Universities
27,Stanford University *,USA,Universities
28,Universite de Paris *,FRA,Universities
29,Consejo Superior de Investigaciones Cientificas *,ESP,Government
30,"University of Colorado, Boulder *",USA,Universities
31,Observatoire de Paris,FRA,Government
32,University of Tokyo *,JPN,Universities
33,Leiden University *,NLD,Universities
34,University of Washington *,USA,Universities
35,University of Chinese Academy of Sciences,CHN,Universities
36,"University of Michigan, Ann Arbor *",USA,Universities
37,Kavli Institute for Cosmology,GBR,Government
38,University of Chicago *,USA,Universities
39,Space Telescope Science Institute,USA,Government
40,Canadian Institute for Advance Research,CAN,Government
41,Russian Academy of Sciences *,RUS,Government
42,Technische Universitat Munchen *,DEU,Universities
43,European Space Agency *,MUL,Government
44,Peoples'Friendship University of Russia,RUS,Universities
45,University College London *,GBR,Universities
46,University of Oxford,GBR,Universities
47,Columbia University *,USA,Universities
48,Commissariat a l’Energie Atomique et aux Energies Alternatives *,FRA,Government
48,Max Planck Institut fur Extraterrestrische Physik,DEU,Government
49,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
50,National Astronomical Observatory of Japan *,JPN,Government
51,"University of California, Los Angeles *",USA,Universities
52,"University of California, Santa Cruz",USA,Universities
53,"Northwestern University, Evanston *",USA,Universities
54,Yale University *,USA,Universities
55,Universidad Nacional Autonoma de Mexico,MEX,Universities
56,"Ohio State University, Columbus *",USA,Universities
57,Instituto de Astrofisica de Canarias *,ESP,Government
58,European Space Research and Technology Centre,NLD,Government
59,Cornell University *,USA,Universities
60,"University of Texas, Austin",USA,Universities
61,Istituto Nazionale di Fisica Nucleare,ITA,Government
62,Tsinghua University *,CHN,Universities
63,Universitat Heidelberg,DEU,Universities
64,The University of Edinburgh *,GBR,Universities
64,Brandeis University,USA,Universities
65,University of Sussex *,GBR,Universities
66,University of Nevada-Reno,USA,Universities
67,Peking University *,CHN,Universities
68,Institut de Recherche pour le Developpement Paris *,FRA,Government
69,Australian National University,AUS,Universities
70,Swiss Federal Institute of Technology,CHE,Universities
71,Heidelberger Institut fur Theoretische Studien,DEU,Non-Profit
71,Carleton College,USA,Universities
72,University of Toronto,CAN,Universities
72,Universite de Geneve,CHE,Universities
73,Lawrence Berkeley National Laboratory *,USA,Government
74,Carnegie Institution for Science *,USA,Non-Profit
75,Universite Grenoble-Alpes *,FRA,Universities
76,Japan Science & Technology Agency,JPN,Government
77,Universidad de La Laguna,ESP,Universities
78,Max Planck Institut fur Astrophysik,DEU,Government
79,University of Durham,GBR,Universities
79,"University of California, Santa Barbara",USA,Universities
80,Aix-Marseille Universite *,FRA,Universities
80,Institut d'Astrophysique de Paris,FRA,Government
81,High Energy Accelerator Research Organization,JPN,Government
82,University of Pennsylvania *,USA,Universities
83,"University of Wisconsin, Madison *",USA,Universities
84,University of Illinois at Urbana-Champaign *,USA,Universities
85,Universidad de Chile *,CHL,Universities
86,Ministry of Education of the People's Republic of China,CHN,Government
87,"University of California, Irvine *",USA,Universities
88,Simons Foundation,USA,Non-Profit
89,"University of California, Davis *",USA,Universities
90,Basque Excellence Research Centre *,ESP,Government
91,Osservatorio Astronomico di Padova,ITA,Government
92,University of Amsterdam *,NLD,Universities
93,Amherst College,USA,Universities
94,Max Planck Institut fur Radioastronomie,DEU,Government
95,Leibniz Gemeinschaft *,DEU,Government
96,Infrared Processing and Analysis Center,USA,Government
97,Osservatorio di Astrofisica e Scienza dello Spazio di Bologna ,ITA,Government
98,University of Copenhagen,DNK,Universities
99,University of Groningen *,NLD,Universities
100,Australian Research Council *,AUS,Government
101,Lunds University,SWE,Universities
102,Kavli Institute for Particle Astrophysics and Cosmology,USA,Non-Profit
103,"Heriot-Watt University, United Kingdom",GBR,Universities
103,Heriot-Watt University *,MUL,Universities
104,Arizona State University,USA,Universities
105,"University of California, San Diego *",USA,Universities
106,NASA Ames Research Center,USA,Government
107,The University of Manchester,GBR,Universities
108,Institut d'Estudis Espacials de Catalunya,ESP,Government
108,University of Virginia *,USA,Universities
109,College de France,FRA,Universities
110,New York University *,USA,Universities
110,Academia Sinica *,TWN,Government
111,Kyoto University *,JPN,Universities
112,ARC Centre of Excellence for All-Sky Astrophysics,AUS,Government
113,Astroparticule et Cosmologie,FRA,Government
114,Osservatorio Astrofisico di Arcetri,ITA,Government
115,Purdue University,USA,Universities
116,Liverpool John Moores University,GBR,Universities
117,Universita degli Studi di Padova,ITA,Universities
118,"University of Hawaii, Manoa *",USA,Universities
119,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
120,Observatoire des Sciences de l Univers Institut Pytheas,FRA,Government
121,National Oceanic and Atmospheric Administration,USA,Government
122,Institute for Advanced Study,USA,Non-Profit
123,Medical Research Council,GBR,Health
124,Wuhan University *,CHN,Universities
125,Leibniz-Institut fur Astrophysik Potsdam,DEU,Government
126,Carnegie Mellon University *,USA,Universities
126,University of Warwick,GBR,Universities
127,Ecole Polytechnique Federale de Lausanne,CHE,Universities
128,"Astrophysique, Instrumentation et Modelisation",FRA,Government
128,National Research Council Canada *,CAN,Government
128,Chang'an University ,CHN,Universities
129,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
130,Korea Astronomy and Space Science Institute *,KOR,Government
131,Institut de Planetologie et Astrophysique de Grenoble,FRA,Government
132,"Universite Paul Sabatier, Toulouse III *",FRA,Universities
133,University of Pittsburgh *,USA,Universities
133,Institut de Recherches sur les lois Fondamentales de l'Univers,FRA,Government
134,Laboratoire de Physique Nucleaire et de Hautes Energies,FRA,Government
134,BeiHang University *,CHN,Universities
135,Universite Cote d’Azur *,FRA,Universities
136,SLAC National Accelerator Laboratory,USA,Government
137,"University of Maryland, College Park *",USA,Universities
138,Max Planck Institute fur Gravitationsphysik,DEU,Government
139,National Radio Astronomy Observatory Charlottesville,USA,Government
140,"Institute of Astrophysics and Astronomy, Academia Sinica",TWN,Government
141,Osservatorio Astronomico di Roma,ITA,Government
142,Observatoire de la Cote d'Azur *,FRA,Government
143,Japan Aerospace Exploration Agency,JPN,Government
143,Northwestern Polytechnical University,CHN,Universities
144,Rheinische Friedrich-Wilhelms-Universitat Bonn *,DEU,Universities
145,NASA Goddard Institute for Space Studies,USA,Government
146,Fermi National Accelerator Laboratory,USA,Government
147,The University of Western Australia,AUS,Universities
148,Michigan State University,USA,Universities
149,University of St. Andrews,GBR,Universities
150,"University of California, Riverside",USA,Universities
150,Indonesia University of Education,IDN,Universities
151,IBM Research *,MUL,Companies
151,Weizmann Institute of Science,ISR,Universities
152,Shanghai Jiao Tong University *,CHN,Universities
153,European Space Astronomy Centre,ESP,Government
154,Universitat de Barcelona *,ESP,Universities
155,Institut de Recherche en Astrophysique et Planetologie,FRA,Government
156,National Institute of Science Education and Research,IND,Government
156,Cerro Tololo Inter-American Observatory,CHL,Non-Profit
157,Argonne National Laboratory,USA,Government
157,Universita degli Studi di Udine,ITA,Universities
157,University of Leeds,GBR,Universities
158,Georgia Institute of Technology *,USA,Universities
158,Swinburne University of Technology *,AUS,Universities
159,"Rutgers, The State University of New Jersey",USA,Universities
159,Observatorio Europeo Austral *,CHL,Non-Profit
160,The Oskar Klein Centre for Cosmoparticle Physics,SWE,Government
161,Osservatorio Astronomico di Trieste,ITA,Government
162,Donostia International Physics Center ,ESP,Government
162,University of Utah *,USA,Universities
163,Nanjing University *,CHN,Universities
163,Junta de Andalucia Sevilla *,ESP,Government
163,Institut National de Physique Nucleaire et de Physique des Particules,FRA,Government
164,University of Southampton,GBR,Universities
164,Laboratoire d'Etudes Spatiales et d'Instrumentation en Astrophysique,FRA,Government
165,University of Florida *,USA,Universities
165,Universitat Bern,CHE,Universities
165,Imperial College London,GBR,Universities
166,Southwest Research Institute,USA,Non-Profit
167,Netherlands Institute for Radio Astronomy,NLD,Government
167,Instituto de Astrofisica de Andalucia ,ESP,Government
168,Universidade de Sao Paulo *,BRA,Universities
168,"Texas A&M University, College Station *",USA,Universities
169,United States Geological Survey,USA,Government
170,Polish Academy of Sciences *,POL,Government
170,Universidad de Antofagasta,CHL,Universities
171,Pontificia Universidad Catolica de Chile *,CHL,Universities
172,University of Victoria,CAN,Universities
172,University of Portsmouth,GBR,Universities
173,Programa Iniciativa Cientifica Milenio *,CHL,Government
174,University of Exeter,GBR,Universities
175,"Monash University, Melbourne *",AUS,Universities
176,National Institute of Standards and Technology *,USA,Government
177,University of Science and Technology of China,CHN,Universities
178,University of Kentucky *,USA,Universities
178,University of Sydney,AUS,Universities
179,Delft University of Technology,NLD,Universities
179,McGill University,CAN,Universities
179,Tel Aviv University,ISR,Universities
180,Western Washington University,USA,Universities
181,The University of British Columbia,CAN,Universities
181,Cardiff University,GBR,Universities
182,Universities Space Research Association,USA,Non-Profit
183,Instituto de Fisica Corpuscular,ESP,Government
184,Instituto Milenio de Astrofisica,CHL,Government
185,Stockholm University,SWE,Universities
186,Max Planck Institut fur Sonnensystemforschung,DEU,Government
186,Nagoya University *,JPN,Universities
187,Los Alamos National Laboratory *,USA,Government
188,Centre d'Etudes Nucleaires de Bordeaux Gradignan,FRA,Government
189,University of Notre Dame,USA,Universities
190,Universite Claude Bernard Lyon 1 *,FRA,Universities
191,Australia Telescope National Facility,AUS,Government
192,Georg-August-Universitat Gottingen,DEU,Universities
193,Gottfried Wilhelm Leibniz Universitat Hannover,DEU,Universities
194,Ecole Normale Superieure de Lyon *,FRA,Universities
195,Laboratoire de Physique Subatomique et de Cosmologie,FRA,Government
195,Centre de Physique des Particules de Marseille,FRA,Government
196,Institut de Ciencies de l'Espai,ESP,Government
196,University of Nottingham *,GBR,Universities
197,Uzbekistan Academy of Sciences *,UZB,Government
198,Las Cumbres Observatory Global Telescope Network,USA,Non-Profit
198,"University of North Carolina, Chapel Hill *",USA,Universities
199,Universite Paris-Saclay *,FRA,Universities
200,Instituto de Fisica Teorica,ESP,Government
201,Royal Melbourne Institute of Technology *,AUS,Universities
202,University of Oslo,NOR,Universities
202,Universite de Strasbourg *,FRA,Universities
203,Radboud University Nijmegen,NLD,Universities
204,Universidad Diego Portales,CHL,Universities
204,Fraunhofer Gesellschaft *,DEU,Government
205,University of Birmingham,GBR,Universities
206,US National Science Foundation *,USA,Government
206,"Queen Mary, University of London",GBR,Universities
207,University of Leicester,GBR,Universities
207,Curtin University *,AUS,Universities
208,Laboratorio Interinstitucional de e-Astronomia,BRA,Government
209,Beijing Institute of Technology,CHN,Universities
209,"University of Massachusetts, Amherst",USA,Universities
210,"University of Minnesota, Twin Cities *",USA,Universities
211,Westfalische Wilhelms-Universitat Munster *,DEU,Universities
212,Osservatorio Astronomico di Brera,ITA,Government
213,Instituto Geografico Nacional *,ESP,Government
214,Duke University *,USA,Universities
215,American University,USA,Universities
215,Uppsala University,SWE,Universities
215,Aarhus University *,DNK,Universities
216,Tufts University,USA,Universities
216,University of Hertfordshire,GBR,Universities
216,National Optical Astronomy Observatory,USA,Government
217,University of Helsinki,FIN,Universities
218,Tohoku University *,JPN,Universities
218,University of New South Wales,AUS,Universities
218,National University of Defense Technology,CHN,Universities
218,Universitat Zurich,CHE,Universities
219,"University of Maryland, Baltimore",USA,Universities
219,Institut d'Astrophysique Spatiale,FRA,Government
219,Universitat zu Koln,DEU,Universities
220,Deutsche Elektronen-Synchrotron Desy,DEU,Government
221,Universite de Bordeaux *,FRA,Universities
222,Instituto Nacional de Tecnica Aeroespacial Esteban Terradas *,ESP,Government
222,Iowa State University,USA,Universities
223,Catholic University of Leuven,BEL,Universities
224,Purple Mountain Observatory Chinese Academy of Sciences,CHN,Government
224,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
225,Marquette University,USA,Universities
225,University of Alberta,CAN,Universities
226,Universite de Montreal,CAN,Universities
227,Vanderbilt University *,USA,Universities
228,Hebrew University of Jerusalem,ISR,Universities
228,North Carolina State University,USA,Universities
228,University of Surrey,GBR,Universities
229,The University of Queensland *,AUS,Universities
229,University of Turku,FIN,Universities
229,UK Astronomy Technology Centre,GBR,Government
230,University of Guelph,CAN,Universities
231,Universitat Hamburg *,DEU,Universities
231,Universidad Autonoma de Madrid *,ESP,Universities
232,Centre de Recherche Astrophysique de Lyon,FRA,Government
233,Nanjing University of Aeronautics and Astronautics,CHN,Universities
234,Nicolaus Copernicus Astronomical Center Polish Academy of Sciences,POL,Government
235,University of Warsaw,POL,Universities
235,Yonsei University *,KOR,Universities
236,University of Melbourne *,AUS,Universities
237,American Museum of Natural History,USA,Government
238,King Abdullah University of Science and Technology,SAU,Universities
239,Macquarie University *,AUS,Universities
240,"Airbus, Germany",DEU,Companies
240,Tokai University *,JPN,Universities
240,RIKEN-Institute of Physical and Chemical Research,JPN,Government
241,"National Radio Astronomy Observatory, Socorro",USA,Government
242,Brookhaven National Laboratory *,USA,Government
243,Science and Technology Facilities Council *,GBR,Government
244,Hungarian Academy of Sciences *,HUN,Government
244,University of Southern California *,USA,Universities
244,George Mason University,USA,Universities
245,Case Western Reserve University,USA,Universities
245,Istituto di Radioastronomia,ITA,Government
246,Observatoire Astronomique de Strasbourg,FRA,Government
247,Boston University *,USA,Universities
248,Harbin Institute of Technology,CHN,Universities
248,Fudan University *,CHN,Universities
249,European Organization for Nuclear Research,CHE,Government
250,Lomonosov  Moscow State University,RUS,Universities
251,Rice University,USA,Universities
251,University of the Pacific,USA,Universities
251,SETI Institute,USA,Non-Profit
251,Keio University *,JPN,Universities
251,Hiroshima University *,JPN,Universities
252,Guilin University of Technology,CHN,Universities
253,University of Pretoria,ZAF,Universities
254,"Colorado State University, Fort Collins *",USA,Universities
255,Queen's University Belfast,GBR,Universities
255,Seoul National University *,KOR,Universities
255,Moscow Engineering Physics Institute,RUS,Universities
256,Institut de Radioastronomie Millimetrique,FRA,Government
257,University of Nevada-Las Vegas,USA,Universities
257,American Institute of Aeronautics and Astronautics,USA,Non-Profit
258,Institut Universitaire de France,FRA,Government
258,Laboratoire d'Astrophysique de Bordeaux - Observatoire de Bordeaux,FRA,Government
259,Laboratoire d'Etude du Rayonnement et de la Matiere en Astrophysique et Atmospheres,FRA,Government
260,Universite de Cergy-Pontoise *,FRA,Universities
260,Centro de Astrobiologia,ESP,Government
260,SRON Netherlands Institute for Space Research,NLD,Government
261,University of Oklahoma *,USA,Universities
262,Airbus SAS *,MUL,Companies
263,Clemson University,USA,Universities
263,Tokyo Institute of Technology,JPN,Universities
264,Dalian University of Technology,CHN,Universities
265,Universita degli Studi di Roma La Sapienza,ITA,Universities
265,Ocean University of China,CHN,Universities
266,South Dakota School of Mines and Technology,USA,Universities
266,Virginia Polytechnic Institute and State University,USA,Universities
266,Universidad de Santiago de Chile,CHL,Universities
267,Universitat Wien,AUT,Universities
268,University of Waterloo,CAN,Universities
268,Eberhard-Karls-Universitat Tubingen,DEU,Universities
269,Hokkaido University *,JPN,Universities
269,Centre National d'Etudes Spatiales *,FRA,Government
270,U.S. Air Force,USA,Government
271,Washington University in Saint Louis *,USA,Universities
271,Osservatorio Di Capodimonte,ITA,Government
271,Beijing Normal University *,CHN,Universities
272,Scuola Normale Superiore Pisa,ITA,Universities
272,Perimeter Institute for Theoretical Physics,CAN,Non-Profit
273,University of Auckland,NZL,Universities
273,University of Bristol,GBR,Universities
274,Graduate University for Advanced Studies,JPN,Universities
275,Brown University,USA,Universities
275,Royal Netherlands Meteorological Institute,NLD,Government
276,Kitami Institute of Technology,JPN,Universities
