Global Rank,Institution,Country,Sector
1,Ministry of Agriculture,CHN,Government
2,Chinese Academy of Agricultural Sciences *,CHN,Government
3,"University of California, Davis *",USA,Universities
4,Universidade de Sao Paulo *,BRA,Universities
5,United States Department of Agriculture,USA,Government
6,U.S. Department of Health & Human Services *,USA,Health
7,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities
8,"Royal Veterinary College, University of London",GBR,Universities
9,Indian Council of Agricultural Research *,IND,Government
10,North Carolina State University,USA,Universities
11,University of Guelph,CAN,Universities
12,Chinese Academy of Sciences *,CHN,Government
13,University of Georgia,USA,Universities
14,Cornell University *,USA,Universities
15,Ghent University,BEL,Universities
16,Centers for Disease Control and Prevention,USA,Health
17,"Colorado State University, Fort Collins *",USA,Universities
18,The University of Edinburgh *,GBR,Universities
19,"Texas A&M University, College Station *",USA,Universities
20,Iowa State University,USA,Universities
21,National Institutes of Health,USA,Health
22,University of Florida *,USA,Universities
23,Ministry of Education of the People's Republic of China,CHN,Government
24,"University of Minnesota, Twin Cities *",USA,Universities
25,University of Copenhagen,DNK,Universities
26,"Ohio State University, Columbus *",USA,Universities
27,Yangzhou University,CHN,Universities
28,Veterinarmedizinische Universitat Wien *,AUT,Universities
29,University of Pennsylvania *,USA,Universities
30,University of Sydney,AUS,Universities
31,"University of Wisconsin, Madison *",USA,Universities
32,Universitat Zurich,CHE,Universities
33,University of Melbourne *,AUS,Universities
34,Utrecht University *,NLD,Universities
35,Stiftung Tierarztliche Hochschule Hannover,DEU,Universities
36,World Health Organization *,MUL,Health
37,Swedish University of Agricultural Sciences,SWE,Universities
38,China Agricultural University,CHN,Universities
39,University of Liverpool *,GBR,Universities
40,Zhejiang University *,CHN,Universities
41,Universidade Federal de Minas Gerais,BRA,Universities
42,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
43,Universitat Bern,CHE,Universities
44,"World Health Organization, Switzerland",CHE,Health
45,Universita degli Studi di Milano,ITA,Universities
46,Nanjing Agricultural University,CHN,Universities
47,Centre National de la Recherche Scientifique *,FRA,Government
48,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
49,U.S. Army *,USA,Government
50,Universitat Autonoma de Barcelona *,ESP,Universities
51,Kansas State University,USA,Universities
52,Friedrich Loeffler Institutes Bundesforschungsinstitut fur Tiergesundheit,DEU,Government
53,Center for Disease Control and Prevention China,CHN,Health
54,Universidad Complutense de Madrid *,ESP,Universities
55,Michigan State University,USA,Universities
56,Universita degli Studi di Pisa,ITA,Universities
57,The University of Queensland *,AUS,Universities
58,Seoul National University *,KOR,Universities
59,Consejo Superior de Investigaciones Cientificas *,ESP,Government
60,University of Saskatchewan,CAN,Universities
61,University of Minnesota Health and Medicine,USA,Universities
62,Sanofi *,MUL,Companies
63,South China Agricultural University,CHN,Universities
64,Universidade Federal do Rio Grande do Sul,BRA,Universities
65,Massey University,NZL,Universities
66,University of Illinois at Urbana-Champaign *,USA,Universities
67,GlaxoSmithKline *,MUL,Companies
68,Empresa Brasileira de Pesquisa Agropecuaria,BRA,Government
69,Northwest A and F University,CHN,Universities
70,Indian Veterinary Research Institute,IND,Universities
71,University of Bristol,GBR,Universities
72,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
73,University of Oxford,GBR,Universities
74,"Sanofi, United States",USA,Companies
75,Universidad de Cordoba *,ESP,Universities
76,Universidade Federal de Santa Maria *,BRA,Universities
77,University of Florida Health Science Center,USA,Health
78,Huazhong Agricultural University,CHN,Universities
78,"Pfizer Inc, United States",USA,Companies
78,Fundacao Oswaldo Cruz *,BRA,Health
79,University of Pretoria,ZAF,Universities
80,Nuclear Research Center,EGY,Government
81,University of Washington *,USA,Universities
82,Pfizer *,MUL,Companies
83,Chulalongkorn University,THA,Universities
84,University of Glasgow *,GBR,Universities
85,Boehringer Ingelheim *,MUL,Companies
86,Ohio State University Wexner Medical Center,USA,Health
87,Kasetsart University,THA,Universities
88,"Agence Nationale de la Securite Sanitaire de l'Alimentation, de l'Environnement et du Travail *",FRA,Health
89,Jiangsu Academy of Agricultural Sciences *,CHN,Government
90,University of Nottingham *,GBR,Universities
91,University of Mississippi Medical Center,USA,Universities
92,Program for Appropriate Technology in Health USA,USA,Non-Profit
93,University College Dublin,IRL,Universities
93,Technical University of Denmark,DNK,Universities
94,Universidade Federal do Parana,BRA,Universities
95,Merck *,MUL,Companies
96,Wageningen University and Research Centre *,NLD,Universities
97,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
98,Universite de Montreal,CAN,Universities
98,Centre de Recerca en Sanitat Animal,ESP,Government
99,Universita degli Studi di Napoli Federico II,ITA,Universities
100,Tufts University,USA,Universities
101,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
101,Harvard University *,USA,Universities
102,Universidad de Murcia *,ESP,Universities
103,National Dairy Research Institute,IND,Government
104,University of Tokyo *,JPN,Universities
105,Universita degli Studi di Padova,ITA,Universities
106,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
107,Boehringer Ingelheim GmbH Germany,DEU,Companies
108,Hokkaido University *,JPN,Universities
109,"University of Missouri, Columbia *",USA,Universities
110,"Merck & Co Inc, United States",USA,Companies
111,Universidade Federal Rural de Pernambuco,BRA,Universities
112,Freie Universitat Berlin,DEU,Universities
113,London School of Hygiene and Tropical Medicine,GBR,Universities
114,University of Cambridge *,GBR,Universities
114,University of Calgary,CAN,Universities
115,Purdue University,USA,Universities
116,Hebrew University of Jerusalem,ISR,Universities
