Global Rank,Institution,Country,Sector
1,BeiHang University *,CHN,Universities
2,National Aeronautics and Space Administration *,USA,Government
3,Ministry of Education of the People's Republic of China,CHN,Government
4,Northwestern Polytechnical University,CHN,Universities
5,Nanjing University of Aeronautics and Astronautics,CHN,Universities
6,Harbin Institute of Technology,CHN,Universities
7,Chinese Academy of Sciences *,CHN,Government
8,Tsinghua University *,CHN,Universities
9,Beijing Institute of Technology,CHN,Universities
10,Helmholtz Gemeinschaft *,DEU,Government
11,Deutsches Zentrum fur Luft- und Raumfahrt,DEU,Government
12,Centre National de la Recherche Scientifique *,FRA,Government
13,National University of Defense Technology,CHN,Universities
14,Shanghai Jiao Tong University *,CHN,Universities
15,"Southeast University, Nanjing *",CHN,Universities
16,China Aerospace Science and Technology Corp *,CHN,Government
17,NASA Langley Research Center,USA,Government
18,Xidian University,CHN,Universities
19,Delft University of Technology,NLD,Universities
20,Xi'an Jiaotong University *,CHN,Universities
21,Massachusetts Institute of Technology *,USA,Universities
22,The University of Hull,GBR,Universities
23,California Institute of Technology *,USA,Universities
24,NASA Ames Research Center,USA,Government
25,University of Electronic Science and Technology of China,CHN,Universities
26,Qatar University,QAT,Universities
27,"University of Michigan, Ann Arbor *",USA,Universities
28,Beijing University of Posts and Telecommunications,CHN,Universities
29,Jet Propulsion Laboratory,USA,Government
30,University of Waterloo,CAN,Universities
31,Nanjing University of Posts and Telecommunications,CHN,Universities
32,U.S. Air Force,USA,Government
33,Georgia Institute of Technology *,USA,Universities
34,Purdue University,USA,Universities
35,Politecnico di Milano,ITA,Universities
36,Glenn Research Center,USA,Government
37,Dalian University of Technology,CHN,Universities
38,Stanford University *,USA,Universities
39,Qingdao University of Science and Technology,CHN,Universities
40,Zhejiang University *,CHN,Universities
41,Imam Khomeini International University,IRN,Universities
42,State Grid Corporation of China *,CHN,Companies
43,Cranfield University,GBR,Universities
44,Nanyang Technological University *,SGP,Universities
45,James Cook University *,AUS,Universities
46,Vignan University,IND,Universities
47,European Space Research and Technology Centre,NLD,Government
48,European Space Agency *,MUL,Government
49,Beijing Jiaotong University,CHN,Universities
50,Russian Academy of Sciences *,RUS,Government
51,"University of California, Berkeley *",USA,Universities
52,"University of California, Irvine *",USA,Universities
53,University of Illinois at Urbana-Champaign *,USA,Universities
54,Huazhong University of Science and Technology *,CHN,Universities
