Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Ministry of Agriculture,CHN,Government
4,Centre National de la Recherche Scientifique *,FRA,Government
5,Consejo Superior de Investigaciones Cientificas *,ESP,Government
6,United States Department of Agriculture,USA,Government
7,Google International LLC,MUL,Companies
8,Chinese Academy of Agricultural Sciences *,CHN,Government
9,University of Chinese Academy of Sciences,CHN,Universities
10,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
11,China Agricultural University,CHN,Universities
12,Alphabet Inc *,MUL,Companies
13,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
14,Universidade de Sao Paulo *,BRA,Universities
15,Wageningen University and Research Centre *,NLD,Universities
16,Helmholtz Gemeinschaft *,DEU,Government
17,Russian Academy of Sciences *,RUS,Government
18,Nanjing Agricultural University,CHN,Universities
19,Leibniz Gemeinschaft *,DEU,Government
20,Max Planck Gesellschaft *,DEU,Government
21,National Institutes of Health,USA,Health
22,Zhejiang University *,CHN,Universities
23,Huazhong Agricultural University,CHN,Universities
24,Northwest A and F University,CHN,Universities
25,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit
26,National Library of Medicine,USA,Health
27,University of Florida *,USA,Universities
28,National Center for Biotechnology Information,USA,Government
29,State Grid Corporation of China *,CHN,Companies
30,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
31,"University of California, Davis *",USA,Universities
32,Jiangnan University *,CHN,Universities
33,Cornell University *,USA,Universities
34,ShanghaiTech University,CHN,Universities
35,The University of Queensland *,AUS,Universities
36,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences",CHN,Government
37,German Cancer Consortium,DEU,Government
38,AstraZeneca *,MUL,Companies
39,Consiglio Nazionale delle Ricerche *,ITA,Government
40,South China Agricultural University,CHN,Universities
41,Michigan State University,USA,Universities
42,Sahlgrenska University Hospital,SWE,Health
43,University of Copenhagen,DNK,Universities
44,South China University of Technology,CHN,Universities
45,Mayo Clinic *,USA,Health
46,Samsung Corp *,MUL,Companies
47,Harvard University *,USA,Universities
48,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities
49,National Institute of Allergy and Infectious Diseases,USA,Health
50,U.S. Department of Health & Human Services *,USA,Health
51,Shanghai Jiao Tong University *,CHN,Universities
52,"University of Wisconsin, Madison *",USA,Universities
53,Cambridge University Hospitals NHS Foundation Trust,GBR,Health
54,University of Georgia,USA,Universities
55,Iowa State University,USA,Universities
56,University of Oxford,GBR,Universities
57,Indian Council of Agricultural Research *,IND,Government
58,Ghent University,BEL,Universities
59,Academy of Sciences of the Czech Republic *,CZE,Government
60,"University of Minnesota, Twin Cities *",USA,Universities
61,Biotechnology and Biological Sciences Research Council *,GBR,Government
62,Korea Institute of Science and Technology,KOR,Government
63,The University of British Columbia,CAN,Universities
64,Broad Institute of MIT and Harvard,USA,Health
65,Microsoft Corp *,MUL,Companies
66,Eurecat Centre Tecnologic de Catalunya,ESP,Non-Profit
67,Merck *,MUL,Companies
68,Swedish University of Agricultural Sciences,SWE,Universities
69,University of Illinois at Urbana-Champaign *,USA,Universities
70,Max-Delbruck-Centrum fur Molekulare Medizin ,DEU,Government
71,University of Macau,MAC,Universities
72,University of Cambridge *,GBR,Universities
73,Daegu Gyeongbuk Institute of Science and Technology,KOR,Universities
74,Universidad Nacional Autonoma de Mexico,MEX,Universities
75,Zhujiang Hospital,CHN,Health
76,Tel Aviv Sourasky Medical Center,ISR,Health
77,John Innes Center,GBR,Government
78,Pfizer *,MUL,Companies
79,Empresa Brasileira de Pesquisa Agropecuaria *,BRA,Government
80,"University of California, Berkeley *",USA,Universities
81,University of Electronic Science and Technology of China,CHN,Universities
82,Boyce Thompson Institute for Plant Research,USA,Non-Profit
83,Sorbonne Universite *,FRA,Universities
84,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government
85,University of Melbourne *,AUS,Universities
86,Massachusetts Institute of Technology *,USA,Universities
87,Seoul National University *,KOR,Universities
88,Institut de Recherche pour le Developpement Paris *,FRA,Government
89,North Carolina State University,USA,Universities
90,Cancer Research UK,GBR,Health
91,Shandong Agricultural University,CHN,Universities
92,Aarhus University *,DNK,Universities
93,Stanford University *,USA,Universities
94,Universite Montpellier *,FRA,Universities
95,United States Geological Survey,USA,Government
96,Boehringer Ingelheim *,MUL,Companies
97,University of Guelph,CAN,Universities
98,Tsinghua University *,CHN,Universities
99,St Jude Childrens Research Hospital,USA,Health
100,Consejo Nacional de Ciencia y Tecnologia *,MEX,Government
100,Deutsches Krebsforschungszentrum,DEU,Government
102,Purdue University,USA,Universities
103,Jackson Laboratory,USA,Health
104,"AstraZeneca, United Kingdom",GBR,Companies
105,Yangzhou University,CHN,Universities
106,Guangzhou University of Traditional Chinese Medicine *,CHN,Universities
107,University of Washington *,USA,Universities
108,Polish Academy of Sciences *,POL,Government
109,Fraunhofer Institut fur Molekularbiologie und Angewandte Oekologie,DEU,Government
110,Flanders Interuniversity Institute for Biotechnology,BEL,Government
111,Deutsches Zentrum fur Herz Kreislauf Forschung,DEU,Health
112,University of Helsinki,FIN,Universities
113,"Texas A&M University, College Station *",USA,Universities
114,Oregon State University,USA,Universities
115,Oxford University Hospitals NHS Trust,GBR,Health
116,Fujian Agriculture and Forestry University,CHN,Universities
117,Thomas Jefferson University *,USA,Universities
118,Jiangsu University *,CHN,Universities
119,Howard Hughes Medical Institute *,USA,Health
120,National Institute of Public Health of Japan,JPN,Health
121,Pennsylvania State University *,USA,Universities
122,Sichuan Agricultural University,CHN,Universities
123,University of Sydney,AUS,Universities
123,The University of Western Australia,AUS,Universities
125,Southwest University *,CHN,Universities
126,University of Tokyo *,JPN,Universities
127,"Ohio State University, Columbus *",USA,Universities
128,Stanford Medicine,USA,Health
129,Sun Yat-Sen University *,CHN,Universities
130,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
131,The University of Edinburgh *,GBR,Universities
132,Agriculture and Agri-Food Canada,CAN,Government
133,"Academy of Military Medical Sciences, Academy of Military Sciences of PLA",CHN,Health
134,Nanjing Forestry University,CHN,Universities
135,Beijing University of Chinese Medicine *,CHN,Universities
136,F Hoffmann-La Roche *,MUL,Companies
137,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
138,Northeast Agricultural University,CHN,Universities
139,"University of California, San Diego *",USA,Universities
140,"Hoffmann-La Roche Ltd, United States",USA,Companies
141,Salk Institute for Biological Studies,USA,Health
142,Centro de Investigacion Biomedica en Red de Fragilidad y Envejecimiento Saludable,ESP,Health
143,"Dalian Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
144,Collaborative Innovation Center of Chemical Science and Engineering,CHN,Government
145,Huazhong University of Science and Technology *,CHN,Universities
146,Universite PSL *,FRA,Universities
147,Peking University *,CHN,Universities
147,Duke Medicine,USA,Health
149,"Chang Gung Memorial Hospital, Taoyuan",TWN,Health
150,Tokyo Medical and Dental University,JPN,Universities
151,Weifang University of Science and Technology,CHN,Universities
151,University of Massachusetts Medical School,USA,Universities
153,Texas Children's Hospital ,USA,Health
154,Beijing Forestry University,CHN,Universities
154,Jilin University *,CHN,Universities
156,Kyung Hee University *,KOR,Universities
