Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Tsinghua University *,CHN,Universities
3,Tongji University *,CHN,Universities
4,Beijing Jiaotong University,CHN,Universities
5,"Southeast University, Nanjing *",CHN,Universities
6,Chinese Academy of Sciences *,CHN,Government
7,Beijing Institute of Technology,CHN,Universities
8,Centre National de la Recherche Scientifique *,FRA,Government
9,Southwest Jiaotong University,CHN,Universities
10,Toyota Group *,MUL,Companies
11,"University of Michigan, Ann Arbor *",USA,Universities
12,Helmholtz Gemeinschaft *,DEU,Government
13,"University of California, Berkeley *",USA,Universities
14,Xidian University,CHN,Universities
15,University of Waterloo,CAN,Universities
16,BeiHang University *,CHN,Universities
17,University of Electronic Science and Technology of China,CHN,Universities
18,Delft University of Technology,NLD,Universities
19,Nanyang Technological University *,SGP,Universities
20,Zhejiang University *,CHN,Universities
21,Shanghai Jiao Tong University *,CHN,Universities
22,Stanford University *,USA,Universities
23,Massachusetts Institute of Technology *,USA,Universities
24,Chalmers University of Technology *,SWE,Universities
25,Technische Universitat Munchen *,DEU,Universities
26,State Grid Corporation of China *,CHN,Companies
27,Beijing University of Posts and Telecommunications,CHN,Universities
28,Carnegie Mellon University *,USA,Universities
29,Ford Motor Company *,MUL,Companies
30,"Ford Motor Co, USA",USA,Companies
31,Harbin Institute of Technology,CHN,Universities
32,Karlsruher Institut fur Technologie,DEU,Universities
33,Jilin University *,CHN,Universities
34,Universitat Ulm *,DEU,Universities
35,Dalian University of Technology,CHN,Universities
36,Nanjing University of Posts and Telecommunications,CHN,Universities
37,Auburn University,USA,Universities
38,The University of British Columbia,CAN,Universities
39,Chang'an University ,CHN,Universities
40,Chongqing University,CHN,Universities
41,Northwestern Polytechnical University,CHN,Universities
42,Sun Yat-Sen University *,CHN,Universities
43,Universidad de Alcala *,ESP,Universities
44,South China University of Technology,CHN,Universities
45,"University of California, San Diego *",USA,Universities
46,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
47,"Bosch, Germany",DEU,Companies
