Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Harvard University *,USA,Universities
4,Centre National de la Recherche Scientifique *,FRA,Government
5,National Institutes of Health,USA,Health
6,Harvard Medical School,USA,Universities
7,U.S. Department of Health & Human Services *,USA,Health
8,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
9,Helmholtz Gemeinschaft *,DEU,Government
10,"Google Inc, USA",USA,Companies
11,University of Chinese Academy of Sciences,CHN,Universities
12,Massachusetts Institute of Technology *,USA,Universities
13,Google International LLC,MUL,Companies
14,Stanford University *,USA,Universities
15,Shanghai Jiao Tong University *,CHN,Universities
16,Zhejiang University *,CHN,Universities
17,Max Planck Gesellschaft *,DEU,Government
18,The New York Genome Center,USA,Health
19,Howard Hughes Medical Institute *,USA,Health
20,Johns Hopkins University *,USA,Universities
21,European Bioinformatics Institute EMBL,GBR,Government
22,University of Pennsylvania *,USA,Universities
23,Cornell University *,USA,Universities
24,Consejo Superior de Investigaciones Cientificas *,ESP,Government
25,Peking University *,CHN,Universities
26,Russian Academy of Sciences *,RUS,Government
27,University of Oxford,GBR,Universities
28,Broad Institute of MIT and Harvard,USA,Health
29,Medical Research Council,GBR,Health
30,Dana Farber Cancer Institute ,USA,Health
31,National Library of Medicine,USA,Health
32,Massachusetts General Hospital,USA,Health
33,National Center for Biotechnology Information,USA,Government
34,University of Texas M.D. Anderson Cancer Center ,USA,Health
35,"University of California, San Diego *",USA,Universities
36,University of Cambridge *,GBR,Universities
37,Fudan University *,CHN,Universities
38,University of Washington *,USA,Universities
39,"University of Michigan, Ann Arbor *",USA,Universities
40,Wellcome Trust,GBR,Health
41,Tsinghua University *,CHN,Universities
42,"University of California, San Francisco *",USA,Universities
43,Deutsches Primatenzentrum,DEU,Government
44,Veterans Affairs Medical Centers *,USA,Health
45,European Molecular Biology Laboratory Heidelberg,DEU,Government
46,"University of California, Los Angeles *",USA,Universities
47,Memorial Sloan-Kettering Cancer Center,USA,Health
48,Instituto de Salud Carlos III *,ESP,Health
49,University College London *,GBR,Universities
50,European Molecular Biology Organization *,DEU,Government
51,Yale University *,USA,Universities
52,Sun Yat-Sen University *,CHN,Universities
53,Brigham and Women's Hospital,USA,Health
54,Huazhong University of Science and Technology *,CHN,Universities
55,University of Toronto,CAN,Universities
56,"Microsoft, USA",USA,Companies
57,Columbia University *,USA,Universities
58,Microsoft Corp *,MUL,Companies
59,Johns Hopkins Medicine,USA,Health
60,Duke University *,USA,Universities
61,Stanford Medicine,USA,Health
62,Mayo Clinic *,USA,Health
63,State Grid Corporation of China *,CHN,Companies
64,Sichuan University *,CHN,Universities
65,University of Pennsylvania Health System,USA,Health
66,Chinese Academy of Agricultural Sciences *,CHN,Government
67,National University of Singapore *,SGP,Universities
68,National Cancer Institute,USA,Health
69,University of Copenhagen,DNK,Universities
70,Washington University in Saint Louis *,USA,Universities
71,"Northwestern University, Evanston *",USA,Universities
72,"Novartis Institutes for Biomedical Research, United States",USA,Companies
73,"University of North Carolina, Chapel Hill *",USA,Universities
74,Scripps Research Institute,USA,Health
75,"University of California, Berkeley *",USA,Universities
76,Weill Cornell Medicine,USA,Universities
77,Consiglio Nazionale delle Ricerche *,ITA,Government
78,Ministry of Agriculture,CHN,Government
79,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
80,Universite de Paris Cite *,FRA,Universities
81,University of Tokyo *,JPN,Universities
82,Central South University *,CHN,Universities
83,Imperial College London,GBR,Universities
84,University of Melbourne *,AUS,Universities
85,Assistance Publique Hopitaux de Paris *,FRA,Health
86,Jilin University *,CHN,Universities
87,Alphabet Inc *,MUL,Companies
88,Leibniz Gemeinschaft *,DEU,Government
89,Seoul National University *,KOR,Universities
90,Karolinska Institute,SWE,Universities
91,"University of California, Davis *",USA,Universities
92,Sorbonne Universite *,FRA,Universities
93,New York University *,USA,Universities
94,"Ohio State University, Columbus *",USA,Universities
95,Deutsches Krebsforschungszentrum,DEU,Government
96,Cold Spring Harbor Laboratory,USA,Health
97,"University of Wisconsin, Madison *",USA,Universities
98,Vanderbilt University *,USA,Universities
99,Toyota Group *,MUL,Companies
100,"Ragon Institute of MGH, MIT and Harvard",USA,Health
101,F Hoffmann-La Roche *,MUL,Companies
102,Whitehead Institute for Biomedical Research,USA,Health
103,Yale University Health & Medicine,USA,Health
104,University of Amsterdam *,NLD,Universities
105,Utrecht University *,NLD,Universities
106,University of Pittsburgh *,USA,Universities
107,Fred Hutchinson Cancer Research Center,USA,Health
108,Lawrence Berkeley National Laboratory *,USA,Government
109,Mount Sinai Health System *,USA,Health
110,Wellcome Trust Sanger Institute,GBR,Health
111,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government
112,"University of Minnesota, Twin Cities *",USA,Universities
113,The University of Queensland *,AUS,Universities
114,Universite Paris-Saclay *,FRA,Universities
115,Samsung Corp *,MUL,Companies
116,Emory University *,USA,Universities
117,Shandong University *,CHN,Universities
118,Vrije Universiteit Amsterdam *,NLD,Universities
119,Ionis Pharmaceuticals,USA,Companies
120,University of Southern California *,USA,Universities
121,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
122,"Hoffmann-La Roche Ltd, United States",USA,Companies
123,Wuhan University *,CHN,Universities
124,University of Florida *,USA,Universities
125,University of Chicago *,USA,Universities
126,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
127,Washington University Medical Center ,USA,Health
128,UC San Diego Health System,USA,Health
129,Leiden University *,NLD,Universities
129,Duke Medicine,USA,Health
131,Catholic University of Leuven,BEL,Universities
132,Genentech Inc,USA,Companies
132,Novartis *,MUL,Companies
134,The University of British Columbia,CAN,Universities
135,AstraZeneca *,MUL,Companies
136,Cancer Research UK,GBR,Health
137,The University of Edinburgh *,GBR,Universities
138,Gilead Sciences *,MUL,Companies
139,"Gilead Sciences Inc, United States",USA,Companies
140,Baylor College of Medicine,USA,Universities
141,Xi'an Jiaotong University *,CHN,Universities
142,Icahn School of Medicine at Mount Sinai,USA,Universities
143,"Monash University, Melbourne *",AUS,Universities
144,University of Texas Southwestern Medical Center ,USA,Universities
145,Swiss Institute of Bioinformatics,CHE,Non-Profit
146,Swiss Federal Institute of Technology,CHE,Universities
147,Chan Zuckerberg Biohub,USA,Health
148,UCLA Health System,USA,Health
149,Kings College London,GBR,Universities
150,Hubrecht Institute,NLD,Government
151,Children's Hospital Boston  *,USA,Health
152,"Agency for Science, Technology and Research Singapore *",SGP,Government
153,Universidade de Sao Paulo *,BRA,Universities
154,Zhengzhou University *,CHN,Universities
155,Columbia University Irving Medical Center,USA,Health
156,Joint BioEnergy Institute,USA,Government
157,Sarah Cannon Research Institute,USA,Health
158,Nanjing Medical University *,CHN,Universities
159,"Sandia National Laboratories, California",USA,Government
160,"Soochow University, Suzhou *",CHN,Universities
161,Peking University Health Science Center,CHN,Universities
162,New York Blood Center,USA,Health
163,Kyoto University *,JPN,Universities
164,IBM United States,USA,Companies
165,Tongji University *,CHN,Universities
166,Novo Nordisk *,MUL,Companies
167,Novo Nordisk A/S,DNK,Companies
168,Vanderbilt University Medical Center,USA,Health
169,University of Science and Technology of China,CHN,Universities
170,Tianjin University *,CHN,Universities
