Global Rank,Institution,Country,Sector
1,University of Oxford,GBR,Universities
2,University of Cambridge *,GBR,Universities
3,Centre National de la Recherche Scientifique *,FRA,Government
4,Russian Academy of Sciences *,RUS,Government
5,Princeton University,USA,Universities
6,Saint Petersburg State University,RUS,Universities
7,Universidad Complutense de Madrid *,ESP,Universities
8,State University - Higher School of Economics,RUS,Universities
9,Universita degli Studi di Roma La Sapienza,ITA,Universities
10,University College London *,GBR,Universities
11,University of St. Andrews,GBR,Universities
12,Universidad de Zaragoza *,ESP,Universities
13,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
14,Universite PSL *,FRA,Universities
15,Scuola Normale Superiore Pisa *,ITA,Universities
16,Sorbonne Universite *,FRA,Universities
17,University of Ljubljana *,SVN,Universities
18,University of Warsaw,POL,Universities
19,Universidad de Granada *,ESP,Universities
20,Universita degli Studi Ca Foscari di Venezia,ITA,Universities
21,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
