Global Rank,Institution,Country,Sector
1,"Google Inc, USA",USA,Companies
2,Google International LLC,MUL,Companies
3,University of Amsterdam *,NLD,Universities
4,Alphabet Inc *,MUL,Companies
5,"University of Texas, Austin",USA,Universities
6,Michigan State University,USA,Universities
7,Centre National de la Recherche Scientifique *,FRA,Government
8,Nanyang Technological University *,SGP,Universities
9,Tsinghua University *,CHN,Universities
10,Pennsylvania State University *,USA,Universities
11,Massachusetts Institute of Technology *,USA,Universities
12,Universitat Wien,AUT,Universities
13,University of Southern California *,USA,Universities
14,"University of Michigan, Ann Arbor *",USA,Universities
15,University of Oxford,GBR,Universities
16,Universidad Complutense de Madrid *,ESP,Universities
17,"University of Wisconsin, Madison *",USA,Universities
18,Universitat Zurich,CHE,Universities
19,"Northwestern University, Evanston *",USA,Universities
20,University of Pennsylvania *,USA,Universities
21,Zhejiang University *,CHN,Universities
22,University of Washington *,USA,Universities
23,Arizona State University *,USA,Universities
24,University of Illinois at Urbana-Champaign *,USA,Universities
25,"Ohio State University, Columbus *",USA,Universities
26,University of Melbourne *,AUS,Universities
27,University College London *,GBR,Universities
28,Catholic University of Leuven,BEL,Universities
29,Queensland University of Technology,AUS,Universities
30,Shanghai Jiao Tong University *,CHN,Universities
31,"University of Maryland, Baltimore",USA,Universities
32,University of Sydney,AUS,Universities
33,University of Helsinki,FIN,Universities
34,Princeton University,USA,Universities
35,London School of Economics and Political Science,GBR,Universities
36,Universitat Pompeu Fabra *,ESP,Universities
37,University of Georgia,USA,Universities
38,Cornell University *,USA,Universities
39,Indiana University-Bloomington,USA,Universities
40,University of Toronto,CAN,Universities
41,Peking University *,CHN,Universities
42,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
43,Stanford University *,USA,Universities
44,"University of Minnesota, Twin Cities *",USA,Universities
45,New York University *,USA,Universities
46,Universitat Autonoma de Barcelona *,ESP,Universities
47,"Rutgers, The State University of New Jersey",USA,Universities
48,"University of California, Santa Barbara",USA,Universities
49,"University of North Carolina, Chapel Hill *",USA,Universities
50,National University of Singapore *,SGP,Universities
51,"Monash University, Melbourne *",AUS,Universities
52,York University,CAN,Universities
53,Universidad Rey Juan Carlos *,ESP,Universities
54,University of Florida *,USA,Universities
55,Universidad de Sevilla *,ESP,Universities
56,Temple University *,USA,Universities
57,Kings College London,GBR,Universities
58,University of Leeds,GBR,Universities
59,University of Groningen *,NLD,Universities
60,The University of Edinburgh *,GBR,Universities
61,Columbia University *,USA,Universities
62,Ghent University,BEL,Universities
63,Texas Tech University,USA,Universities
64,Xi'an Jiaotong University *,CHN,Universities
65,"University of California, Los Angeles *",USA,Universities
66,University of Oslo,NOR,Universities
67,"University of Colorado, Boulder *",USA,Universities
68,Vrije Universiteit Amsterdam *,NLD,Universities
69,Deakin University *,AUS,Universities
70,Tampere University,FIN,Universities
71,Hong Kong Baptist University,HKG,Universities
72,Harvard University *,USA,Universities
73,University of New South Wales,AUS,Universities
74,Purdue University,USA,Universities
75,"University of Massachusetts, Amherst",USA,Universities
76,University of Gothenburg,SWE,Universities
77,University of Cambridge *,GBR,Universities
78,Utrecht University *,NLD,Universities
79,Radboud University Nijmegen,NLD,Universities
80,University of Utah *,USA,Universities
81,University of Science and Technology of China,CHN,Universities
82,University of Antwerp,BEL,Universities
83,Huazhong University of Science and Technology *,CHN,Universities
84,Carnegie Mellon University *,USA,Universities
85,Universidad Carlos III de Madrid *,ESP,Universities
86,University of Copenhagen,DNK,Universities
87,Universidad de Granada *,ESP,Universities
88,Aalto University,FIN,Universities
89,University of Twente,NLD,Universities
90,University of Arizona *,USA,Universities
91,Simon Fraser University,CAN,Universities
92,"University of Alabama, Tuscaloosa",USA,Universities
93,Universita degli Studi di Trento,ITA,Universities
94,Erasmus University Rotterdam *,NLD,Universities
95,Universidad de Salamanca *,ESP,Universities
96,Johannes Gutenberg-Universitat Mainz *,DEU,Universities
97,Royal Melbourne Institute of Technology *,AUS,Universities
98,University of Kentucky *,USA,Universities
99,The University of Sheffield,GBR,Universities
100,The University of Queensland *,AUS,Universities
101,University of Jyvaskyla,FIN,Universities
102,Universidad de Navarra *,ESP,Universities
103,Cardiff University,GBR,Universities
104,Loughborough University,GBR,Universities
105,University of Oregon,USA,Universities
106,"University of California, Davis *",USA,Universities
107,"Ormat Technologies, United States",USA,Companies
107,Ormat Technologies Inc *,MUL,Companies
109,Hebrew University of Jerusalem,ISR,Universities
110,University of Waterloo,CAN,Universities
111,Curtin University *,AUS,Universities
112,Yale University *,USA,Universities
113,Universidade de Sao Paulo *,BRA,Universities
114,University of Turku,FIN,Universities
115,Boston University *,USA,Universities
116,"University of Technology, Sydney",AUS,Universities
117,Nanjing University *,CHN,Universities
118,The Chinese University of Hong Kong *,HKG,Universities
119,The University of Manchester *,GBR,Universities
120,University of Kansas *,USA,Universities
121,"University of Missouri, Columbia *",USA,Universities
122,Universitat de Valencia *,ESP,Universities
123,Aarhus University *,DNK,Universities
124,Universidad del Pais Vasco *,ESP,Universities
125,City University London,GBR,Universities
126,Universitat Jaume I *,ESP,Universities
127,Johns Hopkins University *,USA,Universities
128,Universidad de Malaga *,ESP,Universities
129,West Virginia University *,USA,Universities
130,"University of Connecticut, Storrs *",USA,Universities
131,University of Glasgow *,GBR,Universities
132,"State University of New York, Buffalo",USA,Universities
133,Auburn University,USA,Universities
134,Freie Universitat Berlin,DEU,Universities
135,Lancaster University *,GBR,Universities
136,"University of California, Berkeley *",USA,Universities
137,Massey University,NZL,Universities
138,University of Auckland,NZL,Universities
139,The University of Kent,GBR,Universities
140,Macquarie University *,AUS,Universities
141,University of South Florida System *,USA,Universities
142,Universitat Mannheim,DEU,Universities
143,North Carolina State University,USA,Universities
144,University of Iowa *,USA,Universities
145,University of Oklahoma *,USA,Universities
146,Georgia State University,USA,Universities
147,Universidad de Zaragoza *,ESP,Universities
148,Universidade Federal de Minas Gerais,BRA,Universities
149,Universidade de Santiago de Compostela *,ESP,Universities
150,University of South Florida,USA,Universities
151,U.S. Department of Health & Human Services *,USA,Health
152,Sungkyunkwan University,KOR,Universities
153,University of Chicago *,USA,Universities
154,"University of California, San Diego *",USA,Universities
155,McGill University,CAN,Universities
156,De La Salle University,PHL,Universities
157,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
158,The University of Hong Kong *,HKG,Universities
158,Universidad de Valladolid *,ESP,Universities
160,University of Liverpool *,GBR,Universities
161,University of Nottingham *,GBR,Universities
162,"Texas A&M University, College Station *",USA,Universities
163,University of Haifa,ISR,Universities
164,Ohio University,USA,Universities
165,Clemson University,USA,Universities
166,City University of Hong Kong *,HKG,Universities
167,Yonsei University *,KOR,Universities
168,"University of Tennessee, Knoxville *",USA,Universities
