Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Chinese Academy of Sciences *,CHN,Government
3,State Grid Corporation of China *,CHN,Companies
4,Tsinghua University *,CHN,Universities
5,University of Chinese Academy of Sciences,CHN,Universities
6,Centre National de la Recherche Scientifique *,FRA,Government
7,Helmholtz Gemeinschaft *,DEU,Government
8,"Google Inc, USA",USA,Companies
9,Xi'an Jiaotong University *,CHN,Universities
10,Google International LLC,MUL,Companies
11,Zhejiang University *,CHN,Universities
12,Huazhong University of Science and Technology *,CHN,Universities
13,Shanghai Jiao Tong University *,CHN,Universities
14,Tianjin University *,CHN,Universities
15,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,UZB,Universities
16,South China University of Technology,CHN,Universities
17,North China Electric Power University,CHN,Universities
18,Harbin Institute of Technology,CHN,Universities
19,Peking University *,CHN,Universities
20,"Samsung Electronics, South Korea",KOR,Companies
21,Samsung Corp *,MUL,Companies
22,Samsung Advanced Institute Technology,KOR,Non-Profit
23,China University of Petroleum,CHN,Universities
24,Chongqing University,CHN,Universities
25,China National Petroleum Corp *,CHN,Companies
26,Beijing Institute of Technology,CHN,Universities
27,University of Science and Technology of China,CHN,Universities
28,China University of Mining and Technology,CHN,Universities
29,Central South University *,CHN,Universities
30,Shandong University *,CHN,Universities
31,LG Corporation *,MUL,Companies
32,Joint BioEnergy Institute,USA,Government
33,"Southeast University, Nanjing *",CHN,Universities
34,"Institute of Microbiology, Chinese Academy of Sciences",CHN,Government
35,Nanyang Technological University *,SGP,Universities
36,National University of Singapore *,SGP,Universities
37,Hunan University,CHN,Universities
38,Stanford University *,USA,Universities
39,China Petroleum and Chemical Corporation *,CHN,Companies
40,PetroChina Co Ltd,CHN,Companies
41,Aalborg University *,DNK,Universities
42,"University of Texas, Austin",USA,Universities
43,Dalian University of Technology,CHN,Universities
44,Massachusetts Institute of Technology *,USA,Universities
45,Sichuan University *,CHN,Universities
46,SLAC National Accelerator Laboratory,USA,Government
47,National Renewable Energy Laboratory,USA,Government
48,Nankai University *,CHN,Universities
49,Lawrence Berkeley National Laboratory *,USA,Government
50,"BASF, Germany",DEU,Companies
51,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government
52,Tongji University *,CHN,Universities
53,Russian Academy of Sciences *,RUS,Government
54,"Soochow University, Suzhou *",CHN,Universities
55,BeiHang University *,CHN,Universities
56,Imperial College London,GBR,Universities
57,Wuhan University *,CHN,Universities
58,University of Electronic Science and Technology of China,CHN,Universities
59,Basque Center for Macromolecular Design and Engineering,ESP,Government
60,"University of California, Berkeley *",USA,Universities
61,Jilin University *,CHN,Universities
62,Technical University of Denmark,DNK,Universities
63,University of New South Wales,AUS,Universities
64,Toyota Group *,MUL,Companies
65,Argonne National Laboratory,USA,Government
66,Wuhan University of Technology,CHN,Universities
67,King Abdullah University of Science and Technology,SAU,Universities
68,Oak Ridge National Laboratory,USA,Government
69,Ecole Polytechnique Federale de Lausanne,CHE,Universities
70,Delft University of Technology,NLD,Universities
71,Okinawa Institute of Science and Technology Graduate University,JPN,Universities
72,BASF Group *,MUL,Companies
73,Sumy State University,UKR,Universities
74,City University of Hong Kong *,HKG,Universities
75,Jiangsu University *,CHN,Universities
76,Beijing National Laboratory for Molecular Sciences,CHN,Government
77,Louisiana State University Agricultural Center,USA,Non-Profit
78,"Texas A&M University, College Station *",USA,Universities
79,Georgia Institute of Technology *,USA,Universities
80,Southwest Petroleum University,CHN,Universities
81,University of Oxford,GBR,Universities
82,"Exploration and Petroleum Engineering Advanced Research Center, SAU",SAU,Companies
83,Zhejiang University of Technology,CHN,Universities
84,Hong Kong Polytechnic University,HKG,Universities
85,"Saudi Arabian Oil Co, USA",USA,Companies
86,Xiamen University *,CHN,Universities
87,"Dalian Institute of Chemical Physics, Chinese Academy of Sciences",CHN,Government
88,Collaborative Innovation Center of Chemical Science and Engineering,CHN,Government
89,Karlsruher Institut fur Technologie,DEU,Universities
90,Swiss Federal Institute of Technology,CHE,Universities
91,"Institute of Chemistry, Academia Sinica",TWN,Government
92,Bar-Ilan University,ISR,Universities
93,China University of Geosciences,CHN,Universities
94,Pacific Northwest National Laboratory,USA,Government
95,Ostfold University College,NOR,Universities
96,Consejo Superior de Investigaciones Cientificas *,ESP,Government
97,Drexel University,USA,Universities
98,Leibniz-Institut fur Neue Materialien,DEU,Government
99,Consiglio Nazionale delle Ricerche *,ITA,Government
100,National Center for Nanoscience and Technology of China,CHN,Government
101,"China University of Petroleum, Beijing",CHN,Universities
102,Aramco *,MUL,Companies
103,"Northwestern University, Evanston *",USA,Universities
104,"University of Tennessee, Knoxville *",USA,Universities
105,Zhengzhou University *,CHN,Universities
106,"Shanghai Institute of Ceramics, Chinese Academy of Sciences",CHN,Government
107,University of Cambridge *,GBR,Universities
108,Laboratoire des Signaux et Systemes,FRA,Government
109,University of Science and Technology Beijing,CHN,Universities
110,Institute of Materials Research and Engineering,SGP,Government
111,Fraunhofer Gesellschaft *,DEU,Government
112,University of Washington *,USA,Universities
113,"University of Technology, Sydney",AUS,Universities
114,Forschungszentrum Julich in der Helmholtz Gemeinschaft,DEU,Government
115,Fudan University *,CHN,Universities
115,China Pharmaceutical University,CHN,Universities
117,"Institute of Physics, Chinese Academy of Sciences",CHN,Government
118,Carnegie Institution for Science *,USA,Non-Profit
119,Fuzhou University,CHN,Universities
120,Wuhan Polytechnic University,CHN,Universities
121,Australian Research Council Centre of Excellence for Electromaterials Science,AUS,Government
122,China Southern Power Grid Co Ltd *,CHN,Companies
123,Nanjing University of Technology,CHN,Universities
124,Hanyang University *,KOR,Universities
125,Technische Universitat Munchen *,DEU,Universities
126,Sun Yat-Sen University *,CHN,Universities
127,"Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences",CHN,Government
128,European Commission - Joint Research Centre,MUL,Government
129,"University of Wisconsin, Madison *",USA,Universities
130,Guangdong University of Technology,CHN,Universities
131,European Commission *,MUL,Government
132,Beijing University of Chemical Technology,CHN,Universities
133,University of Nottingham *,GBR,Universities
134,"Saudi Arabian Oil Co, Saudi Arabia",SAU,Companies
135,"Institute of Semiconductors, Chinese Academy of Sciences",CHN,Government
136,Donghua University,CHN,Universities
