Global Rank,Institution,Country,Sector
1,U.S. Department of Health & Human Services *,USA,Health
2,Centers for Disease Control and Prevention,USA,Health
3,Harvard University *,USA,Universities
4,National Institutes of Health,USA,Health
5,Chinese Academy of Sciences *,CHN,Government
6,Veterans Affairs Medical Centers *,USA,Health
7,Harvard Medical School,USA,Universities
8,Johns Hopkins University *,USA,Universities
9,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
10,"World Health Organization, Denmark",DNK,Health
11,University of Washington *,USA,Universities
12,University College London *,GBR,Universities
13,Erasmus University Rotterdam *,NLD,Universities
14,Medical Research Council,GBR,Health
15,Erasmus Medical Center,NLD,Health
16,National Institute on Aging,USA,Health
17,World Health Organization *,MUL,Health
18,"University of California, San Francisco *",USA,Universities
19,Center for Disease Control and Prevention China,CHN,Health
20,Mayo Clinic *,USA,Health
21,Universitat zu Koln,DEU,Universities
22,Columbia University *,USA,Universities
23,Brigham and Women's Hospital,USA,Health
24,Yale University *,USA,Universities
25,Wuhan University *,CHN,Universities
26,"University of North Carolina, Chapel Hill *",USA,Universities
27,"University of Michigan, Ann Arbor *",USA,Universities
28,University of Oxford,GBR,Universities
29,"World Health Organization, Switzerland",CHE,Health
30,University of Pennsylvania *,USA,Universities
31,London School of Hygiene and Tropical Medicine,GBR,Universities
32,Stanford University *,USA,Universities
33,Emory University *,USA,Universities
34,Westmead Hospital ,AUS,Health
35,Washington University in Saint Louis *,USA,Universities
36,Fudan University *,CHN,Universities
37,Azienda Ospedaliera di Verona,ITA,Health
38,Instituto de Salud Carlos III *,ESP,Health
39,Marshfield Clinic,USA,Health
40,Columbia University Irving Medical Center,USA,Health
41,The University of Hong Kong *,HKG,Universities
42,Centre National de la Recherche Scientifique *,FRA,Government
43,"University of California, San Diego *",USA,Universities
44,Eberhard-Karls-Universitat Tubingen,DEU,Universities
45,Technion - Israel Institute of Technology *,ISR,Universities
46,Public Health England,GBR,Health
47,Utrecht University *,NLD,Universities
48,Duke University *,USA,Universities
49,"Texas A&M University, Health Science Center",USA,Universities
50,Samsung Corp *,MUL,Companies
51,Yale University Health & Medicine,USA,Health
52,Massachusetts General Hospital,USA,Health
53,San Francisco VA Medical Center,USA,Health
54,Universidade Federal do Parana,BRA,Universities
55,University of Melbourne *,AUS,Universities
56,Boston University *,USA,Universities
57,University of Toronto,CAN,Universities
58,Zhejiang University *,CHN,Universities
59,Karolinska Institute,SWE,Universities
60,Centre International de Recherche en Infectiologie,FRA,Government
61,Helmholtz Gemeinschaft *,DEU,Government
62,Assistance Publique Hopitaux de Paris *,FRA,Health
63,"Agency for Science, Technology and Research Singapore *",SGP,Government
64,European Centre for Disease Prevention and Control,SWE,Health
65,Vanderbilt University *,USA,Universities
66,University of Bristol,GBR,Universities
67,Imperial College London,GBR,Universities
68,"University of California, Los Angeles *",USA,Universities
69,Washington University Medical Center ,USA,Health
70,University of Southern California *,USA,Universities
71,Bill and Melinda Gates Foundation,USA,Non-Profit
72,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
73,University of Cambridge *,GBR,Universities
74,Tel Aviv Sourasky Medical Center,ISR,Health
75,Massachusetts Institute of Technology *,USA,Universities
76,Woodruff Health Sciences Center,USA,Health
77,AstraZeneca *,MUL,Companies
78,"Hoffmann-La Roche Ltd, Switzerland",CHE,Companies
79,Complejo Hospitalario Universitario de Santiago,ESP,Health
80,U.S. Department of Energy *,USA,Government
81,National Institute for Public Health and the Environment,NLD,Health
82,National Cancer Institute,USA,Health
83,Universitatsklinikum Essen,DEU,Health
84,Institut d'Investigacions Biomediques August Pi i Sunyer,ESP,Health
85,Technical University of Denmark,DNK,Universities
86,Hiroshima University *,JPN,Universities
87,Tsinghua University *,CHN,Universities
88,"Monash University, Melbourne *",AUS,Universities
89,Ministry of Education of the People's Republic of China,CHN,Government
90,Boston University Medical Campus ,USA,Health
91,National Institute of Public Health of Japan,JPN,Health
92,Vanderbilt University Medical Center,USA,Health
93,Hospices Civils de Lyon *,FRA,Health
94,"University of California, Berkeley *",USA,Universities
95,Oak Ridge Institute for Science and Education,USA,Government
96,University of Glasgow *,GBR,Universities
97,UC San Diego Health System,USA,Health
98,University of Sydney,AUS,Universities
99,Bernhard Nocht Institut fur Tropenmedizin,DEU,Health
100,University of Gothenburg,SWE,Universities
101,University of Pennsylvania Health System,USA,Health
102,Statens Serum Institut,DNK,Health
103,Capital University of Medical Sciences,CHN,Universities
104,Leibniz Gemeinschaft *,DEU,Government
105,Vrije Universiteit Amsterdam *,NLD,Universities
106,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities
107,University of Amsterdam *,NLD,Universities
108,The University of Edinburgh *,GBR,Universities
109,Xiangya Hospital Affiliated to Central South University,CHN,Health
110,Queen Mary Hospital Hong Kong,HKG,Health
111,Huazhong University of Science and Technology *,CHN,Universities
112,Johns Hopkins Medicine,USA,Health
113,Duke Medicine,USA,Health
114,Friedrich Loeffler Institutes Bundesforschungsinstitut fur Tiergesundheit,DEU,Government
115,Barts and the London NHS Trust,GBR,Health
115,New York University *,USA,Universities
117,Jilin University *,CHN,Universities
118,"Kaiser Permanente, Oakland *",USA,Health
119,Stanford Medicine,USA,Health
120,University of Washington Medicine ,USA,Health
121,Cornell University *,USA,Universities
122,Kings College London,GBR,Universities
123,Mount Sinai Health System *,USA,Health
124,University of Chinese Academy of Sciences,CHN,Universities
125,University of Southern California Health Sciences Campus,USA,Health
126,Imperial College Healthcare NHS Trust,GBR,Health
127,Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas,ESP,Health
128,Universitat Duisburg Essen *,DEU,Universities
129,Institut Pasteur de Paris *,FRA,Health
130,The First Affiliated Hospital of Zhejiang University,CHN,Health
131,University of Pittsburgh *,USA,Universities
132,University of Michigan Health System,USA,Health
133,National Institute of Allergy and Infectious Diseases,USA,Health
134,University of Pittsburgh Medical Center ,USA,Health
135,F Hoffmann-La Roche *,MUL,Companies
136,University of New South Wales,AUS,Universities
137,Brown University,USA,Universities
138,Aristotle University of Thessaloniki,GRC,Universities
139,Istituto Superiore di Sanita,ITA,Health
140,United States Department of Agriculture,USA,Government
141,Wageningen University and Research Centre *,NLD,Universities
142,Sun Yat-Sen University *,CHN,Universities
143,Shanghai Jiao Tong University *,CHN,Universities
144,McGill University,CAN,Universities
145,Charite - Universitatsmedizin Berlin *,DEU,Health
146,McMaster University,CAN,Universities
147,Central South University *,CHN,Universities
148,National Heart Lung and Blood Institute,USA,Health
149,US Food and Drug Administration,USA,Government
150,University of Crete,GRC,Universities
151,Medical College of Wisconsin,USA,Universities
152,The University of British Columbia,CAN,Universities
153,National University of Singapore *,SGP,Universities
154,Academisch Medisch Centrum,NLD,Health
155,California Department of Public Health,USA,Health
156,Copenhagen University Hospital,DNK,Health
157,South London and Maudsley NHS Foundation Trust,GBR,Health
158,New York State Department of Health *,USA,Health
159,VA Pittsburgh Healthcare System,USA,Health
160,Deutsches Krebsforschungszentrum,DEU,Government
161,Universitat Heidelberg,DEU,Universities
162,Indiana University-Purdue University Indianapolis,USA,Universities
163,"University of Minnesota, Twin Cities *",USA,Universities
164,"Biogen Idec, USA",USA,Companies
165,Max Planck Gesellschaft *,DEU,Government
166,The University of Manchester *,GBR,Universities
167,"Northwestern University, Evanston *",USA,Universities
168,University Medical Center Utrecht,NLD,Health
169,Sun Health  *,USA,Health
170,Tehran University of Medical Sciences *,IRN,Universities
171,Hospital Clinic i Provincial de Barcelona,ESP,Health
172,Centro de Investigacion Biomedica en Red de Epidemiologia y Salud Publica,ESP,Health
173,Nankai University *,CHN,Universities
174,University of Copenhagen,DNK,Universities
175,"University of Wisconsin, Madison *",USA,Universities
176,The University of Adelaide,AUS,Universities
177,Icahn School of Medicine at Mount Sinai,USA,Universities
178,University of Calgary,CAN,Universities
179,Instituto Oswaldo Cruz,BRA,Health
180,German Cancer Consortium,DEU,Government
181,Universitat Leipzig *,DEU,Universities
182,Leiden University *,NLD,Universities
183,Seoul National University *,KOR,Universities
184,Universite de Paris Cite *,FRA,Universities
185,National Institute for Health and Welfare,FIN,Health
186,Sorbonne Universite *,FRA,Universities
187,Aarhus University *,DNK,Universities
188,Texas Children's Hospital ,USA,Health
189,Biogen Idec *,MUL,Companies
190,University of Helsinki,FIN,Universities
191,Case Western Reserve University,USA,Universities
192,VA Northeast Ohio Healthcare System,USA,Health
193,"University of Colorado, Denver *",USA,Universities
194,"University of California, Davis *",USA,Universities
195,Centro Hospitalar de Lisboa Norte,PRT,Health
196,Public Health Agency of Canada,CAN,Health
197,"Ohio State University, Columbus *",USA,Universities
198,Korea University *,KOR,Universities
199,University of Alberta,CAN,Universities
200,RAND Corp,USA,Non-Profit
201,University of Utah *,USA,Universities
202,Carnegie Mellon University *,USA,Universities
203,Lunds University,SWE,Universities
203,NYU Langone Medical Center,USA,Health
205,Aix-Marseille Universite *,FRA,Universities
205,Universidade de Sao Paulo *,BRA,Universities
207,Baylor College of Medicine,USA,Universities
208,Skane University Hospital,SWE,Health
