Global Rank,Institution,Country,Sector
1,Veterans Affairs Medical Centers *,USA,Health
2,National Institutes of Health,USA,Health
3,Harvard University *,USA,Universities
4,University College London *,GBR,Universities
5,U.S. Department of Health & Human Services *,USA,Health
6,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
7,Mayo Clinic *,USA,Health
8,Harvard Medical School,USA,Universities
9,"University of California, San Francisco *",USA,Universities
10,Johns Hopkins University *,USA,Universities
11,Vrije Universiteit Amsterdam *,NLD,Universities
12,Kings College London,GBR,Universities
13,Instituto de Salud Carlos III *,ESP,Health
14,National Institute on Aging,USA,Health
15,University of Pittsburgh *,USA,Universities
16,University of Toronto,CAN,Universities
17,University of Pennsylvania *,USA,Universities
18,Washington University in Saint Louis *,USA,Universities
19,University of Amsterdam *,NLD,Universities
20,University of Washington *,USA,Universities
21,Columbia University *,USA,Universities
22,Johns Hopkins Medicine,USA,Health
23,Academisch Medisch Centrum,NLD,Health
24,Hospital Sirio-Libanes,BRA,Health
25,Medical Research Council,GBR,Health
26,"University of Michigan, Ann Arbor *",USA,Universities
27,Brigham and Women's Hospital,USA,Health
27,Helmholtz Gemeinschaft *,DEU,Government
29,Massachusetts General Hospital,USA,Health
30,Chinese Academy of Sciences *,CHN,Government
31,University of New South Wales,AUS,Universities
32,University of Southern California *,USA,Universities
33,University of Melbourne *,AUS,Universities
34,Assistance Publique Hopitaux de Paris *,FRA,Health
35,Capital University of Medical Sciences,CHN,Universities
36,University of Sydney,AUS,Universities
37,Douglas Mental Health University Institute,CAN,Government
38,University of Gothenburg,SWE,Universities
39,Samsung Corp *,MUL,Companies
40,Duke University *,USA,Universities
41,"University of California, San Diego *",USA,Universities
42,Centre National de la Recherche Scientifique *,FRA,Government
43,Sorbonne Universite *,FRA,Universities
44,Karolinska Institute,SWE,Universities
45,Columbia University Irving Medical Center,USA,Health
46,"University of California, Los Angeles *",USA,Universities
47,Washington University Medical Center ,USA,Health
48,Stanford University *,USA,Universities
49,University of Oxford,GBR,Universities
50,Brown University,USA,Universities
51,Yale University *,USA,Universities
52,University of Groningen *,NLD,Universities
53,Erasmus University Rotterdam *,NLD,Universities
54,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
55,Cornell University *,USA,Universities
56,F Hoffmann-La Roche *,MUL,Companies
57,University of Cambridge *,GBR,Universities
58,"Newcastle University, Newcastle upon Tyne",GBR,Universities
59,Emory University *,USA,Universities
60,University of Florida *,USA,Universities
61,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities
62,Boston University *,USA,Universities
63,Erasmus Medical Center,NLD,Health
64,Universidad Rey Juan Carlos *,ESP,Universities
65,Institut d'Investigacions Biomediques August Pi i Sunyer,ESP,Health
66,McGill University,CAN,Universities
67,University of Aberdeen,GBR,Universities
68,Leiden University *,NLD,Universities
69,Woodruff Health Sciences Center,USA,Health
70,University of Exeter,GBR,Universities
71,Centre de Recherche de l'Institut du Cerveau et de la Moelle Epiniere,FRA,Government
72,Wake Forest University *,USA,Universities
73,Indiana University-Purdue University Indianapolis,USA,Universities
74,University of Antwerp,BEL,Universities
75,National University of Singapore *,SGP,Universities
76,University of Pennsylvania Health System,USA,Health
77,Yale University Health & Medicine,USA,Health
78,"Hoffmann-La Roche Ltd, Switzerland",CHE,Companies
79,University Medical Center Groningen,NLD,Health
80,University of Rochester *,USA,Universities
81,Wake Forest University Baptist Medical Center,USA,Health
82,San Francisco VA Medical Center,USA,Health
83,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
84,"University of Wisconsin, Madison *",USA,Universities
85,The University of British Columbia,CAN,Universities
86,Zhejiang University *,CHN,Universities
87,Deutsches Zentrum fur Neurodegenerative Erkrankungen,DEU,Government
88,XuanWu Hospital,CHN,Health
89,Duke Medicine,USA,Health
90,The University of Edinburgh *,GBR,Universities
91,University of Texas M.D. Anderson Cancer Center ,USA,Health
92,L’Istituto di Scienze Neurologiche di Bologna,ITA,Health
93,"University of California, Berkeley *",USA,Universities
94,"Northwestern University, Evanston *",USA,Universities
95,Shanghai Jiao Tong University *,CHN,Universities
96,Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas,ESP,Health
97,Taipei Veterans General Hospital,TWN,Health
98,Seoul National University *,KOR,Universities
99,University of Rochester Medical Center,USA,Health
100,Boston University Medical Campus ,USA,Health
101,Texas Tech University Health Sciences Center,USA,Universities
102,University Hospital Antwerp,BEL,Health
103,Beijing Institute for Brain Disorders,CHN,Health
104,Sichuan University *,CHN,Universities
105,Universitat de Barcelona *,ESP,Universities
106,"University of North Carolina, Chapel Hill *",USA,Universities
107,Pennsylvania State University *,USA,Universities
108,The University of Manchester *,GBR,Universities
109,"Centro de Investigacion Biomedica en Red sobre Enfermedades Neurodegenerativas, Madrid",ESP,Health
110,Centers for Disease Control and Prevention,USA,Health
111,Polish Academy of Sciences *,POL,Government
112,Massachusetts Institute of Technology *,USA,Universities
113,Sahlgrenska University Hospital,SWE,Health
114,University of Southern California Health Sciences Campus,USA,Health
115,University Health Network *,CAN,Health
116,Mount Sinai Health System *,USA,Health
117,"University of California, Davis *",USA,Universities
118,Xi'an Jiaotong University *,CHN,Universities
119,Universita Cattolica del Sacro Cuore,ITA,Universities
120,Universita degli Studi di Roma La Sapienza,ITA,Universities
121,Catholic University of Leuven,BEL,Universities
122,Consiglio Nazionale delle Ricerche *,ITA,Government
123,Fudan University *,CHN,Universities
124,Leiden University Medical Center,NLD,Health
125,New York University *,USA,Universities
126,University of North Texas Health Science Center,USA,Health
127,"Monash University, Melbourne *",AUS,Universities
128,Johnson & Johnson *,MUL,Companies
129,Ministry of Education of the People's Republic of China,CHN,Government
130,University of Pittsburgh Health Sciences,USA,Universities
131,University of Oklahoma *,USA,Universities
132,Hopitaux Universitaires de Geneve,CHE,Health
133,"Universite Paul Sabatier, Toulouse III *",FRA,Universities
134,Icahn School of Medicine at Mount Sinai,USA,Universities
135,Radboud University Nijmegen Medical Centre,NLD,Health
136,"University of Texas, San Antonio",USA,Universities
137,Universitat Autonoma de Barcelona *,ESP,Universities
138,University of Arizona *,USA,Universities
139,University of Calgary,CAN,Universities
140,Peking University *,CHN,Universities
141,"Eli Lilly and Company, United States",USA,Companies
142,Weill Cornell Medicine,USA,Universities
143,UCLA Health System,USA,Health
144,The Chinese University of Hong Kong *,HKG,Universities
145,University of Oklahoma Health Sciences Center,USA,Universities
146,Istituto Superiore di Sanita,ITA,Health
147,Universitat Konstanz,DEU,Universities
148,Consejo Superior de Investigaciones Cientificas *,ESP,Government
149,National Yang Ming Chiao Tung University,TWN,Universities
150,"University of Alabama, Birmingham *",USA,Universities
151,Vanderbilt University *,USA,Universities
152,"Saint Louis University, Saint Louis *",USA,Universities
153,Maastricht University,NLD,Universities
154,Universitat Heidelberg,DEU,Universities
155,Universidad Autonoma de Madrid *,ESP,Universities
156,Universidade de Sao Paulo *,BRA,Universities
157,Arizona Health Sciences Center University of Arizona Tucson,USA,Health
158,Brunel University,GBR,Universities
159,Universite de Geneve,CHE,Universities
160,Universita degli Studi di Roma Tor Vergata,ITA,Universities
161,Indiana University-Bloomington,USA,Universities
162,Spedali Civili di Brescia,ITA,Health
163,Universita degli Studi di Messina,ITA,Universities
164,Florey Neuroscience Institutes,AUS,Health
165,Huazhong University of Science and Technology *,CHN,Universities
166,Hospital Clinic i Provincial de Barcelona,ESP,Health
167,Rush University *,USA,Universities
168,University of Western Ontario,CAN,Universities
169,South London and Maudsley NHS Foundation Trust,GBR,Health
170,Hospital de la Santa Creu i Sant Pau,ESP,Health
171,Beth Israel Deaconess Medical Center,USA,Health
172,Aristotle University of Thessaloniki,GRC,Universities
173,Eli Lilly *,MUL,Companies
174,Hospital del Mar,ESP,Health
175,Hadassah University Medical Center *,ISR,Health
176,University of Eastern Finland,FIN,Universities
177,CareGroup Healthcare System *,USA,Health
178,Stanford Medicine,USA,Health
179,World Health Organization *,MUL,Health
180,Tel Aviv University,ISR,Universities
181,University of Nottingham *,GBR,Universities
182,Northwestern Medicine,USA,Health
183,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,ITA,Health
184,Trinity College Dublin *,IRL,Universities
185,Pontificia Universidad Catolica de Chile *,CHL,Universities
186,Centro de Investigacion Biomedica en Red de Fragilidad y Envejecimiento Saludable,ESP,Health
187,The University of Hong Kong *,HKG,Universities
188,"University of Minnesota, Twin Cities *",USA,Universities
189,Montefiore Medical Center *,USA,Health
190,Universita degli Studi di Milano,ITA,Universities
191,University of Helsinki,FIN,Universities
192,Cleveland Clinic *,USA,Health
193,Utrecht University *,NLD,Universities
194,"University of Maryland, Baltimore",USA,Universities
195,Central South University *,CHN,Universities
196,University of Kentucky *,USA,Universities
197,University of Oslo,NOR,Universities
198,"National University of Ireland, Galway",IRL,Universities
199,University of Chicago *,USA,Universities
200,Leibniz Gemeinschaft *,DEU,Government
201,The First Affiliated Hospital of Zhejiang University,CHN,Health
202,Dalhousie University *,CAN,Universities
203,The Second Affiliated Hospital of Zhejiang University,CHN,Health
204,South Eastern Sydney Local Health District *,AUS,Health
205,Augusta University *,USA,Universities
206,Universita degli Studi di Padova,ITA,Universities
207,Tulane University *,USA,Universities
208,Centre Hospitalier Universitaire de Toulouse *,FRA,Health
209,West China Hospital,CHN,Health
210,Instituto de Investigacion Biomedica de Malaga,ESP,Health
211,Universitat Ulm *,DEU,Universities
212,Flanders Interuniversity Institute for Biotechnology,BEL,Government
213,"University of Texas, Austin",USA,Universities
214,University of Southampton,GBR,Universities
215,National Institute for Health and Welfare,FIN,Health
216,Vanderbilt University Medical Center,USA,Health
217,Neuroscience Research Australia,AUS,Health
218,The University of Sheffield,GBR,Universities
219,"University of California, Irvine *",USA,Universities
220,University of Miami *,USA,Universities
221,University of Bristol,GBR,Universities
222,Lawson Health Research Institute,CAN,Health
223,Institucio Catalana de Recerca i Estudis Avancats,ESP,Government
224,Universita degli Studi di Napoli Federico II,ITA,Universities
225,"Texas A&M University, College Station *",USA,Universities
226,Janssen Biotech Inc,USA,Companies
227,"Epidemiologie et Analyses en Sante Publique: Risques, Maladies Chroniques, Handicaps",FRA,Government
228,Kyoto Prefectural University of Medicine,JPN,Universities
229,Cardiff University,GBR,Universities
230,VA San Diego Healthcare System,USA,Health
231,Karolinska University Hospital,SWE,Health
232,Rush University Medical Center,USA,Health
233,Sungkyunkwan University,KOR,Universities
234,Lunds University,SWE,Universities
235,Saint Louis University Care,USA,Health
236,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,MEX,Health
237,Hebrew University of Jerusalem,ISR,Universities
238,West Virginia University *,USA,Universities
239,Case Western Reserve University,USA,Universities
240,University of Chinese Academy of Sciences,CHN,Universities
241,Oregon Health & Science University *,USA,Universities
242,California Pacific Medical Center,USA,Health
243,Charles University *,CZE,Universities
244,Copenhagen University Hospital,DNK,Health
245,UC Davis Health System,USA,Health
246,Royal Melbourne Hospital,AUS,Health
247,University of Miami Health System,USA,Health
248,Royal North Shore Hospital,AUS,Health
249,NYU Langone Medical Center,USA,Health
250,Providence VA Medical Center,USA,Health
251,Rowan University,USA,Universities
252,Skane University Hospital,SWE,Health
253,Universita degli Studi di Brescia,ITA,Universities
254,Imperial College London,GBR,Universities
255,VA Boston Healthcare System,USA,Health
255,Charite - Universitatsmedizin Berlin *,DEU,Health
257,Jilin University *,CHN,Universities
258,University of Washington Medicine ,USA,Health
259,"Rutgers, The State University of New Jersey",USA,Universities
260,University of Texas Health Science Center at San Antonio ,USA,Universities
261,Fondazione IRCCS Istituto Neurologico Carlo Besta,ITA,Health
262,VA Puget Sound Health Care System,USA,Health
263,Universitatsklinikum Gottingen,DEU,Health
264,Janssen,MUL,Companies
265,University Hospital Southampton NHS Foundation Trust,GBR,Health
266,Albert Einstein College of Medicine,USA,Universities
267,National Heart Lung and Blood Institute,USA,Health
268,The University of Queensland *,AUS,Universities
269,Southern Medical University *,CHN,Universities
270,University of Florida Health Science Center,USA,Health
271,Universidad de Antioquia *,COL,Universities
272,Universitat Hamburg *,DEU,Universities
273,Robert Bosch *,MUL,Companies
274,University of Kansas *,USA,Universities
275,University of Alberta,CAN,Universities
276,Ruijin Hospital,CHN,Health
277,University of Glasgow *,GBR,Universities
278,University of Copenhagen,DNK,Universities
279,"University of Colorado, Boulder *",USA,Universities
280,University of South Florida System *,USA,Universities
281,Helsinki University Central Hospital,FIN,Health
282,University of Texas Medical Branch ,USA,Universities
283,UC San Diego Health System,USA,Health
284,Wuhan Tongji Hospital,CHN,Health
285,Tianjin Medical University *,CHN,Universities
286,University of South Florida,USA,Universities
287,University of Wisconsin Health,USA,Health
288,Universite de Bordeaux *,FRA,Universities
289,Regenstrief Institute,USA,Non-Profit
290, Centre Hospitalier de l'Universite de Montreal,CAN,Health
291,University Medical Center Utrecht,NLD,Health
292,University of Iowa *,USA,Universities
293,National University Health System *,SGP,Health
294,Universita degli Studi di Perugia,ITA,Universities
295,Medical University of South Carolina *,USA,Universities
296,University of Birmingham,GBR,Universities
297,Peking University Health Science Center,CHN,Universities
298,University of East Anglia *,GBR,Universities
299,University of Missouri Health Care ,USA,Health
300,University of Michigan Health System,USA,Health
301,Ludwig-Maximilians Universitat Munchen *,DEU,Universities
302,University of Tokyo *,JPN,Universities
303,Arizona State University *,USA,Universities
304,Florida State University *,USA,Universities
305,Purdue University,USA,Universities
306,Max Planck Gesellschaft *,DEU,Government
307,Hebrew SeniorLife,USA,Health
308,University of Jyvaskyla,FIN,Universities
309,Dana Farber Cancer Institute ,USA,Health
310,Baylor College of Medicine,USA,Universities
311,University of Leeds,GBR,Universities
312,Universitat Zurich,CHE,Universities
313,University of Liverpool *,GBR,Universities
314,Samsung Medical Center Seoul,KOR,Health
315,University College Dublin,IRL,Universities
316,University of Kansas Medical Center,USA,Health
317,"University of Connecticut, Storrs *",USA,Universities
318,University College London Hospital NHS Trust,GBR,Health
319,Universita degli Studi di Palermo,ITA,Universities
320,"University of Missouri, Columbia *",USA,Universities
321,Wageningen University and Research Centre *,NLD,Universities
322,Wuhan University *,CHN,Universities
323,Rheinische Friedrich-Wilhelms-Universitat Bonn *,DEU,Universities
324,University College Cork *,IRL,Universities
325,Klinikum Ludwig Maximilians Universitat Munchen,DEU,Health
326,"Bosch, Germany",DEU,Companies
327,Drexel University,USA,Universities
328,University of Cincinnati *,USA,Universities
329,Instituto de Investigacion Sanitaria IdIPAZ,ESP,Health
330,Deakin University *,AUS,Universities
331,University Hospitals Leuven,BEL,Health
332,Georgia State University,USA,Universities
333,Uppsala University,SWE,Universities
334,Ain Shams University *,EGY,Universities
335,University of Utah *,USA,Universities
336,Qingdao University *,CHN,Universities
337,GlaxoSmithKline *,MUL,Companies
338,University of Virginia *,USA,Universities
