Global Rank,Institution,Country,Sector
1,Centre National de la Recherche Scientifique *,FRA,Government
2,University of Oxford,GBR,Universities
3,Russian Academy of Sciences *,RUS,Government
4,University of Cambridge *,GBR,Universities
5,Harvard University *,USA,Universities
6,University College London *,GBR,Universities
7,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
8,Chinese Academy of Sciences *,CHN,Government
9,The University of Edinburgh *,GBR,Universities
10,State University - Higher School of Economics,RUS,Universities
11,Kings College London,GBR,Universities
12,Max Planck Gesellschaft *,DEU,Government
13,University of Sydney,AUS,Universities
14,Stanford University *,USA,Universities
15,London School of Economics and Political Science,GBR,Universities
16,University of Zilina,SVK,Universities
17,"University of California, Berkeley *",USA,Universities
18,University of Chicago *,USA,Universities
19,Consejo Superior de Investigaciones Cientificas *,ESP,Government
20,University of Toronto,CAN,Universities
21,Utrecht University *,NLD,Universities
22,City University of New York *,USA,Universities
23,Australian National University,AUS,Universities
24,Universidad Complutense de Madrid *,ESP,Universities
25,The University of Manchester *,GBR,Universities
26,University of Melbourne *,AUS,Universities
27,Universidad Nacional Autonoma de Mexico,MEX,Universities
28,Cornell University *,USA,Universities
29,Pennsylvania State University *,USA,Universities
30,"University of California, Los Angeles *",USA,Universities
31,Arizona State University *,USA,Universities
32,University of Pennsylvania *,USA,Universities
33,New York University *,USA,Universities
34,University of Bristol,GBR,Universities
35,I.M. Sechenov First Moscow State Medical University,RUS,Universities
36,Yale University *,USA,Universities
37,Leiden University *,NLD,Universities
38,University of Glasgow *,GBR,Universities
39,University of Amsterdam *,NLD,Universities
40,"University of Michigan, Ann Arbor *",USA,Universities
41,University of York,GBR,Universities
42,Universitat de Barcelona *,ESP,Universities
43,Saint Petersburg State University,RUS,Universities
44,Aarhus University *,DNK,Universities
45,Johns Hopkins University *,USA,Universities
46,Tel Aviv University,ISR,Universities
47,University of Warwick,GBR,Universities
48,University of Exeter,GBR,Universities
49,Columbia University *,USA,Universities
50,Ministere de la Culture et de la Communication *,FRA,Government
51,Universitat Autonoma de Barcelona *,ESP,Universities
52,Massachusetts Institute of Technology *,USA,Universities
