Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Harbin Engineering University,CHN,Universities
3,Chinese Academy of Sciences *,CHN,Government
4,Shanghai Jiao Tong University *,CHN,Universities
5,Centre National de la Recherche Scientifique *,FRA,Government
6,Ocean University of China,CHN,Universities
7,Zhejiang University *,CHN,Universities
8,Dalian University of Technology,CHN,Universities
9,Samsung Corp *,MUL,Companies
10,Norwegian University of Science and Technology,NOR,Universities
11,Wuhan University of Technology,CHN,Universities
12,National Oceanic and Atmospheric Administration,USA,Government
13,Northwestern Polytechnical University,CHN,Universities
14,Helmholtz Gemeinschaft *,DEU,Government
15,Dalian Maritime University,CHN,Universities
16,Universidade de Lisboa *,PRT,Universities
17,University of Strathclyde *,GBR,Universities
18,National Aeronautics and Space Administration *,USA,Government
19,BeiHang University *,CHN,Universities
20,Wuhan University *,CHN,Universities
21,Plymouth University,GBR,Universities
22,Huazhong University of Science and Technology *,CHN,Universities
23,Leibniz Gemeinschaft *,DEU,Government
24,Tianjin University *,CHN,Universities
25,Consejo Superior de Investigaciones Cientificas *,ESP,Government
26,Delft University of Technology,NLD,Universities
27,Jet Propulsion Laboratory,USA,Government
28,Stanford University *,USA,Universities
29,Sorbonne Universite *,FRA,Universities
30,University of Chinese Academy of Sciences,CHN,Universities
31,European Commission *,MUL,Government
32,European Commission - Joint Research Centre,MUL,Government
33,California Institute of Technology *,USA,Universities
34,Beijing Institute of Technology,CHN,Universities
35,Seoul National University *,KOR,Universities
36,Massachusetts Institute of Technology *,USA,Universities
37,Tsinghua University *,CHN,Universities
38,Michigan State University,USA,Universities
39,Carl von Ossietzky Universitat Oldenburg,DEU,Universities
40,Harbin Institute of Technology,CHN,Universities
41,Hohai University,CHN,Universities
42,University of Victoria,CAN,Universities
43,Consiglio Nazionale delle Ricerche *,ITA,Government
44,The University of Western Australia,AUS,Universities
45,Imam Khomeini International University,IRN,Universities
46,University of Tasmania,AUS,Universities
47,Chalmers University of Technology *,SWE,Universities
48,University of Washington *,USA,Universities
49,Deutsches Zentrum fur Luft- und Raumfahrt,DEU,Government
50,Fraunhofer Gesellschaft *,DEU,Government
51,Oregon State University,USA,Universities
52,"University of California, San Diego *",USA,Universities
53,Purdue University,USA,Universities
54,University of Tokyo *,JPN,Universities
55,Shandong University *,CHN,Universities
56,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
57,South China University of Technology,CHN,Universities
58,Memorial University of Newfoundland,CAN,Universities
59,Institut de Recherche pour le Developpement Paris *,FRA,Government
60,Shanghai Maritime University,CHN,Universities
61,Universidade de Sao Paulo *,BRA,Universities
62,"Southeast University, Nanjing *",CHN,Universities
63,University of New Hampshire,USA,Universities
64,The University of Edinburgh *,GBR,Universities
65,Universidad Nacional Autonoma de Mexico,MEX,Universities
66,Hunan University,CHN,Universities
67,"Nova Southeastern University, Estados Unidos",USA,Universities
68,Southwest Petroleum University,CHN,Universities
69,Woods Hole Oceanographic Institution,USA,Non-Profit
70,State Oceanic Administration,CHN,Government
71,Jiangsu University of Science and Technology,CHN,Universities
72,United Nations *,MUL,Non-Profit
73,State Grid Corporation of China *,CHN,Companies
74,Nanjing University of Science and Technology,CHN,Universities
75,"Colorado State University, Fort Collins *",USA,Universities
76,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government
77,University of Miami *,USA,Universities
78,"University of Hawaii, Manoa *",USA,Universities
79,Wageningen University and Research Centre *,NLD,Universities
80,Waseda University,JPN,Universities
81,The University of Queensland *,AUS,Universities
82,Dalhousie University *,CAN,Universities
83,National Oceanography Centre Southampton,GBR,Government
84,University of New South Wales,AUS,Universities
85,McGill University,CAN,Universities
86,Imperial College London,GBR,Universities
87,Universidade do Porto *,PRT,Universities
88,Istanbul Technical University,TUR,Universities
89,SINTEF Group,NOR,Companies
90,Helmholtz-Zentrum fur Ozeanforschung Kiel Umgewandelt,DEU,Government
91,Hong Kong Polytechnic University,HKG,Universities
92,"University of California, Berkeley *",USA,Universities
93,Rice University,USA,Universities
94,The University of Adelaide,AUS,Universities
94,University College London *,GBR,Universities
96,Institut Francais de Recherche pour l'Exploitation de la Mer *,FRA,Government
97,National University of Singapore *,SGP,Universities
98,Central South University *,CHN,Universities
99,"University of Michigan, Ann Arbor *",USA,Universities
100,University of Exeter,GBR,Universities
101,Swiss Federal Institute of Technology,CHE,Universities
102,"University of Minnesota, Twin Cities *",USA,Universities
103,Army Engineering University of PLA,CHN,Universities
104,Laboratoire d'Etudes en Geophysique et Oceanographie Spatiales,FRA,Government
105,Finnish Meteorological Institute,FIN,Government
106,Umm Al-Qura University,SAU,Universities
107,"Texas A&M University, College Station *",USA,Universities
108,University of Oklahoma *,USA,Universities
109,Max Planck Gesellschaft *,DEU,Government
110,University of Florida *,USA,Universities
111,Universidade Federal de Santa Catarina *,BRA,Universities
112,Korea Institute of Ocean Science & Technology *,KOR,Non-Profit
112,Florida Atlantic University,USA,Universities
114,China Aerospace Science and Technology Corp *,CHN,Government
115,Isfahan University of Technology,IRN,Universities
116,Harvard University *,USA,Universities
117,Centre National d'Etudes Spatiales *,FRA,Government
118,"Ohio State University, Columbus *",USA,Universities
119,"University of California, Santa Barbara",USA,Universities
120,University of Southampton,GBR,Universities
121,Deltares,NLD,Non-Profit
121,China University of Petroleum,CHN,Universities
123,Universite Paris-Saclay *,FRA,Universities
124,Tongji University *,CHN,Universities
125,University of Oxford,GBR,Universities
126,Ormat Technologies Inc *,MUL,Companies
126,"Ormat Technologies, United States",USA,Companies
128,Russian Academy of Sciences *,RUS,Government
129,Shell *,MUL,Companies
130,Universidade da Coruna,ESP,Universities
131,University of Cambridge *,GBR,Universities
132,University of the Philippines Diliman *,PHL,Universities
133,Murdoch University,AUS,Universities
134,Jiangsu University *,CHN,Universities
135,Monterey Bay Aquarium Research Institute,USA,Non-Profit
136,NASA Goddard Space Flight Center,USA,Government
137,Suzhou University of Science and Technology,CHN,Universities
138,Trinity College Dublin *,IRL,Universities
139,Gottfried Wilhelm Leibniz Universitat Hannover,DEU,Universities
140,Pennsylvania State University *,USA,Universities
140,Utrecht University *,NLD,Universities
142,United States Geological Survey,USA,Government
143,"European Commission - Joint Research Centre Ispra, Italy",ITA,Government
144,Xi'an Jiaotong University *,CHN,Universities
145,Plymouth Marine Laboratory,GBR,Government
146,Nanyang Technological University *,SGP,Universities
147,Technical University of Denmark,DNK,Universities
148,Hefei University of Technology,CHN,Universities
149,North Carolina State University,USA,Universities
150,Xiamen University *,CHN,Universities
151,Guangxi University,CHN,Universities
152,"Universite Paul Sabatier, Toulouse III *",FRA,Universities
153,Leibniz-Institut fur Ostseeforschung Warnemunde,DEU,Government
154,"Northeastern University, China",CHN,Universities
155,Universita degli Studi dell Aquila,ITA,Universities
156,Nanjing University of Information Science and Technology,CHN,Universities
157,Universita del Salento,ITA,Universities
158,Universite de Caen Basse-Normandie *,FRA,Universities
159,National Taiwan Ocean University,TWN,Universities
160,"University of Connecticut, Storrs *",USA,Universities
160,China Meteorological Administration,CHN,Government
162,Nanjing University of Aeronautics and Astronautics,CHN,Universities
163,University of East Anglia *,GBR,Universities
164,The University of British Columbia,CAN,Universities
165,"University of Texas, Austin",USA,Universities
166,Beijing University of Posts and Telecommunications,CHN,Universities
167,"United Nations Educational, Scientific and Cultural Organization",MUL,Non-Profit
168,China University of Geosciences,CHN,Universities
169,Cornell University *,USA,Universities
170,Universite de Liege,BEL,Universities
171,University of Rijeka,HRV,Universities
172,Kyoto University *,JPN,Universities
173,"University of California, Davis *",USA,Universities
174,Gdansk University of Technology,POL,Universities
175,"Texas A&M University, Corpus Christi",USA,Universities
176,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
177,Universita degli Studi di Napoli Parthenope,ITA,Universities
178,University of Southern Denmark,DNK,Universities
179,Royal Melbourne Institute of Technology *,AUS,Universities
180,Politecnico di Milano,ITA,Universities
181,"University of California, Santa Cruz",USA,Universities
182,Shantou University *,CHN,Universities
183,"Yantai Institute of Coastal Zone Research, Chinese Academy of Sciences",CHN,Government
184,Chongqing University,CHN,Universities
185,Universita degli Studi di Pisa,ITA,Universities
186,Deakin University *,AUS,Universities
187,Universidade do Algarve,PRT,Universities
188,China Ship Scientific Research Center,CHN,Government
189,Southwest Jiaotong University,CHN,Universities
190,Qingdao University of Science and Technology,CHN,Universities
191,Kunsan National University,KOR,Universities
192,University College Dublin,IRL,Universities
193,Universite de Nantes *,FRA,Universities
194,National University of Defense Technology,CHN,Universities
195,Universitat Politecnica de Valencia *,ESP,Universities
196,Universidade Federal do Rio de Janeiro *,BRA,Universities
197,Cardiff University,GBR,Universities
198,Qingdao University of Technology,CHN,Universities
199,Chinese Academy of Fishery Sciences,CHN,Government
200,"Indian Institute of Technology, Madras",IND,Universities
201,Ghent University,BEL,Universities
202,Sakarya University *,TUR,Universities
203,Hangzhou Dianzi University,CHN,Universities
204,King Abdullah University of Science and Technology,SAU,Universities
205,Lockheed Martin Corp *,USA,Companies
206,"Sandia National Laboratories, New Mexico",USA,Government
207,Universitat Bremen *,DEU,Universities
208,University of Rhode Island,USA,Universities
209,Laboratoire d'Oceanographie de Villefranche,FRA,Government
210,"University of Technology, Sydney",AUS,Universities
211,University of South Florida System *,USA,Universities
212,Institute of Marine Research,NOR,Government
213,National Cheng Kung University,TWN,Universities
214,Jilin University *,CHN,Universities
215,University of Houston,USA,Universities
216,Universite Montpellier *,FRA,Universities
217,Tallinn University of Technology,EST,Universities
218,University of Sydney,AUS,Universities
219,Universidad de Cantabria *,ESP,Universities
220,Lodz University of Technology,POL,Universities
221,University of Bath,GBR,Universities
222,Ecole Centrale de Nantes *,FRA,Universities
223,Universita degli Studi di Genova,ITA,Universities
224,Columbia University *,USA,Universities
225,Shahid Beheshti University,IRN,Universities
226,Duke University *,USA,Universities
227,Shanghai University,CHN,Universities
228,National Technical University of Athens,GRC,Universities
229,University of Stavanger,NOR,Universities
230,Aalto University,FIN,Universities
231,China Ship Development and Design Center,CHN,Government
232,National Institute of Water & Atmospheric Research,NZL,Government
233,Polish Academy of Sciences *,POL,Government
234,Smithsonian Institution *,USA,Government
235,Universitat Politecnica de Catalunya *,ESP,Universities
236,Curtin University *,AUS,Universities
237,Instituto Espanol de Oceanografia,ESP,Government
238,Lanzhou University of Technology,CHN,Universities
239,Korea University of Science and Technology,KOR,Universities
240,University of Science and Technology of China,CHN,Universities
241,Taiyuan University of Technology,CHN,Universities
242,University of Delaware,USA,Universities
243,Aristotle University of Thessaloniki,GRC,Universities
244,Amirkabir University of Technology,IRN,Universities
245,National Central University,TWN,Universities
246,Technische Universitat Braunschweig,DEU,Universities
247,"ParisTech, Institut des Sciences et Technologies de Paris - PRES *",FRA,Government
248,Peking University *,CHN,Universities
249,University of Melbourne *,AUS,Universities
250,Iran University of Science and Technology,IRN,Universities
251,"Newcastle University, Newcastle upon Tyne",GBR,Universities
252,"University of Wisconsin, Madison *",USA,Universities
253,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit
254,Japan Agency for Marine-Earth Science and Technology,JPN,Government
255,Beijing Jiaotong University,CHN,Universities
256,Griffith University,AUS,Universities
257,Zagazig University *,EGY,Universities
258,University of Tromso - The Arctic University of Norway,NOR,Universities
259,Universite Hassan II de Casablanca *,MAR,Universities
260,Universita degli Studi di Napoli Federico II,ITA,Universities
261,University of Southern California *,USA,Universities
262,City University of Hong Kong *,HKG,Universities
263,Aarhus University *,DNK,Universities
264,University of Zagreb,HRV,Universities
265,Petrobras *,MUL,Companies
266,The University of Manchester *,GBR,Universities
267,"Petrobras, Brazil",BRA,Companies
268,Australian Research Council *,AUS,Government
269,Gdynia Maritime University,POL,Universities
270,Universite de Lyon,FRA,Universities
271,University of Science and Technology Beijing,CHN,Universities
272,Korea University *,KOR,Universities
273,Natural Environment Research Council *,GBR,Government
274,University of Shanghai for Science and Technology,CHN,Universities
275,Royal Netherlands Institute for Sea Research,NLD,Government
276,Shenzhen University,CHN,Universities
277,Shandong University of Science and Technology,CHN,Universities
278,Chungnam National University,KOR,Universities
279,Stazione Zoologica Anton Dohrn Napoli,ITA,Government
280,Australian Research Council Centre of Excellence for Coral Reef Studies,AUS,Government
281,China University of Mining and Technology,CHN,Universities
282,Museum National d'Histoire Naturelle *,FRA,Government
283,Tarbiat Modares University,IRN,Universities
284,University of South Florida-Saint Petersburg,USA,Universities
285,Kyushu University *,JPN,Universities
286,Beijing University of Technology,CHN,Universities
287,Universite de Bretagne Occidentale *,FRA,Universities
288,Naval University of Engineering,CHN,Universities
289,"University of California, Los Angeles *",USA,Universities
290,"Rutgers, The State University of New Jersey",USA,Universities
291,Ningbo University,CHN,Universities
292,University of St. Andrews,GBR,Universities
293,U.S. Army *,USA,Government
294,Universita degli Studi di Roma La Sapienza,ITA,Universities
295,Ministry of Agriculture,CHN,Government
296,AZTI,ESP,Government
297,James Cook University *,AUS,Universities
298,University of Oslo,NOR,Universities
299,Australian Institute of Marine Science,AUS,Government
300,Basque Research and Technology Alliance *,ESP,Government
301,University of Illinois at Urbana-Champaign *,USA,Universities
302,Consejo Nacional de Ciencia y Tecnologia *,MEX,Government
303,Beijing Normal University *,CHN,Universities
304,Macquarie University *,AUS,Universities
305,"Arab Academy for Science, Technology and Maritime Transport",EGY,Universities
306,Technion - Israel Institute of Technology *,ISR,Universities
307,Institut de Ciencies del Mar ,ESP,Government
308,University of Bergen,NOR,Universities
309,Sun Yat-Sen University *,CHN,Universities
310,Shanghai Ocean University,CHN,Universities
311,"University of Colorado, Boulder *",USA,Universities
312,Hainan University,CHN,Universities
313,Zhejiang University of Technology,CHN,Universities
313,Xi'an University of Technology,CHN,Universities
315,Centre Mediterrani d'Investigacions Marines i Ambientals CS,ESP,Government
316,Universitat de les Illes Balears *,ESP,Universities
317,University of Malaya *,MYS,Universities
318,University of Gothenburg,SWE,Universities
319,Moscow State University of Civil Engineering,RUS,Universities
320,Korea Maritime University,KOR,Universities
321,Florida Institute of Technology,USA,Universities
322,Arizona State University *,USA,Universities
323,Sharif University of Technology,IRN,Universities
324,Pusan National University,KOR,Universities
325,University of Athens,GRC,Universities
326,"Indian Institute of Technology, Delhi",IND,Universities
327,"South China Sea Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
328,"Louisiana State University, Baton Rouge",USA,Universities
329,University of Cape Town,ZAF,Universities
330,University of Amsterdam *,NLD,Universities
331,Tianjin Chengjian University,CHN,Universities
332,Kobe University *,JPN,Universities
333,Defence Research and Development Organisation,IND,Government
334,National Sun Yat-sen University,TWN,Universities
335,Wuhan Second Ship Design and Research Institute,CHN,Non-Profit
336,"University of North Carolina, Chapel Hill *",USA,Universities
337,Norwegian Polar Institute,NOR,Government
338,Stockholm University,SWE,Universities
339,Chang'an University ,CHN,Universities
340,"China University of Petroleum, Beijing",CHN,Universities
341,Institute of Oceanology Polish Academy of Sciences,POL,Government
342,"Shenyang Institute of Automation, Chinese Academy of Sciences",CHN,Government
343,Istituto di Scienze Marine,ITA,Government
344,US Environmental Protection Agency,USA,Government
345,University of Tabriz,IRN,Universities
346,Council of Scientific and Industrial Research *,IND,Government
347,Virginia Polytechnic Institute and State University,USA,Universities
348,Politecnico di Torino *,ITA,Universities
349,University of Bristol,GBR,Universities
350,Institut Mediterrani d'Estudis Avancats,ESP,Government
351,University of Aberdeen,GBR,Universities
352,Alexandria University *,EGY,Universities
353,Universitat Hamburg *,DEU,Universities
354,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities
355,National Marine Environmental Monitoring Center,CHN,Non-Profit
356,Sichuan University *,CHN,Universities
357,Centro de Investigacion y de Estudios Avanzados del IPN *,MEX,Universities
358,University of Toronto,CAN,Universities
359,Florida State University *,USA,Universities
360,University of Electronic Science and Technology of China,CHN,Universities
361,Jimei University,CHN,Universities
362,Universite de la Reunion,REU,Universities
363,China National Offshore Oil Corp *,CHN,Companies
363,University of Auckland,NZL,Universities
365,Tehran University of Medical Sciences *,IRN,Universities
366,Aix-Marseille Universite *,FRA,Universities
367,"University of Maryland, Baltimore",USA,Universities
368,Smithsonian Environmental Research Center,USA,Government
369,Universitat de Girona *,ESP,Universities
369,Natural History Museum London,GBR,Government
371,East China Normal University,CHN,Universities
372,Universita Politecnica delle Marche,ITA,Universities
373,University of South Florida,USA,Universities
374,Helmholtz-Zentrum Hereon,DEU,Government
375,British Antarctic Survey,GBR,Government
376,Universite PSL *,FRA,Universities
377,"University of Maine, Orono",USA,Universities
378,University of Georgia,USA,Universities
379,Universite de Lille *,FRA,Universities
380,Georgia Institute of Technology *,USA,Universities
381,Australian National University,AUS,Universities
382,University of Glasgow *,GBR,Universities
383,University of Twente,NLD,Universities
384,University of Copenhagen,DNK,Universities
385,York University,CAN,Universities
386,"University of Maryland, Center for Environmental Science",USA,Government
387,Lancaster University *,GBR,Universities
388,Tel Aviv University,ISR,Universities
389,University of Liverpool *,GBR,Universities
390,National Taiwan University,TWN,Universities
391,Centro de Pesquisas Leopoldo Americo Miguez de Mello,BRA,Non-Profit
392,University of Nottingham *,GBR,Universities
393,"Heriot-Watt University, United Kingdom",GBR,Universities
394,China Geological Survey *,CHN,Government
395,Chinese Academy of Meteorological Sciences,CHN,Government
396,Istituto per le Risorse Biologiche e le Biotecnologie Marine,ITA,Government
397,Met Office,GBR,Government
398,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
399,"University of North Carolina, Wilmington",USA,Universities
400,Universita degli Studi di Messina,ITA,Universities
401,Leibniz-Zentrum fur Marine Tropenokologie,DEU,Government
402,Heriot-Watt University *,MUL,Universities
402,University of Tehran,IRN,Universities
404,Aalborg University *,DNK,Universities
405,Universidade de Vigo *,ESP,Universities
406,Universidad Politecnica de Madrid *,ESP,Universities
407,Uppsala University,SWE,Universities
408,Istituto Nazionale di Oceanografia e Geofisica Sperimentale,ITA,Government
409,Centre d'Estudis Avancats de Blanes,ESP,Government
410,Laval University,CAN,Universities
411,Boston University *,USA,Universities
412,Universidade dos Acores,PRT,Universities
413,"State University of New York, Stony Brook *",USA,Universities
414,The University of Sheffield,GBR,Universities
414,"University of Alaska, Fairbanks",USA,Universities
416,Scottish Association for Marine Science,GBR,Non-Profit
417,Florida International University,USA,Universities
418,Universidad de Cadiz *,ESP,Universities
419,Norwegian Institute for Water Research,NOR,Government
420,Centros Regionales CONICYT *,CHL,Government
421,King Abdulaziz University *,SAU,Universities
422,San Diego State University,USA,Universities
423,Zhengzhou University *,CHN,Universities
424,P P Shirshov Institute of Oceanology Russian Academy of Sciences,RUS,Government
425,Technische Universitat Hamburg-Harburg,DEU,Universities
426,Bedford Institute of Oceanography,CAN,Government
427,Academy of Sciences of the Czech Republic *,CZE,Government
428,University College Cork *,IRL,Universities
429,Christian-Albrechts-Universitat zu Kiel,DEU,Universities
430,University of Waterloo,CAN,Universities
431,Loughborough University,GBR,Universities
432,University of Leeds,GBR,Universities
433,Swansea University,GBR,Universities
434,Equinor ASA *,MUL,Companies
435,College of William and Mary,USA,Universities
436,Inha University,KOR,Universities
437,University of Alberta,CAN,Universities
438,Hokkaido University *,JPN,Universities
439,Ecole Pratique des Hautes Etudes,FRA,Universities
440,Swinburne University of Technology *,AUS,Universities
441,Marine Design and Research Institute of China,CHN,Companies
442,City University London,GBR,Universities
443,Catholic University of Leuven,BEL,Universities
444,National Institute of Biology,SVN,Government
445,"National University of Ireland, Galway",IRL,Universities
446,Cawthron Institute,NZL,Government
447,"Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
448,Cranfield University,GBR,Universities
449,Universidad Complutense de Madrid *,ESP,Universities
450,Tohoku University *,JPN,Universities
451,Istituto per lo Studio degli Impatti Antropici e Sostenibilita in Ambiente Marino,ITA,Government
452,Commissariat a l'Energie Atomique et aux Energies Alternatives *,FRA,Government
453,"Indian Institute of Technology, Kharagpur",IND,Universities
454,"University of Maryland, College Park *",USA,Universities
455,Universita degli Studi di Modena e Reggio Emilia,ITA,Universities
456,University of Ljubljana *,SVN,Universities
457,Osaka University *,JPN,Universities
457,ExxonMobil *,MUL,Companies
459,Institut Pierre Simon Laplace,FRA,Government
460,Korea Advanced Institute of Science and Technology *,KOR,Universities
461,"Institute of Atmospheric Physics, Chinese Academy of Sciences",CHN,Government
462,Universita degli Studi di Firenze,ITA,Universities
463,"Institute of Mechanics, Chinese Academy of Sciences",CHN,Government
464,Budapest University of Technology and Economics,HUN,Universities
465,Universite Grenoble-Alpes *,FRA,Universities
466,Universitat Duisburg Essen *,DEU,Universities
467,Liverpool John Moores University,GBR,Universities
468,"Equinor ASA, Norway",NOR,Companies
469,Universite de La Rochelle *,FRA,Universities
470,"ExxonMobil, USA",USA,Companies
471,Queen's University Belfast,GBR,Universities
472,University of Split,HRV,Universities
473,Clemson University,USA,Universities
474,Universitat de Barcelona *,ESP,Universities
475,Universite de Bordeaux *,FRA,Universities
476,Politecnico di Bari,ITA,Universities
477,Istituto Nazionale di Geofisica e Vulcanologia,ITA,Government
478,Universidad del Pais Vasco *,ESP,Universities
479,Environnements et Paleoenvironnements Oceaniques et Continentaux,FRA,Government
480,Universidade de Aveiro,PRT,Universities
481,Universita degli Studi di Padova,ITA,Universities
482,University of South Carolina *,USA,Universities
483,Centro de Investigacion Cientifica y de Educacion Superior de Ensenada,MEX,Government
484,Swedish University of Agricultural Sciences,SWE,Universities
485,Nanjing University *,CHN,Universities
486,Universidade de Coimbra *,PRT,Universities
487,Cyprus University of Technology,CYP,Universities
488,University of Haifa,ISR,Universities
489,"Electricite de France, S.A. *",FRA,Companies
490,National Center for Atmospheric Research,USA,Government
491,Universitat Rostock *,DEU,Universities
492,"University of Alabama, Tuscaloosa",USA,Universities
493,Universita degli Studi di Trieste,ITA,Universities
494,University of Groningen *,NLD,Universities
494,Pukyong National University,KOR,Universities
496,Aegean University,GRC,Universities
497,Universidad de Castilla-La Mancha *,ESP,Universities
498,University of Notre Dame,USA,Universities
499,The Manchester Metropolitan University,GBR,Universities
500,Zhejiang Ocean University,CHN,Universities
501,Changsha University of Science and Technology,CHN,Universities
501,Old Dominion University,USA,Universities
503,Royal Institute of Technology,SWE,Universities
504,Universite du Quebec en Quebec *,CAN,Universities
505,Lehigh University,USA,Universities
506,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
507,Flinders University,AUS,Universities
508,Lomonosov  Moscow State University,RUS,Universities
509,University of Guilan,IRN,Universities
510,Programa Iniciativa Cientifica Milenio *,CHL,Government
511,Hanyang University *,KOR,Universities
512,Norwegian Geotechnical Institute,NOR,Government
513,Hiroshima University *,JPN,Universities
514,Instituto de Investigaciones Marinas ,ESP,Government
515,Universite de Toulouse,FRA,Universities
516,Xiangtan University,CHN,Universities
517,Institut Universitaire de France,FRA,Government
518,Universite de Versailles Saint Quentin en Yvelines *,FRA,Universities
519,The University of Hong Kong *,HKG,Universities
520,"University of Technology, Malaysia",MYS,Universities
521,Technische Universitat Munchen *,DEU,Universities
522,China National Petroleum Corp *,CHN,Companies
523,Klaipeda University,LTU,Universities
524,Universidad de las Palmas de Gran Canaria *,ESP,Universities
525,University of Wollongong *,AUS,Universities
526,Guangdong Ocean University,CHN,Universities
527,UNESCO-IHE Institute for Water Education,NLD,Universities
528,Peter the Great St Petersburg Polytechnic University,RUS,Universities
529,Fudan University *,CHN,Universities
529,Universidade Estadual de Campinas *,BRA,Universities
531,Tokyo Institute of Technology,JPN,Universities
532,Cairo University *,EGY,Universities
533,Petronas University of Technology,MYS,Universities
534,China Petroleum and Chemical Corporation *,CHN,Companies
535,University of Birmingham,GBR,Universities
536,Universidad Catolica del Norte,CHL,Universities
537,Smithsonian National Museum of Natural History,USA,Government
538,Yildiz Technical University,TUR,Universities
539,Institut Polytechnique de Grenoble *,FRA,Universities
540,Universidade Federal do Rio Grande,BRA,Universities
541,Australian Antarctic Division,AUS,Government
