Global Rank,Institution,Country,Sector
1,Moorfields Eye Hospital NHS Trust,GBR,Health
2,Harvard University *,USA,Universities
3,Harvard Medical School,USA,Universities
4,Johns Hopkins University *,USA,Universities
5,"University of California, Los Angeles *",USA,Universities
6,Johns Hopkins Medicine,USA,Health
7,Singapore National Eye Centre *,SGP,Health
8,University of Miami *,USA,Universities
9,University of Miami Health System,USA,Health
10,Singapore Eye Research Institute,SGP,Health
11,UCLA Health System,USA,Health
12,National Institutes of Health,USA,Health
13,National University of Singapore *,SGP,Universities
14,University College London *,GBR,Universities
15,L. V. Prasad Eye Institute,IND,Health
16,Duke University *,USA,Universities
17,Sun Yat-Sen University *,CHN,Universities
18,University of Melbourne *,AUS,Universities
19,University of New South Wales,AUS,Universities
20,Stanford University *,USA,Universities
21,University of Sydney,AUS,Universities
22,All India Institute of Medical Sciences,IND,Universities
23,"University of California, San Francisco *",USA,Universities
24,U.S. Department of Health & Human Services *,USA,Health
25,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
26,Cleveland Clinic *,USA,Health
27,Veterans Affairs Medical Centers *,USA,Health
28,"University of Michigan, Ann Arbor *",USA,Universities
29,Columbia University *,USA,Universities
30,"University of Illinois, Chicago *",USA,Universities
31,"University of California, San Diego *",USA,Universities
32,Doheny Eye Institute,USA,Health
33,University of Southern California *,USA,Universities
34,New York University *,USA,Universities
35,Royal Victorian Eye and Ear Hospital ,AUS,Health
36,Centre for Eye Research Australia,AUS,Health
37,Consejo Superior de Investigaciones Cientificas *,ESP,Government
38,University of Pennsylvania *,USA,Universities
39,Columbia University Irving Medical Center,USA,Health
40,University of Washington *,USA,Universities
41,Centre National de la Recherche Scientifique *,FRA,Government
41,Fudan University *,CHN,Universities
43,Mayo Clinic *,USA,Health
44,University of Oxford,GBR,Universities
45,Massachusetts Eye and Ear Infirmary ,USA,Health
46,National Eye Institute,USA,Health
47,University of Toronto,CAN,Universities
48,Shanghai Jiao Tong University *,CHN,Universities
49,Oregon Health & Science University *,USA,Universities
50,"University of Alabama, Birmingham *",USA,Universities
51,Capital University of Medical Sciences,CHN,Universities
52,University of Auckland,NZL,Universities
53,"Hoffmann-La Roche Ltd, Switzerland",CHE,Companies
54,Tufts University,USA,Universities
55,Tel Aviv University,ISR,Universities
56,University of Utah *,USA,Universities
57,F Hoffmann-La Roche *,MUL,Companies
58,Tan Tock Seng Hospital,SGP,Health
59,"Northwestern University, Evanston *",USA,Universities
60,"Eye, Ear, Nose and Throat Hospital Fudan University",CHN,Health
61,NYU Langone Medical Center,USA,Health
62,Medizinische Universitat Wien,AUT,Universities
63,"University of Wisconsin, Madison *",USA,Universities
64,Radboud University Nijmegen Medical Centre,NLD,Health
65,Universidade Federal de Sao Paulo *,BRA,Universities
66,University of Michigan Health System,USA,Health
67,Chinese Academy of Sciences *,CHN,Government
68,Cornell University *,USA,Universities
69,Samsung Corp *,MUL,Companies
70,Assistance Publique Hopitaux de Paris *,FRA,Health
71,Sorbonne Universite *,FRA,Universities
72,Stanford Medicine,USA,Health
73,University of Utah Health Care,USA,Health
74,University of Iowa *,USA,Universities
75,Fondazione IRCCS San Raffaele del Monte Tabor,ITA,Health
76,Queensland University of Technology,AUS,Universities
77,University of Southern California Health Sciences Campus,USA,Health
78,The Chinese University of Hong Kong *,HKG,Universities
79,Universita degli Studi di Messina,ITA,Universities
80,Duke Medicine,USA,Health
81,"Newcastle University, Newcastle upon Tyne",GBR,Universities
82,University of Pennsylvania Health System,USA,Health
83,"Hoffmann-La Roche Ltd, United States",USA,Companies
84,Seoul National University *,KOR,Universities
85,Rheinische Friedrich-Wilhelms-Universitat Bonn *,DEU,Universities
86,Genentech Inc,USA,Companies
87,Queen's University Belfast,GBR,Universities
88,Eberhard-Karls-Universitat Tubingen,DEU,Universities
89,Emory University *,USA,Universities
90,Centre de Recherche Bordeaux Population Health,FRA,Government
91,Thomas Jefferson University *,USA,Universities
92,University of Waterloo,CAN,Universities
93,Mount Sinai Health System *,USA,Health
94,Aston University,GBR,Universities
95,Zhejiang University *,CHN,Universities
96,Shahid Beheshti University of Medical Sciences and Health Services *,IRN,Universities
97,Tufts Medical Center,USA,Health
98,University of Houston,USA,Universities
99,"Ohio State University, Columbus *",USA,Universities
100,"University of California, Davis *",USA,Universities
101,Miami VA Healthcare System,USA,Health
102,"Fondazione IRCCS Ospedale Maggiore Policlinico, Mangiagalli e Regina Elena",ITA,Health
103,Baylor College of Medicine,USA,Universities
104,Universita Vita-Salute San Raffaele,ITA,Universities
105,Copenhagen University Hospital,DNK,Health
106,Universita degli Studi di Catania,ITA,Universities
107,Universite de Bordeaux *,FRA,Universities
108,Northwestern Medicine,USA,Health
109,Leiden University *,NLD,Universities
110,Erasmus University Rotterdam *,NLD,Universities
111,Universita degli Studi di Milano,ITA,Universities
112,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
113,Case Western Reserve University,USA,Universities
114,Erasmus Medical Center,NLD,Health
115,Universitat Heidelberg,DEU,Universities
116,Weill Cornell Medicine,USA,Universities
117,Leiden University Medical Center,NLD,Health
118,Oxford University Hospitals NHS Trust,GBR,Health
119,Huazhong University of Science and Technology *,CHN,Universities
120,University of Copenhagen,DNK,Universities
121,ZEISS Group *,MUL,Companies
122,University of Pittsburgh *,USA,Universities
122,Tokyo Medical and Dental University,JPN,Universities
122,Ospedale Luigi Sacco,ITA,Health
125,Tehran University of Medical Sciences *,IRN,Universities
126,Indiana University-Purdue University Indianapolis,USA,Universities
127,Central South University *,CHN,Universities
128,"University of Minnesota, Twin Cities *",USA,Universities
129,"University of Colorado, Denver *",USA,Universities
130,Tianjin Medical University *,CHN,Universities
131,Keio University *,JPN,Universities
132,Vanderbilt University *,USA,Universities
133,"University of California, Berkeley *",USA,Universities
134,Memorial Sloan-Kettering Cancer Center,USA,Health
135,Woodruff Health Sciences Center,USA,Health
136,University of North Texas Health Science Center,USA,Health
137,"University of California, Irvine *",USA,Universities
138,University Hospitals Bristol NHS Foundation Trust,GBR,Health
139,Universidad Miguel Hernandez *,ESP,Universities
140,Yale University *,USA,Universities
141,Peking University *,CHN,Universities
142,University of Iowa Health Care,USA,Health
143,Wenzhou Medical University *,CHN,Universities
144,Medical Research Council,GBR,Health
145,University of Birmingham,GBR,Universities
146,University of Amsterdam *,NLD,Universities
147,Vrije Universiteit Amsterdam *,NLD,Universities
148,Institut de la Vision,FRA,Government
149,Tianjin Eye Hospital,CHN,Health
150,South Eastern Sydney Local Health District *,AUS,Health
151,Indiana University-Bloomington,USA,Universities
152,Universitat Bern,CHE,Universities
