Global Rank,Institution,Country,Sector
1,Harvard University *,USA,Universities
2,Harvard Medical School,USA,Universities
3,Johns Hopkins University *,USA,Universities
4,Massachusetts Eye and Ear Infirmary ,USA,Health
5,Stanford University *,USA,Universities
6,Vanderbilt University *,USA,Universities
7,University of Pennsylvania *,USA,Universities
8,Johns Hopkins Medicine,USA,Health
9,Universidade de Sao Paulo *,BRA,Universities
10,Mayo Clinic *,USA,Health
11,Vanderbilt University Medical Center,USA,Health
12,"University of Michigan, Ann Arbor *",USA,Universities
13,Veterans Affairs Medical Centers *,USA,Health
14,Shanghai Jiao Tong University *,CHN,Universities
15,Assistance Publique Hopitaux de Paris *,FRA,Health
16,Medical University of South Carolina *,USA,Universities
17,University of Toronto,CAN,Universities
18,Washington University in Saint Louis *,USA,Universities
19,Sichuan University *,CHN,Universities
20,Samsung Corp *,MUL,Companies
21,University of Pennsylvania Health System,USA,Health
22,National Institutes of Health,USA,Health
23,"Ohio State University, Columbus *",USA,Universities
24,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
25,"University of North Carolina, Chapel Hill *",USA,Universities
26,University of Pittsburgh *,USA,Universities
27,Capital University of Medical Sciences,CHN,Universities
28,Hopital Foch,FRA,Health
29,The University of Queensland *,AUS,Universities
30,Shanghai Ninth People's Hospital,CHN,Health
31,"University of California, San Diego *",USA,Universities
32,Vrije Universiteit Amsterdam *,NLD,Universities
33,University of Washington *,USA,Universities
34,University of Michigan Health System,USA,Health
35,University of Amsterdam *,NLD,Universities
36,Stanford Medicine,USA,Health
37,Nanfang Hospital,CHN,Health
38,Toronto Rehab ,CAN,Health
39,Washington University Medical Center ,USA,Health
40,Columbia University *,USA,Universities
41,Institut d'Investigacions Biomediques August Pi i Sunyer,ESP,Health
42,University of Texas Southwestern Medical Center ,USA,Universities
43,Mount Sinai Health System *,USA,Health
44,Cornell University *,USA,Universities
45,Seoul National University *,KOR,Universities
46,"University of California, San Francisco *",USA,Universities
47,Boston University *,USA,Universities
47,The University of British Columbia,CAN,Universities
49,University of Iowa *,USA,Universities
50,Universidade Estadual de Campinas *,BRA,Universities
51,Friedrich-Alexander-Universitat Erlangen-Nurnberg *,DEU,Universities
52,New York University *,USA,Universities
53,"Northwestern University, Evanston *",USA,Universities
54,Kings College London,GBR,Universities
55,"University of California, Los Angeles *",USA,Universities
56,Academisch Medisch Centrum,NLD,Health
57,Emory University *,USA,Universities
58,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities
59,University of Mons,BEL,Universities
60,University Health Network *,CAN,Health
61,Fudan University *,CHN,Universities
62,Helsinki University Central Hospital,FIN,Health
63,University of Utah *,USA,Universities
64,Philadelphia VA Medical Center,USA,Health
65,University of Cincinnati *,USA,Universities
66,Oregon Health & Science University *,USA,Universities
67,Tel Aviv University,ISR,Universities
68,Universita degli Studi di Roma La Sapienza,ITA,Universities
69,Universidade Federal de Minas Gerais,BRA,Universities
70,University of Groningen *,NLD,Universities
71,Yale University *,USA,Universities
72,Universita degli Studi di Milano,ITA,Universities
73,Children's Hospital Boston  *,USA,Health
