Global Rank,Institution,Country,Sector
1,Harvard University *,USA,Universities
2,Harvard Medical School,USA,Universities
3,Memorial Sloan-Kettering Cancer Center,USA,Health
4,Mayo Clinic *,USA,Health
5,Johns Hopkins University *,USA,Universities
6,National Institutes of Health,USA,Health
7,Brigham and Women's Hospital,USA,Health
8,Massachusetts General Hospital,USA,Health
9,University of Texas M.D. Anderson Cancer Center ,USA,Health
10,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
11,Johns Hopkins Medicine,USA,Health
12,U.S. Department of Health & Human Services *,USA,Health
13,Helmholtz Gemeinschaft *,DEU,Government
14,"University of California, San Francisco *",USA,Universities
15,University of Pennsylvania *,USA,Universities
16,University College London *,GBR,Universities
17,Stanford University *,USA,Universities
18,University of Amsterdam *,NLD,Universities
19,University of Toronto,CAN,Universities
20,Massachusetts Institute of Technology *,USA,Universities
21,Cornell University *,USA,Universities
22,Assistance Publique Hopitaux de Paris *,FRA,Health
23,Chinese Academy of Sciences *,CHN,Government
24,University of Washington *,USA,Universities
25,Yale University *,USA,Universities
26,Centre National de la Recherche Scientifique *,FRA,Government
27,Vrije Universiteit Amsterdam *,NLD,Universities
28,Veterans Affairs Medical Centers *,USA,Health
29,Broad Institute of MIT and Harvard,USA,Health
30,"University of Michigan, Ann Arbor *",USA,Universities
31,Deutsches Krebsforschungszentrum,DEU,Government
32,Howard Hughes Medical Institute *,USA,Health
33,University of Pennsylvania Health System,USA,Health
34,German Cancer Consortium,DEU,Government
35,Weill Cornell Medicine,USA,Universities
36,University of Pittsburgh Medical Center ,USA,Health
37,Columbia University *,USA,Universities
38,Sichuan University *,CHN,Universities
39,Academisch Medisch Centrum,NLD,Health
40,Yale University Health & Medicine,USA,Health
41,Shanghai Jiao Tong University *,CHN,Universities
42,"Northwestern University, Evanston *",USA,Universities
43,University of Cambridge *,GBR,Universities
44,Cleveland Clinic *,USA,Health
45,Washington University in Saint Louis *,USA,Universities
46,University of Sydney,AUS,Universities
47,Samsung Corp *,MUL,Companies
48,University of Chicago *,USA,Universities
49,Stanford Medicine,USA,Health
50,University of Pittsburgh *,USA,Universities
51,University Health Network *,CAN,Health
52,Kings College London,GBR,Universities
53,Fudan University *,CHN,Universities
54,Vanderbilt University *,USA,Universities
55,Indiana University-Purdue University Indianapolis,USA,Universities
56,Dana Farber Cancer Institute ,USA,Health
57,Emory University *,USA,Universities
58,Mount Sinai Health System *,USA,Health
59,Universite de Paris Cite *,FRA,Universities
60,The University of British Columbia,CAN,Universities
61,"University of California, Los Angeles *",USA,Universities
62,The University of Queensland *,AUS,Universities
63,All India Institute of Medical Sciences,IND,Universities
64,Sorbonne Universite *,FRA,Universities
65,Zhejiang University *,CHN,Universities
66,"Hoffmann-La Roche Ltd, United States",USA,Companies
67,Augusta University *,USA,Universities
68,Universitatsspital Basel,CHE,Health
69,Northwestern Medicine,USA,Health
70,Universitatsklinikum Heidelberg,DEU,Health
71,F Hoffmann-La Roche *,MUL,Companies
72,Instituto de Salud Carlos III *,ESP,Health
73,New York University *,USA,Universities
