Global Rank,Institution,Country,Sector
1,Johns Hopkins University *,USA,Universities
2,Harvard University *,USA,Universities
3,Veterans Affairs Medical Centers *,USA,Health
4,Cleveland Clinic *,USA,Health
5,Johns Hopkins Medicine,USA,Health
6,Harvard Medical School,USA,Universities
7,Mayo Clinic *,USA,Health
8,Fondazione IRCCS San Raffaele del Monte Tabor,ITA,Health
9,Assistance Publique Hopitaux de Paris *,FRA,Health
10,"University of California, San Francisco *",USA,Universities
11,National Institutes of Health,USA,Health
12,"University of Michigan, Ann Arbor *",USA,Universities
13,Memorial Sloan-Kettering Cancer Center,USA,Health
14,Cornell University *,USA,Universities
15,University of Washington *,USA,Universities
16,Duke University *,USA,Universities
17,University of Texas Southwestern Medical Center ,USA,Universities
18,"University of California, Los Angeles *",USA,Universities
19,Weill Cornell Medicine,USA,Universities
20,U.S. Department of Health & Human Services *,USA,Health
21,The University of British Columbia,CAN,Universities
22,Erasmus University Rotterdam *,NLD,Universities
23,Erasmus Medical Center,NLD,Health
24,University of Texas M.D. Anderson Cancer Center ,USA,Health
25,Universitat Hamburg *,DEU,Universities
26,Brigham and Women's Hospital,USA,Health
27,University of Toronto,CAN,Universities
28,Universitatsklinikum Hamburg Eppendorf,DEU,Health
29,Mount Sinai Health System *,USA,Health
30,"Northwestern University, Evanston *",USA,Universities
31,University of Southern California *,USA,Universities
32,Dana Farber Cancer Institute ,USA,Health
33,Radboud University Nijmegen Medical Centre,NLD,Health
34,Medizinische Universitat Wien,AUT,Universities
35,University Health Network *,CAN,Health
36,Universita Vita-Salute San Raffaele,ITA,Universities
37,Duke Medicine,USA,Health
38,University College London Hospital NHS Trust,GBR,Health
39,Icahn School of Medicine at Mount Sinai,USA,Universities
40,Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital,NLD,Health
41,German Cancer Consortium,DEU,Government
42,UCLA Health System,USA,Health
43,Liverpool University Hospitals NHS Foundation Trust,GBR,Health
44,Stanford University *,USA,Universities
45,University College London *,GBR,Universities
46,Vancouver Prostate Centre,CAN,Health
47,Sorbonne Universite *,FRA,Universities
48,Chinese Academy of Sciences *,CHN,Government
49,Universita degli Studi di Firenze,ITA,Universities
50,Vanderbilt University *,USA,Universities
51,University of Melbourne *,AUS,Universities
52,Samsung Corp *,MUL,Companies
53,"University of California, San Diego *",USA,Universities
54,New York University *,USA,Universities
55,University of Amsterdam *,NLD,Universities
56,Washington University in Saint Louis *,USA,Universities
57,Vrije Universiteit Amsterdam *,NLD,Universities
58,University of Utah *,USA,Universities
59,Institute of Cancer Research,GBR,Health
60,National Cancer Institute,USA,Health
61,Northwestern Medicine,USA,Health
62,McGill University Health Centre,CAN,Health
63,Academisch Medisch Centrum,NLD,Health
64,Baylor College of Medicine,USA,Universities
65, Centre Hospitalier de l'Universite de Montreal,CAN,Health
66,"University of California, Irvine *",USA,Universities
67,Massachusetts General Hospital,USA,Health
68,Vanderbilt University Medical Center,USA,Health
69,Washington University Medical Center ,USA,Health
70,University of Chicago *,USA,Universities
71,Karolinska Institute,SWE,Universities
72,University of Miami *,USA,Universities
73,Helmholtz Gemeinschaft *,DEU,Government
74,University of Pennsylvania *,USA,Universities
75,University Hospitals Leuven,BEL,Health
76,Universita degli Studi di Roma La Sapienza,ITA,Universities
77,University of Pittsburgh *,USA,Universities
78,Deutsches Krebsforschungszentrum,DEU,Government
79,Shanghai Jiao Tong University *,CHN,Universities
80,Aarhus University *,DNK,Universities
81,The Royal Marsden NHS Foundation Trust,GBR,Health
82,"University of Colorado, Denver *",USA,Universities
83,Columbia University *,USA,Universities
84,Temple University *,USA,Universities
85,University of Southern California Health Sciences Campus,USA,Health
86,Guys & Saint Thomas NHS Foundation Trust,GBR,Health
87,Princess Margaret Cancer Centre,CAN,Health
88,Stanford Medicine,USA,Health
89,Yale University *,USA,Universities
90,University of Miami Health System,USA,Health
91,British Columbia Cancer Agency *,CAN,Health
92,"University of Colorado, Anschutz Medical Campus",USA,Universities
93,Temple Health,USA,Health
94,Universidade de Sao Paulo *,BRA,Universities
95,Peter Maccallum Cancer Centre,AUS,Health
96,"University of Wisconsin, Madison *",USA,Universities
97,Emory University *,USA,Universities
98,McMaster University,CAN,Universities
99,Huazhong University of Science and Technology *,CHN,Universities
100,The University of Sheffield,GBR,Universities
101,Sunnybrook Health Sciences Centre,CAN,Health
102,University of Utah Health Care,USA,Health
103,"University of Minnesota, Twin Cities *",USA,Universities
104,"University of North Carolina, Chapel Hill *",USA,Universities
105,"University of Alabama, Birmingham *",USA,Universities
106,Azienda Ospedaliera Careggi,ITA,Health
107,Fudan University *,CHN,Universities
108,Institut Bergonie *,FRA,Government
109,Cedars-Sinai Medical Center ,USA,Health
110,Sichuan University *,CHN,Universities
111,Kings College London,GBR,Universities
112,Tulane University *,USA,Universities
113,Copenhagen University Hospital,DNK,Health
114,Queen's University,CAN,Universities
115,Universitat Bern,CHE,Universities
116,University Hospital Southampton NHS Foundation Trust,GBR,Health
117,Norfolk and Norwich University Hospitals NHS Foundation Trust,GBR,Health
118,H. Lee Moffitt Cancer Center and Research Institute,USA,Health
119,Universita degli Studi di Torino,ITA,Universities
120,Indiana University-Purdue University Indianapolis,USA,Universities
121,Catholic University of Leuven,BEL,Universities
122,Peking University *,CHN,Universities
123,University of Athens,GRC,Universities
124,University of Michigan Health System,USA,Health
125,Eastern Virginia Medical School,USA,Universities
126,Aarhus University Hospital,DNK,Health
127,Fred Hutchinson Cancer Research Center,USA,Health
128,Shahid Beheshti University of Medical Sciences and Health Services *,IRN,Universities
129,University of Cambridge *,GBR,Universities
130,Universita degli Studi di Napoli Federico II,ITA,Universities
131,Nanjing Medical University *,CHN,Universities
132,Universita degli Studi di Catania,ITA,Universities
133,University of Yamanashi *,JPN,Universities
134,Fox Chase Cancer Center,USA,Health
135,Columbia University Irving Medical Center,USA,Health
136,NYU Langone Medical Center,USA,Health
137,University of Western Ontario,CAN,Universities
138,Universite de Paris Cite *,FRA,Universities
139,Universita degli Studi di Milano,ITA,Universities
