Global Rank,Institution,Country,Sector,Best Country Quartile
1,Chinese Academy of Sciences *,CHN,Government,1
2,State Grid Corporation of China *,CHN,Companies,1
3,Ministry of Education of the People's Republic of China,CHN,Government,1
4,DeepMind,MUL,Companies,1
5,"DeepMind Technologies Ltd, UK",GBR,Companies,1
6,Tencent America Llc,USA,Companies,1
7,Parker Institute for Cancer Immunotherapy,USA,Health,1
8,"Adobe Research, USA",USA,Companies,1
9,"Google Inc, USA",USA,Companies,1
10,Alphabet Inc *,MUL,Companies,1
11,"Adobe Inc, USA",USA,Companies,1
12,Google International LLC,MUL,Companies,1
13,NEC Corporation of America,USA,Companies,1
14,"Intel Labs, USA",USA,Companies,1
15,Sarah Cannon Research Institute,USA,Health,1
16,Samsung Corp *,MUL,Companies,1
17,Huawei Technologies Co Ltd *,MUL,Companies,1
18,Microsoft Corp *,MUL,Companies,1
19,"Microsoft, USA",USA,Companies,1
20,"Samsung Electronics, South Korea",KOR,Companies,1
21,Tsinghua University *,CHN,Universities,1
22,Mitsubishi Electric Research Laboratories,USA,Companies,1
23,IBM United States,USA,Companies,1
24,LG Corporation *,MUL,Companies,1
25,Inception Institute of Artificial Intelligence,ARE,Non-Profit,1
26,"Mitsubishi Electric Corp, USA",USA,Companies,1
27,IBM Research *,MUL,Companies,1
28,Facebook Inc *,MUL,Companies,1
29,"Facebook Inc, United States",USA,Companies,1
30,Tencent Holdings Ltd *,MUL,Companies,1
31,"Microsoft Research Asia, China",CHN,Companies,1
32,Adobe Inc *,MUL,Companies,1
33,"Novartis Institutes for Biomedical Research, United States",USA,Companies,1
34,"Microsoft, China",CHN,Companies,1
35,"Qualcomm Inc, USA",USA,Companies,1
36,Toyota Group *,MUL,Companies,1
37,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
38,"Huawei Technologies Ltd, Germany",DEU,Companies,1
39,Ericsson Sweden,SWE,Companies,1
40,"Huawei Software Technology Co Ltd, China",CHN,Companies,1
41,The New York Genome Center,USA,Health,1
42,Zhejiang University *,CHN,Universities,1
43,"Hoffmann-La Roche Ltd, United States",USA,Companies,1
44,NVIDIA Corp,USA,Companies,1
45,Genentech Inc,USA,Companies,1
46,Howard Hughes Medical Institute *,USA,Health,1
47,Scripps Research Institute,USA,Health,1
48,"Baidu Inc, United States",USA,Companies,1
49,"Microsoft Research Redmond, USA",USA,Companies,1
50,Whitehead Institute for Biomedical Research,USA,Health,1
51,Singapore Immunology Network,SGP,Government,1
52,Qualcomm Inc *,MUL,Companies,1
53,Baidu Inc *,MUL,Companies,1
54,Broad Institute of MIT and Harvard,USA,Health,1
55,"Ragon Institute of MGH, MIT and Harvard",USA,Health,1
56,Ericsson *,MUL,Companies,1
57,Intel Corp *,MUL,Companies,1
58,"Tencent Holdings Ltd, China",CHN,Companies,1
59,Allen Institute for Artificial Intelligence,USA,Non-Profit,1
60,University of Chinese Academy of Sciences,CHN,Universities,1
61,"Intel Corp, USA",USA,Companies,1
62,Ludwig Institute for Cancer Research Lausanne,CHE,Health,1
63,Chan Zuckerberg Biohub,USA,Health,1
64,J. David Gladstone Institutes,USA,Health,1
65,NEC Corp *,MUL,Companies,1
66,IBM Thomas J Watson Research Center,USA,Companies,1
67,F Hoffmann-La Roche *,MUL,Companies,1
68,Ludwig Institute for Cancer Research *,USA,Health,1
69,Regeneron Pharmaceuticals Inc *,USA,Companies,1
70,Shanghai Jiao Tong University *,CHN,Universities,1
71,South China University of Technology,CHN,Universities,1
72,Taiwan Semiconductor Manufacturing Company Ltd.,TWN,Companies,1
73,Joint BioEnergy Institute,USA,Government,1
74,Massachusetts Institute of Technology *,USA,Universities,1
75,University of Electronic Science and Technology of China *,CHN,Universities,1
76,Nokia Corp *,MUL,Companies,1
77,Mitsubishi Electric Corp,MUL,Companies,1
78,"Bristol-Myers Squibb Company, United States",USA,Companies,1
79,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government,1
80,"Novartis Institutes for Biomedical Research, Switzerland",CHE,Companies,1
81,Mitsubishi Corp *,MUL,Companies,1
82,Tianjin Institute of Industrial Biotechnology,CHN,Government,1
83,Harbin Institute of Technology,CHN,Universities,1
84,"Hoffmann-La Roche, GmbH., Germany",DEU,Companies,1
85,Wistar Institute,USA,Health,1
86,"Baidu Inc, China",CHN,Companies,1
87,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government,1
87,Huazhong University of Science and Technology *,CHN,Universities,1
89,Max Planck Institut fur Informatik,DEU,Government,1
90,Sanford Burnham Prebys Medical Discovery Institute,USA,Health,1
91,Bristol-Myers Squibb Company *,MUL,Companies,1
92,IBM Switzerland,CHE,Companies,1
93,Tianjin University *,CHN,Universities,1
94,"Toyota Research Institute, USA",USA,Companies,1
95,"Biogen Inc, USA",USA,Companies,1
96,Cold Spring Harbor Laboratory,USA,Health,1
97,"Samsung Research, South Korea",KOR,Companies,1
98,Centre de Visio per Computador,ESP,Government,1
99,"Centro de Investigacion Biomedica en Red de Cancer, Barcelona",ESP,Health,1
100,Fujitsu *,MUL,Companies,1
100,"Exploration and Petroleum Engineering Advanced Research Center, SAU",SAU,Companies,1
102,Harvard University *,USA,Universities,1
103,Translational Genomics Research Institute,USA,Health,1
104,Vector Institute for Artificial Intelligence,CAN,Non-Profit,1
105,"Microsoft, United Kingdom",GBR,Companies,1
106,BeiHang University *,CHN,Universities,1
107,"Fujitsu, Japan",JPN,Companies,1
108,Biogen Inc *,MUL,Companies,1
109,"LG Electronics, South Korea",KOR,Companies,1
110,Peking University *,CHN,Universities,1
111,"Sanofi, United States",USA,Companies,1
112,"Saudi Arabian Oil Co, USA",USA,Companies,1
113,China Southern Power Grid Co Ltd *,CHN,Companies,1
114,"Institute of Automation, Chinese Academy of Sciences",CHN,Government,1
114,"Nokia Bell Labs, United States",USA,Companies,1
116,Vancouver Prostate Centre,CAN,Health,1
117,European Bioinformatics Institute EMBL,GBR,Government,1
118,Center for Excellence in Brain Science and Intelligence Technology,CHN,Government,1
119,Vall d’Hebron Instituto de Oncologia,ESP,Health,1
