Global Rank,Institution,Country,Sector,Best Country Quartile
1,Chinese Academy of Sciences *,CHN,Government,1
2,Harvard University *,USA,Universities,1
3,Ministry of Education of the People's Republic of China,CHN,Government,1
4,Centre National de la Recherche Scientifique *,FRA,Government,1
5,National Institutes of Health,USA,Health,1
6,Harvard Medical School,USA,Universities,1
7,U.S. Department of Health & Human Services *,USA,Health,1
8,University of Oxford *,GBR,Universities,1
9,Johns Hopkins University *,USA,Universities,1
10,University College London *,GBR,Universities,1
11,University of Toronto,CAN,Universities,1
12,University of Washington *,USA,Universities,1
13,Stanford University *,USA,Universities,1
14,Veterans Affairs Medical Centers *,USA,Health,1
15,University of Melbourne *,AUS,Universities,1
16,Helmholtz Gemeinschaft *,DEU,Government,1
17,"University of Michigan, Ann Arbor *",USA,Universities,1
18,Institut National de la Sante et de la Recherche Medicale *,FRA,Health,1
19,Columbia University *,USA,Universities,1
20,National Library of Medicine,USA,Health,1
21,Universidade de Sao Paulo *,BRA,Universities,1
22,Cornell University *,USA,Universities,1
23,University of Sydney *,AUS,Universities,1
24,Google International LLC,MUL,Companies,1
25,University of Chinese Academy of Sciences,CHN,Universities,1
26,University of Pennsylvania *,USA,Universities,1
27,Consejo Superior de Investigaciones Cientificas *,ESP,Government,1
28,Mayo Clinic *,USA,Health,1
29,The University of Queensland *,AUS,Universities,1
30,Facebook Inc *,MUL,Companies,1
31,"Monash University, Melbourne *",AUS,Universities,1
32,Yale University *,USA,Universities,1
33,University of Cambridge *,GBR,Universities,1
34,"University of California, Los Angeles *",USA,Universities,1
35,University of New South Wales *,AUS,Universities,1
36,National Center for Biotechnology Information,USA,Government,1
37,"University of California, San Francisco *",USA,Universities,1
38,Instituto de Salud Carlos III *,ESP,Health,1
39,Imperial College London,GBR,Universities,1
40,Johns Hopkins Medicine,USA,Health,1
41,University of Amsterdam *,NLD,Universities,1
42,"University of North Carolina, Chapel Hill *",USA,Universities,1
43,Assistance Publique Hopitaux de Paris *,FRA,Health,1
44,Duke University *,USA,Universities,1
45,Peking University *,CHN,Universities,1
46,Centers for Disease Control and Prevention,USA,Health,1
47,Massachusetts Institute of Technology *,USA,Universities,1
48,Kings College London,GBR,Universities,1
49,Baidu Inc *,MUL,Companies,1
50,New York University *,USA,Universities,1
50,Vrije Universiteit Amsterdam *,NLD,Universities,1
52,"University of Minnesota, Twin Cities *",USA,Universities,1
53,Utrecht University *,NLD,Universities,1
54,University of Florida *,USA,Universities,1
55,McGill University *,CAN,Universities,1
56,"Ohio State University, Columbus *",USA,Universities,1
57,"University of California, Berkeley *",USA,Universities,1
58,Shanghai Jiao Tong University *,CHN,Universities,1
59,"University of California, San Diego *",USA,Universities,1
60,Massachusetts General Hospital,USA,Health,1
61,University of Copenhagen,DNK,Universities,1
62,"University of Wisconsin, Madison *",USA,Universities,1
63,"University of California, Davis *",USA,Universities,1
64,Karolinska Institute,SWE,Universities,1
65,Zhejiang University *,CHN,Universities,1
66,United States Department of Agriculture,USA,Government,1
67,Mount Sinai Health System *,USA,Health,1
68,National University of Singapore *,SGP,Universities,1
69,"Northwestern University, Evanston *",USA,Universities,1
70,Brigham and Women's Hospital *,USA,Health,1
71,University of Pennsylvania Health System,USA,Health,1
72,Pennsylvania State University *,USA,Universities,1
73,University of Tokyo *,JPN,Universities,1
74,Sorbonne Universite *,FRA,Universities,1
75,The University of Edinburgh *,GBR,Universities,1
76,Emory University *,USA,Universities,1
77,Yale University Health & Medicine,USA,Health,1
78,Russian Academy of Sciences *,RUS,Government,1
79,Columbia University Irving Medical Center,USA,Health,1
80,Tsinghua University *,CHN,Universities,1
81,Max Planck Gesellschaft *,DEU,Government,1
82,Stanford Medicine,USA,Health,1
83,University of Southern California *,USA,Universities,1
84,Boston University *,USA,Universities,1
85,The University of Manchester *,GBR,Universities,1
86,Cleveland Clinic *,USA,Health,1
87,Weill Cornell Medicine,USA,Universities,1
88,Centres de Recerca de Catalunya *,ESP,Non-Profit,1
89,University of Pittsburgh *,USA,Universities,1
90,Catholic University of Leuven,BEL,Universities,1
91,Consiglio Nazionale delle Ricerche *,ITA,Government,1
92,World Health Organization *,MUL,Health,1
93,Universidad Nacional Autonoma de Mexico,MEX,Universities,1
94,Vanderbilt University *,USA,Universities,1
95,Washington University in Saint Louis *,USA,Universities,1
96,Universitat de Barcelona *,ESP,Universities,1
97,Leibniz Gemeinschaft *,DEU,Government,1
98,Microsoft Corp *,MUL,Companies,1
99,Universita degli Studi di Milano,ITA,Universities,1
100,"Rutgers, The State University of New Jersey",USA,Universities,1
101,Universita degli Studi di Roma La Sapienza,ITA,Universities,1
102,Aarhus University *,DNK,Universities,1
103,University of Alberta,CAN,Universities,1
104,University of Helsinki,FIN,Universities,1
105,Fudan University *,CHN,Universities,1
106,Institut Catala de la Salut Barcelona *,ESP,Health,1
107,University of Chicago *,USA,Universities,1
108,National Aeronautics and Space Administration *,USA,Government,1
109,Universite de Paris Cite *,FRA,Universities,1
109,"University of Texas, Austin",USA,Universities,1
111,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government,1
112,University of Utah *,USA,Universities,1
113,University of Texas M.D. Anderson Cancer Center ,USA,Health,1
114,National Cancer Institute,USA,Health,1
115,The University of British Columbia,CAN,Universities,1
116,Samsung Corp *,MUL,Companies,1
117,"Amazon.com, Inc *",MUL,Companies,1
