Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Ministry of Agriculture,CHN,Government
4,Centre National de la Recherche Scientifique *,FRA,Government
5,Qingdao National Laboratory for Marine Science and Technology,CHN,Government
6,Chinese Academy of Fishery Sciences *,CHN,Non-Profit
7,Consejo Superior de Investigaciones Cientificas *,ESP,Government
8,National Oceanic and Atmospheric Administration,USA,Government
9,Ocean University of China,CHN,Universities
10,Shanghai Ocean University,CHN,Universities
11,University of Chinese Academy of Sciences,CHN,Universities
12,Helmholtz Gemeinschaft *,DEU,Government
13,Ministry of Ecology and Environment,CHN,Government
14,Leibniz Gemeinschaft *,DEU,Government
15,Consiglio Nazionale delle Ricerche *,ITA,Government
16,Institut Francais de Recherche pour l'Exploitation de la Mer *,FRA,Government
17,United States Geological Survey,USA,Government
18,Indian Council of Agricultural Research *,IND,Government
19,Guangdong Ocean University,CHN,Universities
20,Universidade de Sao Paulo *,BRA,Universities
21,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
22,"Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
23,Fisheries and Oceans Canada *,CAN,Government
24,Russian Academy of Sciences *,RUS,Government
25,Guangzhou Municipal People's Government  *,CHN,Government
26,Ministry of Natural Resources,CHN,Government
27,"Institute of Hydrobiology, Chinese Academy of Sciences",CHN,Government
28,Institut de Recherche pour le Developpement *,MUL,Government
29,Institute of Marine Research,NOR,Government
30,Sun Yat-Sen University *,CHN,Universities
31,University of Washington *,USA,Universities
32,Ningbo University,CHN,Universities
33,Hohai University,CHN,Universities
34,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
35,Institut de Recherche pour le Developpement France,FRA,Government
36,Guangdong Provincial Laboratory of Southern Marine Science and Engineering,CHN,Government
37,China Agricultural University,CHN,Universities
38,Chittagong University of Engineering and Technology,BGD,Universities
39,"Consejo Nacional de Humanidades, Ciencias y Tecnologias *",MEX,Government
40,Zhejiang University *,CHN,Universities
41,Dalian Ocean University,CHN,Universities
42,China Three Gorges Corp,CHN,Companies
43,Xiamen University *,CHN,Universities
44,Tsinghua University *,CHN,Universities
45,Huazhong Agricultural University,CHN,Universities
46,University of Tasmania,AUS,Universities
47,Northwest A and F University,CHN,Universities
48,Huazhong University of Science and Technology *,CHN,Universities
49,Qingdao University of Science and Technology,CHN,Universities
50,China Institute of Water Resources and Hydropower Research,CHN,Government
51,"University of Texas, Austin",USA,Universities
52,Universidade do Porto *,PRT,Universities
53,Sorbonne Universite *,FRA,Universities
54,Alagappa University,IND,Universities
55,"University of California, Davis *",USA,Universities
56,Zhejiang University of Technology,CHN,Universities
57,Nanjing Forestry University,CHN,Universities
58,James Cook University *,AUS,Universities
59,Syiah Kuala University,IDN,Universities
60,Center for Disease Control and Prevention China,CHN,Health
61,Wageningen University and Research Centre,NLD,Universities
62,Wuhan University *,CHN,Universities
63,Chiang Mai University,THA,Universities
64,Universidad Nacional Autonoma de Mexico,MEX,Universities
65,Oregon State University,USA,Universities
66,Chalmers University of Technology *,SWE,Universities
67,The University of British Columbia,CAN,Universities
68,East China University of Science and Technology,CHN,Universities
69,Dalian University of Technology *,CHN,Universities
70,National Veterinary Institute,NOR,Government
71,Technical University of Denmark,DNK,Universities
72,Hong Kong Polytechnic University,HKG,Universities
73,United States Department of Agriculture,USA,Government
74,Dalhousie University *,CAN,Universities
75,Geoforschungszentrum Potsdam,DEU,Government
76,National Center for Genetic Engineering and Biotechnology,THA,Government
77,Zhejiang Ocean University,CHN,Universities
78,"University of Hawaii, Manoa *",USA,Universities
79,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government
80,National Institute of Oceanography and Fisheries,EGY,Government
81,Nantong University *,CHN,Universities
82,University of Melbourne *,AUS,Universities
83,University of Gothenburg,SWE,Universities
84,University Putra Malaysia,MYS,Universities
85,Henan University of Science and Technology *,CHN,Universities
86,Central South University *,CHN,Universities
87,Woods Hole Oceanographic Institution,USA,Non-Profit
88,Peking University *,CHN,Universities
89,The University of Edinburgh *,GBR,Universities
89,Zagazig University *,EGY,Universities
91,Instituto Espanol de Oceanografia,ESP,Government
92,University of Florida *,USA,Universities
93,Guangdong Provincial Laboratory of Southern Marine Science and Engineering Zhuhai,CHN,Government
94,National Aeronautics and Space Administration *,USA,Government
95,National Science and Technology Development Agency *,THA,Government
96,Princess Nourah bint Abdul Rahman University *,SAU,Universities
97,Kafrelsheikh University,EGY,Universities
97,Northeast Agricultural University,CHN,Universities
99,United Nations *,MUL,Non-Profit
100,Hunan Normal University,CHN,Universities
101,Michigan State University,USA,Universities
102,National Pingtung University of Science and Technology,TWN,Universities
103,Hunan University of Science and Technology,CHN,Universities
104,Universidad San Ignacio de Loyola,PER,Universities
105,The University of Western Australia,AUS,Universities
106,Universita degli Studi di Palermo,ITA,Universities
107,Universidad de Almeria *,ESP,Universities
108,Norwegian University of Science and Technology,NOR,Universities
109,Aarhus University *,DNK,Universities
110,Prince Sattam Bin Abdulaziz University,SAU,Universities
111,Universidad de Concepcion *,CHL,Universities
112,State Key Joint Laboratory of Environmental Simulation and Pollution Control,CHN,Government
113,University of Exeter,GBR,Universities
114,Harvard University *,USA,Universities
115,National Oceanography Centre Southampton,GBR,Government
116,Istituto di Scienze Polari,ITA,Government
117,Ghent University,BEL,Universities
118,The University of Queensland *,AUS,Universities
119,University of Stirling,GBR,Universities
120,Instituto Tecnologico y de Estudios Superiores de Monterrey *,MEX,Universities
121,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government
122,Universitat Politecnica de Valencia *,ESP,Universities
123,Universidade Estadual Paulista Julio de Mesquita Filho,BRA,Universities
124,East China Normal University *,CHN,Universities
125,Uppsala University,SWE,Universities
126,Dalian Polytechnic University,CHN,Universities
127,University of Copenhagen,DNK,Universities
128,Duke University *,USA,Universities
129,"University of California, San Diego *",USA,Universities
130,China University of Petroleum,CHN,Universities
131,University of Tromso - The Arctic University of Norway,NOR,Universities
132,Korea University of Science and Technology,KOR,Universities
132,CGIAR Consortium of International Agricultural Research *,MUL,Non-Profit
134,European Commission *,MUL,Government
135,Henan Normal University,CHN,Universities
136,Universidade de Vigo *,ESP,Universities
137,Universidade de Lisboa *,PRT,Universities
137,Helmholtz-Zentrum fur Ozeanforschung Kiel Umgewandelt,DEU,Government
139,"PowerChina Huadong Engineering Corp Ltd, China",CHN,Companies
140,"Soochow University, Suzhou *",CHN,Universities
141,"University of California, Santa Cruz",USA,Universities
142,University of Tokyo *,JPN,Universities
143,University of Mississippi *,USA,Universities
144,Institut de Diagnosi Ambiental i Estudis de l'Aigua,ESP,Government
145,Jet Propulsion Laboratory,USA,Government
146,L'Alma Mater Studiorum - Universita di Bologna,ITA,Universities
147,Nanjing Tech University,CHN,Universities
148,Centro de Investigacion y Desarrollo Pascual Vila CS,ESP,Government
149,Hebrew University of Jerusalem,ISR,Universities
150,"South China Sea Institute of Oceanology, Chinese Academy of Sciences",CHN,Government
151,Academy of Sciences of the Czech Republic *,CZE,Government
152,Hunan Agricultural University,CHN,Universities
153,Hainan University,CHN,Universities
154,Natural Environment Research Council *,GBR,Government
155,University of Cambridge *,GBR,Universities
156,"University of California, Santa Barbara",USA,Universities
