Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Tongji University *,CHN,Universities
3,Tsinghua University *,CHN,Universities
4,Chinese Academy of Sciences *,CHN,Government
5,"Southeast University, Nanjing *",CHN,Universities
6,State Grid Corporation of China *,CHN,Companies
7,Hong Kong Polytechnic University,HKG,Universities
8,Tianjin University *,CHN,Universities
9,Chongqing University,CHN,Universities
10,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",CHN,Government
11,Harbin Institute of Technology,CHN,Universities
12,Shanghai Jiao Tong University *,CHN,Universities
13,Delft University of Technology,NLD,Universities
14,Huazhong University of Science and Technology *,CHN,Universities
15,Centre National de la Recherche Scientifique *,FRA,Government
16,Zhejiang University *,CHN,Universities
17,Lawrence Berkeley National Laboratory *,USA,Government
18,Technical University of Denmark,DNK,Universities
19,Ajou University,KOR,Universities
20,National University of Singapore *,SGP,Universities
21,University College London *,GBR,Universities
22,Dalian University of Technology *,CHN,Universities
23,"University of California, Berkeley *",USA,Universities
24,Wuhan University of Technology *,CHN,Universities
25,Central South University *,CHN,Universities
26,Xi'an Jiaotong University *,CHN,Universities
27,Beijing Institute of Technology,CHN,Universities
28,Chang'an University ,CHN,Universities
29,North China Electric Power University,CHN,Universities
30,Shandong University *,CHN,Universities
31,Swiss Federal Institute of Technology,CHE,Universities
32,Helmholtz Gemeinschaft *,DEU,Government
33,University of New South Wales *,AUS,Universities
34,Georgia Institute of Technology *,USA,Universities
35,Imperial College London,GBR,Universities
36,Massachusetts Institute of Technology *,USA,Universities
37,Hunan University,CHN,Universities
38,Nanyang Technological University *,SGP,Universities
39,South China University of Technology,CHN,Universities
40,Norwegian University of Science and Technology,NOR,Universities
41,Xi'an University of Architecture and Technology,CHN,Universities
42,National Renewable Energy Laboratory,USA,Government
43,Politecnico di Milano,ITA,Universities
44,State Grid Zhejiang Electric Power Co,CHN,Companies
44,Shandong JiaoTong University,CHN,Universities
46,University of Cambridge *,GBR,Universities
47,European Commission *,MUL,Government
48,University of Nottingham *,GBR,Universities
49,Carnegie Mellon University *,USA,Universities
50,Aalborg University *,DNK,Universities
51,Northeast Electric Power University,CHN,Universities
52,Southwest Jiaotong University,CHN,Universities
53,Consejo Superior de Investigaciones Cientificas *,ESP,Government
54,China University of Geosciences,CHN,Universities
