Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Chinese Academy of Sciences *,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,University of Chinese Academy of Sciences,CHN,Universities
5,Google International LLC,MUL,Companies
6,Tsinghua University *,CHN,Universities
7,Zhejiang University *,CHN,Universities
8,Peking University *,CHN,Universities
9,Consejo Superior de Investigaciones Cientificas *,ESP,Government
10,BGC Trust University Bangladesh,BGD,Universities
11,Harvard-Smithsonian Center for Astrophysics,USA,Government
12,Harvard University *,USA,Universities
13,"Google Inc, USA",USA,Companies
14,Helmholtz Gemeinschaft *,DEU,Government
15,Tianjin University *,CHN,Universities
16,Ludwig Institute for Cancer Research *,USA,Health
17,Broad Institute of MIT and Harvard,USA,Health
18,Genome Institute of Singapore,SGP,Government
19,National Institutes of Health,USA,Health
20,Massachusetts Institute of Technology *,USA,Universities
21,Samsung Corp *,MUL,Companies
22,Microsoft Corp *,MUL,Companies
23,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
23,Russian Academy of Sciences *,RUS,Government
25,Fred Hutchinson Cancer Research Center *,USA,Health
26,European Bioinformatics Institute EMBL,GBR,Government
27,Regeneron Pharmaceuticals Inc *,USA,Companies
28,State Grid Corporation of China *,CHN,Companies
29,Canadian Institute for Advanced Research,CAN,Non-Profit
30,South China University of Technology,CHN,Universities
31,Alphabet Inc *,MUL,Companies
32,Garvan Institute of Medical Research,AUS,Health
33,Harvard Medical School,USA,Universities
34,Shanghai Jiao Tong University *,CHN,Universities
35,Max Planck Gesellschaft *,DEU,Government
36,Jackson Laboratory,USA,Health
37,Sichuan University *,CHN,Universities
38,NIHR Oxford Biomedical Research Centre,GBR,Health
39,Dana Farber Cancer Institute ,USA,Health
40,University of Science and Technology of China *,CHN,Universities
41,University of Pennsylvania Health System,USA,Health
42,Stanford University *,USA,Universities
43,IBM Research *,MUL,Companies
44,Brigham and Women's Hospital *,USA,Health
45,Nankai University *,CHN,Universities
46,Sanford Burnham Prebys Medical Discovery Institute,USA,Health
47,National University of Singapore *,SGP,Universities
48,Quchan University of Technology,IRN,Universities
49,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government
50,Harbin Institute of Technology,CHN,Universities
50,University of Connecticut Health Center,USA,Universities
52,U.S. Department of Health & Human Services *,USA,Health
53,Huazhong University of Science and Technology *,CHN,Universities
54,Scripps Research Institute,USA,Health
55,IBM Switzerland,CHE,Companies
56,Howard Hughes Medical Institute *,USA,Health
57,IBM United States,USA,Companies
58,Jilin University *,CHN,Universities
59,Massachusetts General Hospital,USA,Health
60,Xi'an Jiaotong University *,CHN,Universities
61,"University of California, Berkeley *",USA,Universities
62,National Library of Medicine,USA,Health
63,University of Texas M.D. Anderson Cancer Center ,USA,Health
64,Novo Nordisk *,MUL,Companies
65,Mount Sinai Health System *,USA,Health
66,University of Oxford *,GBR,Universities
67,National Center for Biotechnology Information,USA,Government
68,Nanyang Technological University *,SGP,Universities
69,Sun Yat-Sen University *,CHN,Universities
70,Medical Research Council,GBR,Health
71,Chan Zuckerberg Biohub,USA,Health
72,Turku University Hospital,FIN,Health
73,Sunnybrook Health Sciences Centre,CAN,Health
74,Cancer Research UK,GBR,Health
75,Peter Maccallum Cancer Centre,AUS,Health
76,Salk Institute for Biological Studies,USA,Health
77,Consiglio Nazionale delle Ricerche *,ITA,Government
78,University of Cambridge *,GBR,Universities
79,Fudan University *,CHN,Universities
80,Novo Nordisk A/S,DNK,Companies
81,King Saud University *,SAU,Universities
82,"Institute of Biophysics, Chinese Academy of Sciences",CHN,Government
83,Central South University *,CHN,Universities
84,Thales Group *,MUL,Companies
85,Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DEU,Non-Profit
86,National Cancer Institute,USA,Health
87,"Kaiser Permanente, Oakland *",USA,Health
88,UC San Diego Health System,USA,Health
89,Northwestern Medicine,USA,Health
90,"BMW AG, Germany",DEU,Companies
91,Wellcome Trust Sanger Institute,GBR,Health
92,Smithsonian Institution *,USA,Government
93,Columbia University Irving Medical Center,USA,Health
94,Beth Israel Deaconess Medical Center,USA,Health
95,Wuhan University *,CHN,Universities
96,"Northwestern University, Evanston *",USA,Universities
97,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government
98,Johns Hopkins Medicine,USA,Health
98,National Institute of Allergy and Infectious Diseases,USA,Health
100,Shriners Hospitals for Children *,MUL,Health
101,Vector Institute for Artificial Intelligence,CAN,Non-Profit
101,Zhengzhou University *,CHN,Universities
103,Cornell University *,USA,Universities
104,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government
105,University of Virginia Health System,USA,Health
106,Stanford Medicine,USA,Health
107,Shandong University *,CHN,Universities
108,BMW Group *,MUL,Companies
109,Memorial Sloan-Kettering Cancer Center,USA,Health
110,UCLA Health System,USA,Health
111,Imperial College London,GBR,Universities
112,Weill Cornell Medicine,USA,Universities
113,Institute of Cancer Research,GBR,Health
114,Lawrence Berkeley National Laboratory *,USA,Government
115,Children's Hospital Boston  *,USA,Health
116,"Soochow University, Suzhou *",CHN,Universities
117,Cleveland Clinic *,USA,Health
118,Nanjing University *,CHN,Universities
119,Houston Methodist,USA,Health
120,Jiangnan University *,CHN,Universities
121,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences",CHN,Government
122,European Molecular Biology Laboratory Heidelberg,DEU,Government
123,"Thales Group France, S.A.",FRA,Companies
124,Sun Yat-sen University Cancer Center,CHN,Health
125,Imperial College Healthcare NHS Trust,GBR,Health
126,Swiss Federal Institute of Technology,CHE,Universities
127,Alfred Wegener Institut fur Polar und Meeresforschung,DEU,Government
128,"Samsung Electronics, South Korea",KOR,Companies
129,King Abdullah University of Science and Technology,SAU,Universities
130,Istituto per l'Endocrinologia e l'Oncologia Gaetano Salvatore,ITA,Government
131,Cincinnati Children's Hospital Medical Center,USA,Health
131,"University of California, San Diego *",USA,Universities
133,Tongji University *,CHN,Universities
134,"University of Michigan, Ann Arbor *",USA,Universities
135,Institut de Microelectronica de Barcelona,ESP,Government
136,Institut Pasteur de Paris,FRA,Health
137,Yale University Health & Medicine,USA,Health
138,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
