Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Tongji University *,CHN,Universities
3,Chinese Academy of Sciences *,CHN,Government
4,Tsinghua University *,CHN,Universities
5,"Southeast University, Nanjing *",CHN,Universities
6,Harbin Institute of Technology,CHN,Universities
7,Guangdong Artificial Intelligence and Digital Economy Laboratory,CHN,Government
8,Chongqing University,CHN,Universities
9,Delft University of Technology,NLD,Universities
10,Hong Kong Polytechnic University,HKG,Universities
11,State Grid Corporation of China *,CHN,Companies
12,Chang'an University ,CHN,Universities
13,Zhejiang University *,CHN,Universities
14,Centre National de la Recherche Scientifique *,FRA,Government
15,Dalian University of Technology *,CHN,Universities
16,Shanghai Jiao Tong University *,CHN,Universities
17,Huazhong University of Science and Technology *,CHN,Universities
18,Jamia Millia Islamia Central University,IND,Universities
19,Tianjin University *,CHN,Universities
20,Central South University *,CHN,Universities
21,Southwest Jiaotong University,CHN,Universities
22,Wuhan University of Technology *,CHN,Universities
23,China University of Mining and Technology,CHN,Universities
24,Georgia Institute of Technology *,USA,Universities
25,"Agency for Science, Technology and Research Singapore *",SGP,Government
26,Xi'an Jiaotong University *,CHN,Universities
27,National University of Singapore *,SGP,Universities
28,Nanyang Technological University *,SGP,Universities
29,Hunan University,CHN,Universities
30,Massachusetts Institute of Technology *,USA,Universities
31,Hohai University,CHN,Universities
32,University of New South Wales *,AUS,Universities
33,Helmholtz Gemeinschaft *,DEU,Government
34,Beijing Institute of Technology,CHN,Universities
35,Swiss Federal Institute of Technology,CHE,Universities
36,South China University of Technology,CHN,Universities
37,Technical University of Denmark,DNK,Universities
38,BeiHang University *,CHN,Universities
39,Hamad Bin Khalifa University *,QAT,Universities
40,PLA Rocket Force University of Engineering,CHN,Universities
41,"University of California, Berkeley *",USA,Universities
42,Shandong University *,CHN,Universities
43,Norwegian University of Science and Technology,NOR,Universities
44,University College London *,GBR,Universities
45,National Renewable Energy Laboratory,USA,Government
46,Imperial College London,GBR,Universities
47,Swiss Federal Institute of Aquatic Science and Technology,CHE,Government
48,University of Chinese Academy of Sciences,CHN,Universities
49,Northwestern Polytechnical University,CHN,Universities
50,Politecnico di Milano,ITA,Universities
51,"University of Michigan, Ann Arbor *",USA,Universities
52,University of Electronic Science and Technology of China *,CHN,Universities
53,Sichuan University *,CHN,Universities
