Global Rank,Institution,Country,Sector
1,University of Oxford *,GBR,Universities
2,Max Planck Gesellschaft *,DEU,Government
3,University of Amsterdam *,NLD,Universities
4,Centre National de la Recherche Scientifique *,FRA,Government
5,Michigan State University,USA,Universities
6,University of Toronto,CAN,Universities
7,"University of California, Los Angeles *",USA,Universities
8,Stockholm University *,SWE,Universities
9,University of Groningen *,NLD,Universities
10,Harvard University *,USA,Universities
11,"University of Michigan, Ann Arbor *",USA,Universities
12,Max Planck Institut fur Demografische Forschung,DEU,Government
13,Pennsylvania State University *,USA,Universities
14,University College London *,GBR,Universities
15,University of Melbourne *,AUS,Universities
16,National University of Singapore *,SGP,Universities
17,The University of Manchester *,GBR,Universities
18,University of Oslo,NOR,Universities
19,London School of Economics and Political Science,GBR,Universities
20,University of Sussex *,GBR,Universities
21,New York University *,USA,Universities
22,"University of Minnesota, Twin Cities *",USA,Universities
23,Utrecht University *,NLD,Universities
24,York University,CAN,Universities
25,"University of Wisconsin, Madison *",USA,Universities
26,"University of North Carolina, Chapel Hill *",USA,Universities
27,Universitat Wien,AUT,Universities
28,"University of Texas, Austin",USA,Universities
29,The University of British Columbia,CAN,Universities
30,European University Institute,ITA,Universities
31,Arizona State University *,USA,Universities
32,Peking University *,CHN,Universities
33,Erasmus University Rotterdam *,NLD,Universities
34,The University of Edinburgh *,GBR,Universities
35,"Consejo Nacional de Humanidades, Ciencias y Tecnologias *",MEX,Government
36,Columbia University *,USA,Universities
37,University of Pennsylvania *,USA,Universities
38,Institut Zur Zukunft der Arbeit,DEU,Non-Profit
39,Cornell University *,USA,Universities
40,City University of New York *,USA,Universities
41,Universidad Nacional Autonoma de Mexico,MEX,Universities
42,McGill University *,CAN,Universities
43,Wissenschaftszentrum Berlin fur Sozialforschung,DEU,Government
44,University of Washington *,USA,Universities
45,Universita degli Studi di Firenze,ITA,Universities
46,University of Southern California *,USA,Universities
47,Centres de Recerca de Catalunya *,ESP,Non-Profit
48,"University of California, Berkeley *",USA,Universities
49,Maastricht University,NLD,Universities
50,Australian National University,AUS,Universities
51,London School of Hygiene and Tropical Medicine,GBR,Universities
52,"University of Maryland, College Park *",USA,Universities
53,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
54,Catholic University of Leuven,BEL,Universities
55,Duke University *,USA,Universities
56,Radboud University Nijmegen,NLD,Universities
57,Princeton University,USA,Universities
58,State University - Higher School of Economics,RUS,Universities
59,"University of California, Irvine *",USA,Universities
60,Universitat Autonoma de Barcelona *,ESP,Universities
61,University of Copenhagen,DNK,Universities
62,Syracuse University,USA,Universities
63,The University of Queensland *,AUS,Universities
64,Leibniz Gemeinschaft *,DEU,Government
65,"Ohio State University, Columbus *",USA,Universities
66,"Monash University, Melbourne *",AUS,Universities
67,Johns Hopkins University *,USA,Universities
68,University of Ottawa,CAN,Universities
69,Lunds University,SWE,Universities
70,United Nations *,MUL,Non-Profit
71,University of Southern Denmark,DNK,Universities
72,Universita degli Studi di Trento,ITA,Universities
73,Universita degli Studi di Milano,ITA,Universities
74,University of Gothenburg,SWE,Universities
75,Stanford University *,USA,Universities
76,University of Helsinki,FIN,Universities
77,University of Southampton,GBR,Universities
78,Catholic University of Louvain,BEL,Universities
79,Universita degli Studi di Roma La Sapienza,ITA,Universities
80,University of Alberta,CAN,Universities
81,Humboldt-Universitat zu Berlin *,DEU,Universities
82,University of Western Ontario,CAN,Universities
