Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,University of Chinese Academy of Sciences,CHN,Universities
5,Helmholtz Gemeinschaft *,DEU,Government
6,Russian Academy of Sciences *,RUS,Government
7,National Aeronautics and Space Administration *,USA,Government
8,China University of Geosciences,CHN,Universities
9,Wuhan University *,CHN,Universities
10,State Grid Corporation of China *,CHN,Companies
11,Consejo Superior de Investigaciones Cientificas *,ESP,Government
12,China National Petroleum Corp *,CHN,Companies
13,"Aerospace Information Research Institute, Chinese Academy of Sciences",CHN,Government
14,Sumy State University,UKR,Universities
15,Max Planck Gesellschaft *,DEU,Government
16,Xidian University,CHN,Universities
17,Tsinghua University *,CHN,Universities
18,California Institute of Technology *,USA,Universities
19,China University of Mining and Technology,CHN,Universities
20,"Exploration and Petroleum Engineering Advanced Research Center, SAU",SAU,Companies
21,Google International LLC,MUL,Companies
22,"Saudi Arabian Oil Co, USA",USA,Companies
23,PetroChina Co Ltd,CHN,Companies
24,University of Electronic Science and Technology of China *,CHN,Universities
25,Sorbonne Universite *,FRA,Universities
26,National Oceanic and Atmospheric Administration,USA,Government
27,Microsoft Corp *,MUL,Companies
28,Aramco *,MUL,Companies
29,"China University of Petroleum, Beijing",CHN,Universities
30,Central South University *,CHN,Universities
31,BeiHang University *,CHN,Universities
32,Beijing Normal University *,CHN,Universities
33,Jet Propulsion Laboratory,USA,Government
34,China Medical University Hospital,TWN,Health
35,Harvard University *,USA,Universities
36,European Centre for Medium-Range Weather Forecasts,GBR,Government
37,"University of Texas, Austin",USA,Universities
38,Deutsches Zentrum fur Luft- und Raumfahrt,DEU,Government
39,"Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences",CHN,Government
40,China University of Petroleum,CHN,Universities
41,"Saudi Arabian Oil Co, Saudi Arabia",SAU,Companies
42,Peking University *,CHN,Universities
43,China Petroleum and Chemical Corporation *,CHN,Companies
44,National Engineering Research Center for Information Technology in Agriculture,CHN,Non-Profit
45,Leibniz Gemeinschaft *,DEU,Government
46,"University of Colorado, Boulder *",USA,Universities
47,Southwest Petroleum University,CHN,Universities
48,Collaborative Innovation Center of Geospatial Technology,CHN,Government
49,Institut de Recherche pour le Developpement *,MUL,Government
50,Zhejiang University *,CHN,Universities
51,Duy Tan University,VNM,Universities
52,Universidad Nacional Autonoma de Mexico,MEX,Universities
53,Fondazione Bruno Kessler,ITA,Non-Profit
54,"Schlumberger, United States",USA,Companies
55,NASA Goddard Space Flight Center,USA,Government
56,Smithsonian Institution *,USA,Government
57,Schlumberger *,MUL,Companies
58,Consiglio Nazionale delle Ricerche *,ITA,Government
59,Institut de Recherche pour le Developpement France,FRA,Government
60,Harvard-Smithsonian Center for Astrophysics,USA,Government
61,Northwestern Polytechnical University,CHN,Universities
62,Technische Universitat Munchen *,DEU,Universities
63,Swiss Federal Institute of Technology,CHE,Universities
64,Office National d'Etudes et de Recherches Aerospatiales Palaiseau,FRA,Government
65,Nanjing University of Information Science and Technology,CHN,Universities
66,Stanford University *,USA,Universities
67,United States Geological Survey,USA,Government
68,Massachusetts Institute of Technology *,USA,Universities
69,Tongji University *,CHN,Universities
70,European Commission *,MUL,Government
71,University of Washington *,USA,Universities
72,Shanghai Polytechnic University,CHN,Universities
73,University of Tokyo *,JPN,Universities
74,Sun Yat-Sen University *,CHN,Universities
75,"Microsoft, USA",USA,Companies
76,Commonwealth Scientific and Industrial Research Organization *,AUS,Government
77,Ministry of Natural Resources,CHN,Government
78,Hunan Institute of Science and Technology,CHN,Universities
79,University of Cambridge *,GBR,Universities
80,Met Office,GBR,Government
81,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,UZB,Universities
82,"University of Maryland, College Park *",USA,Universities
83,Istituto Nazionale di Astrofisica *,ITA,Government
84,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",CHN,Government
85,Qiqihar University,CHN,Universities
86,National Center for Atmospheric Research,USA,Government
87,Harran University,TUR,Universities
88,Harbin Institute of Technology,CHN,Universities
89,University of Oxford *,GBR,Universities
90,Hohai University,CHN,Universities
91,China Aerospace Science and Technology Corp *,CHN,Government
92,Netherlands Environmental Assessment Agency,NLD,Government
93,Alphabet Inc *,MUL,Companies
94,Universite PSL *,FRA,Universities
95,University of New South Wales *,AUS,Universities
96,Nanjing University *,CHN,Universities
97,Peking University Health Science Center,CHN,Universities
98,Nanjing Research Institute of Electronics Technology,CHN,Companies
99,"University of California, Berkeley *",USA,Universities
100,Baidu Inc *,MUL,Companies
101,University of Arizona *,USA,Universities
102,Qingdao National Laboratory for Marine Science and Technology,CHN,Government
103,Columbia University *,USA,Universities
104,Shandong University *,CHN,Universities
105,International Institute for Applied Systems Analysis,AUT,Government
106,"Institute of Process Engineering, Chinese Academy of Sciences",CHN,Government
107,Jilin University *,CHN,Universities
107,Hangzhou Dianzi University,CHN,Universities
109,Chevron Corp,USA,Companies
110,University of Twente,NLD,Universities
111,Princeton University,USA,Universities
112,National University of Defense Technology,CHN,Universities
113,Polish Academy of Sciences *,POL,Government
114,Pennsylvania State University *,USA,Universities
115,"Texas A&M University, College Station *",USA,Universities
116,IBM Research *,MUL,Companies
117,State Grid Hebei Electric Power Research Institute,CHN,Companies
118,Kyiv National University of Trade and Economics,UKR,Universities
119,Hunan University,CHN,Universities
120,Commissariat a l'Energie Atomique et aux Energies Alternatives *,FRA,Government
121,Natural Environment Research Council *,GBR,Government
122,University College London *,GBR,Universities
123,The Manchester Metropolitan University,GBR,Universities
124,Universite de Paris Cite *,FRA,Universities
125,Al Mustaqbal University College,IRQ,Universities
126,Chongqing University,CHN,Universities
127,United States Department of Agriculture,USA,Government
128,"Google Inc, USA",USA,Companies
129,"European Commission - Joint Research Centre Ispra, Italy",ITA,Government
130,Shandong University of Science and Technology,CHN,Universities
131,University of Leeds,GBR,Universities
132,Universidade de Sao Paulo *,BRA,Universities
133,European Commission - Joint Research Centre,MUL,Government
134,Tianjin University *,CHN,Universities
135,Grenoble Images Parole Signal Automatique,FRA,Government
136,"Laboratoire des Sciences de l'Ingenieur, de l'Informatique et de l'Imagerie",FRA,Government
137,Ministry of Ecology and Environment,CHN,Government
138,South Dakota State University,USA,Universities
139,Alibaba Group *,MUL,Companies
140,Kavli Institute for Cosmology,GBR,Government
141,Beijing Institute of Technology,CHN,Universities
142,"Institute of Rock and Soil Mechanics, Chinese Academy of Sciences",CHN,Government
143,Beijing University of Chemical Technology,CHN,Universities
144,Geoforschungszentrum Potsdam,DEU,Government
145,Utrecht University *,NLD,Universities
146,General Electric Company *,MUL,Companies
147,Xi'an Jiaotong University *,CHN,Universities
148,Institut National de Recherche en Informatique et en Automatique *,FRA,Government
149,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
150,China Meteorological Administration,CHN,Government
151,China Southern Power Grid Co Ltd *,CHN,Companies
152,State Key Laboratory of Remote Sensing Science,CHN,Government
153,Ocean University of China,CHN,Universities
154,Universite Paris-Saclay *,FRA,Universities
155,Imperial College London,GBR,Universities
156,Delft University of Technology,NLD,Universities
157,Universite Grenoble-Alpes *,FRA,Universities
158,Southwest Jiaotong University,CHN,Universities
159,"University of California, Los Angeles *",USA,Universities
