Global Rank,Institution,Country,Sector
1,University of Toronto,CAN,Universities
2,"Rutgers, The State University of New Jersey",USA,Universities
3,"University of Michigan, Ann Arbor *",USA,Universities
4,"Northwestern University, Evanston *",USA,Universities
5,University of Melbourne *,AUS,Universities
6,City University of New York *,USA,Universities
7,Columbia University *,USA,Universities
8,The Nottingham Trent University,GBR,Universities
9,Orebro Universitet,SWE,Universities
10,Northwestern Medicine,USA,Health
11,University of Chicago *,USA,Universities
12,Harvard University *,USA,Universities
13,"Monash University, Melbourne *",AUS,Universities
14,"University of California, Berkeley *",USA,Universities
15,The University of British Columbia,CAN,Universities
16,Pennsylvania State University *,USA,Universities
17,"University of California, Los Angeles *",USA,Universities
18,York University,CAN,Universities
19,Michigan State University,USA,Universities
20,Arizona State University *,USA,Universities
21,"University of Minnesota, Twin Cities *",USA,Universities
22,"Ohio State University, Columbus *",USA,Universities
23,University of Washington *,USA,Universities
24,University of Kentucky *,USA,Universities
25,"University of Texas, Austin",USA,Universities
26,University of Oxford *,GBR,Universities
27,Indiana University-Bloomington,USA,Universities
28,University College London *,GBR,Universities
29,University of Amsterdam *,NLD,Universities
30,University of Gothenburg,SWE,Universities
31,"University of North Carolina, Chapel Hill *",USA,Universities
32,Johns Hopkins University *,USA,Universities
33,University of Sydney *,AUS,Universities
34,Brown University,USA,Universities
35,"University of Nebraska, Lincoln",USA,Universities
36,University of New South Wales *,AUS,Universities
37,New York University *,USA,Universities
38,McGill University *,CAN,Universities
39,"University of Wisconsin, Madison *",USA,Universities
40,University of Western Ontario,CAN,Universities
41,Deakin University *,AUS,Universities
42,Yale University *,USA,Universities
43,"University of Tennessee, Knoxville *",USA,Universities
44,Centre National de la Recherche Scientifique *,FRA,Government
45,Columbia University Irving Medical Center,USA,Health
46,University of Pennsylvania *,USA,Universities
47,London School of Economics and Political Science,GBR,Universities
48,University of Ottawa,CAN,Universities
49,University of Oslo,NOR,Universities
50,"Newcastle University, Newcastle upon Tyne",GBR,Universities
51,City University London,GBR,Universities
52,University of Cambridge *,GBR,Universities
53,University of Auckland,NZL,Universities
54,Lunds University,SWE,Universities
55,University of Warwick,GBR,Universities
56,University of Pittsburgh *,USA,Universities
57,University of Leicester,GBR,Universities
58,"Northeastern University, USA",USA,Universities
59,Stockholm University *,SWE,Universities
60,Kings College London,GBR,Universities
61,The University of Edinburgh *,GBR,Universities
62,"University of Maryland, College Park *",USA,Universities
63,University of Bristol *,GBR,Universities
64,La Trobe University *,AUS,Universities
65,The University of Queensland *,AUS,Universities
66,The University of Hong Kong *,HKG,Universities
67,University of Sussex *,GBR,Universities
68,Victoria University of Wellington,NZL,Universities
69,The University of Manchester *,GBR,Universities
70,Universita degli Studi di Roma La Sapienza,ITA,Universities
71,"University of Illinois, Chicago *",USA,Universities
72,University of Florida *,USA,Universities
73,University of Western Sydney,AUS,Universities
74,Queensland University of Technology,AUS,Universities
75,Georgia State University,USA,Universities
76,Veterans Affairs Medical Centers *,USA,Health
77,City University of New York Graduate Center,USA,Universities
78,University of Guelph,CAN,Universities
79,Dalhousie University *,CAN,Universities
80,George Washington University *,USA,Universities
81,"University of California, San Francisco *",USA,Universities
82,University of Utah *,USA,Universities
83,Simon Fraser University,CAN,Universities
84,Emory University *,USA,Universities
85,Universidad Complutense de Madrid *,ESP,Universities
86,The Open University,GBR,Universities
87,Harvard Medical School,USA,Universities
88,University of Southern California *,USA,Universities
89,University of Calgary *,CAN,Universities
90,Universidade de Sao Paulo *,BRA,Universities
91,Tampere University,FIN,Universities
92,McMaster University *,CAN,Universities
92,University of Cincinnati *,USA,Universities
94,"University of Massachusetts, Amherst",USA,Universities
95,Utrecht University *,NLD,Universities
96,University of Arizona *,USA,Universities
97,Universitat de Barcelona *,ESP,Universities
98,Queen's University,CAN,Universities
99,"University of Colorado, Boulder *",USA,Universities
100,Syracuse University,USA,Universities
101,Lancaster University *,GBR,Universities
102,Radboud University Nijmegen,NLD,Universities
103,Towson University,USA,Universities
104,Brigham Young University,USA,Universities
105,University of Alberta,CAN,Universities
106,University of Waikato,NZL,Universities
107,"University of Massachusetts, Boston",USA,Universities
108,Universite du Quebec en Quebec *,CAN,Universities
109,University of Georgia,USA,Universities
110,University of Birmingham,GBR,Universities
111,Universidad de Granada *,ESP,Universities
112,Cardiff University,GBR,Universities
113,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government
