Global Rank,Institution,Country,Sector
1,Harvard University *,USA,Universities
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Harvard Medical School,USA,Universities
4,Chinese Academy of Sciences *,CHN,Government
5,U.S. Department of Health & Human Services *,USA,Health
6,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
7,Johns Hopkins University *,USA,Universities
8,Veterans Affairs Medical Centers *,USA,Health
9,National Institutes of Health,USA,Health
10,Assistance Publique Hopitaux de Paris *,FRA,Health
11,Mayo Clinic *,USA,Health
12,Centre National de la Recherche Scientifique *,FRA,Government
13,Massachusetts General Hospital,USA,Health
14,University of Pennsylvania *,USA,Universities
15,"University of California, San Francisco *",USA,Universities
16,University of Toronto,CAN,Universities
17,Stanford University *,USA,Universities
18,Shanghai Jiao Tong University *,CHN,Universities
19,University College London *,GBR,Universities
20,Brigham and Women's Hospital *,USA,Health
21,Johns Hopkins Medicine,USA,Health
22,University of Washington *,USA,Universities
23,"University of Michigan, Ann Arbor *",USA,Universities
24,Instituto de Salud Carlos III *,ESP,Health
25,Zhejiang University *,CHN,Universities
26,University of Amsterdam *,NLD,Universities
27,Peking University *,CHN,Universities
28,University of Oxford *,GBR,Universities
29,Columbia University *,USA,Universities
30,Vrije Universiteit Amsterdam *,NLD,Universities
31,Yale University *,USA,Universities
32,Fudan University *,CHN,Universities
33,University of Melbourne *,AUS,Universities
34,Cornell University *,USA,Universities
35,Helmholtz Gemeinschaft *,DEU,Government
36,"University of California, Los Angeles *",USA,Universities
37,Duke University *,USA,Universities
38,University of Pennsylvania Health System,USA,Health
39,Sichuan University *,CHN,Universities
40,Centres de Recerca de Catalunya *,ESP,Non-Profit
41,Mount Sinai Health System *,USA,Health
42,"University of California, San Diego *",USA,Universities
43,Imperial College London,GBR,Universities
44,University of Texas M.D. Anderson Cancer Center ,USA,Health
45,University of Sydney *,AUS,Universities
46,Academisch Medisch Centrum,NLD,Health
47,Kings College London,GBR,Universities
48,Yale University Health & Medicine,USA,Health
49,Emory University *,USA,Universities
50,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
51,Huazhong University of Science and Technology *,CHN,Universities
52,Karolinska Institute,SWE,Universities
53,"University of North Carolina, Chapel Hill *",USA,Universities
54,Universidade de Sao Paulo *,BRA,Universities
55,Columbia University Irving Medical Center,USA,Health
56,"Northwestern University, Evanston *",USA,Universities
57,American Cancer Society,USA,Health
