Global Rank,Institution,Country,Sector
1,Ministry of Education of the People's Republic of China,CHN,Government
2,Chinese Academy of Sciences *,CHN,Government
3,U.S. Department of Health & Human Services *,USA,Health
4,National Institutes of Health,USA,Health
5,Centre National de la Recherche Scientifique *,FRA,Government
6,Zhejiang University *,CHN,Universities
7,Harvard University *,USA,Universities
8,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities
9,China Pharmaceutical University,CHN,Universities
10,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
11,Shanghai Jiao Tong University *,CHN,Universities
12,Fudan University *,CHN,Universities
13,University of Chinese Academy of Sciences,CHN,Universities
14,Sichuan University *,CHN,Universities
15,Harvard Medical School,USA,Universities
16,Peking University *,CHN,Universities
17,Sun Yat-Sen University *,CHN,Universities
18,Huazhong University of Science and Technology *,CHN,Universities
19,Instituto de Salud Carlos III *,ESP,Health
20,IBM Research *,MUL,Companies
21,Johns Hopkins University *,USA,Universities
22,Samsung Corp *,MUL,Companies
23,Central South University *,CHN,Universities
24,Veterans Affairs Medical Centers *,USA,Health
25,Jordan University Hospital,JOR,Health
26,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government
27,Universidade de Sao Paulo *,BRA,Universities
28,Consejo Superior de Investigaciones Cientificas *,ESP,Government
29,Shenyang Pharmaceutical University,CHN,Universities
30,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government
31,"University of North Carolina, Chapel Hill *",USA,Universities
32,F Hoffmann-La Roche *,MUL,Companies
33,University College London *,GBR,Universities
34,Jilin University *,CHN,Universities
35,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
36,Shandong University *,CHN,Universities
37,Consiglio Nazionale delle Ricerche *,ITA,Government
38,Tsinghua University *,CHN,Universities
39,Johns Hopkins Medicine,USA,Health
40,Helmholtz Gemeinschaft *,DEU,Government
41,Dana Farber Cancer Institute ,USA,Health
42,Zhengzhou University *,CHN,Universities
43,"University of Michigan, Ann Arbor *",USA,Universities
44,Massachusetts Institute of Technology *,USA,Universities
45,Russian Academy of Sciences *,RUS,Government
46,Xi'an Jiaotong University *,CHN,Universities
47,Tabriz University of Medical Sciences,IRN,Universities
48,Sarah Cannon Research Institute,USA,Health
49,AstraZeneca *,MUL,Companies
50,King Saud University *,SAU,Universities
51,University of Pennsylvania *,USA,Universities
52,Peking University Health Science Center,CHN,Universities
53,GlaxoSmithKline *,MUL,Companies
54,National Cancer Institute,USA,Health
55,Southern Medical University *,CHN,Universities
56,"Monash University, Melbourne *",AUS,Universities
57,University of Oxford *,GBR,Universities
58,Genentech Inc,USA,Companies
59,Memorial Sloan-Kettering Cancer Center,USA,Health
60,West China Hospital,CHN,Health
61,Universita degli Studi di Napoli Federico II,ITA,Universities
62,Stanford University *,USA,Universities
63,"Hoffmann-La Roche Ltd, United States",USA,Companies
64,Yale University *,USA,Universities
65,Cancer Research Institute Ghent,BEL,Health
66,University of Toronto,CAN,Universities
67,Wistar Institute,USA,Health
68,Jinan University *,CHN,Universities
69,The University of Queensland *,AUS,Universities
70,Mashhad University of Medical Sciences,IRN,Universities
71,Seoul National University *,KOR,Universities
72,Pfizer *,MUL,Companies
73,Universidade do Porto *,PRT,Universities
74,University of Washington *,USA,Universities
75,Universita degli Studi di Milano,ITA,Universities
76,German Cancer Consortium,DEU,Government
77,Tehran University of Medical Sciences *,IRN,Universities
78,National University of Singapore *,SGP,Universities
79,Queen Mary Hospital Hong Kong,HKG,Health
80,"Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences",CHN,Government
81,"University of California, Los Angeles *",USA,Universities
82,Imperial College London,GBR,Universities
83,Catholic University of Leuven,BEL,Universities
84,Robert H. Lurie Comprehensive Cancer Center,USA,Health
85,Scripps Research Institute,USA,Health
86,"University of California, San Diego *",USA,Universities
87,University of Pennsylvania Health System,USA,Health
88,Massachusetts General Hospital,USA,Health
89,US Food and Drug Administration,USA,Government
90,Cornell University *,USA,Universities
91,Assistance Publique Hopitaux de Paris *,FRA,Health
92,University of Copenhagen,DNK,Universities
93,Broad Institute of MIT and Harvard,USA,Health
94,Capital University of Medical Sciences *,CHN,Universities
95,"University of California, San Francisco *",USA,Universities
96,"University of Minnesota, Twin Cities *",USA,Universities
97,Universite de Paris Cite *,FRA,Universities
98,"Southeast University, Nanjing *",CHN,Universities
99,Columbia University *,USA,Universities
100,Mount Sinai Health System *,USA,Health
101,National Institute of Allergy and Infectious Diseases,USA,Health
102,Cancer Research UK,GBR,Health
103,Brigham and Women's Hospital *,USA,Health
104,City of Hope,USA,Health
105,Tongji University *,CHN,Universities
105,University of Texas M.D. Anderson Cancer Center ,USA,Health
107,Duke University *,USA,Universities
108,Leiden University *,NLD,Universities
109,Utrecht University *,NLD,Universities
110,Bristol-Myers Squibb Company *,MUL,Companies
111,Nanjing Medical University *,CHN,Universities
112,Council of Scientific and Industrial Research *,IND,Government
113,University of Melbourne *,AUS,Universities
114,Nanjing University *,CHN,Universities
115,Yale University Health & Medicine,USA,Health
116,Sanford Burnham Prebys Medical Discovery Institute,USA,Health
117,Centres de Recerca de Catalunya *,ESP,Non-Profit
118,"Soochow University, Suzhou *",CHN,Universities
119,Wuhan University *,CHN,Universities
120,Chongqing University of Education,CHN,Universities
121,Centro Nacional de Biotecnologia,ESP,Government
122,University of Florida *,USA,Universities
123,Emory University *,USA,Universities
124,Zhejiang University of Technology,CHN,Universities
125,Cairo University *,EGY,Universities
126,Johnson & Johnson *,MUL,Companies
127,Merck & Co Inc *,MUL,Companies
128,Medical Research Council,GBR,Health
129,"Agency for Science, Technology and Research Singapore *",SGP,Government
129,Shahid Beheshti University of Medical Sciences and Health Services *,IRN,Universities
131,Fundacion Agencia Aragonesa para la Investigacion y Desarrollo,ESP,Government
132,Wenzhou Medical University *,CHN,Universities
133,Sorbonne Universite *,FRA,Universities
134,"Pfizer Inc, United States",USA,Companies
135,Shanghai Cancer Institute,CHN,Health
136,Mayo Clinic *,USA,Health
137,Shanghai University of Traditional Chinese Medicine *,CHN,Universities
138,National Institute of Diabetes and Digestive and Kidney Diseases,USA,Health
139,Deutsches Krebsforschungszentrum,DEU,Government
140,Institute of Cancer Research,GBR,Health
141,"GlaxoSmithKline, United States",USA,Companies
