Global Rank,Institution,Country,Sector
1,Chinese Academy of Sciences *,CHN,Government
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Centre National de la Recherche Scientifique *,FRA,Government
4,Russian Academy of Sciences *,RUS,Government
5,Tsinghua University *,CHN,Universities
6,Google International LLC,MUL,Companies
7,University of Chinese Academy of Sciences,CHN,Universities
8,Helmholtz Gemeinschaft *,DEU,Government
9,Max Planck Gesellschaft *,DEU,Government
10,Alphabet Inc *,MUL,Companies
11,Harvard University *,USA,Universities
12,"Google Inc, USA",USA,Companies
13,Broad Institute of MIT and Harvard,USA,Health
14,Massachusetts Institute of Technology *,USA,Universities
15,IBM United States,USA,Companies
16,Microsoft Corp *,MUL,Companies
17,IBM Research *,MUL,Companies
18,Fred Hutchinson Cancer Research Center *,USA,Health
19,State Grid Corporation of China *,CHN,Companies
20,IBM Switzerland,CHE,Companies
21,"Institute of Biophysics, Chinese Academy of Sciences",CHN,Government
22,National Institutes of Health,USA,Health
23,Zhejiang University *,CHN,Universities
24,UCLA Health System,USA,Health
25,Brigham and Women's Hospital *,USA,Health
26,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities
27,Harvard Medical School,USA,Universities
28,Flanders Interuniversity Institute for Biotechnology *,BEL,Government
29,Shanghai Jiao Tong University *,CHN,Universities
30,Peking University *,CHN,Universities
31,National Institute of Allergy and Infectious Diseases,USA,Health
32,Howard Hughes Medical Institute *,USA,Health
33,Dana Farber Cancer Institute ,USA,Health
34,Novo Nordisk *,MUL,Companies
35,Stanford University *,USA,Universities
36,IBM Thomas J Watson Research Center,USA,Companies
37,Huazhong University of Science and Technology *,CHN,Universities
38,"Microsoft, USA",USA,Companies
39,Consejo Superior de Investigaciones Cientificas *,ESP,Government
40,AstraZeneca *,MUL,Companies
41,Facebook Inc *,MUL,Companies
42,Samsung Corp *,MUL,Companies
43,Novo Nordisk A/S,DNK,Companies
44,Huawei Technologies Co Ltd *,MUL,Companies
45,Harbin Institute of Technology,CHN,Universities
46,University of Science and Technology of China *,CHN,Universities
47,"Intel Corp, USA",USA,Companies
48,Johns Hopkins Medicine,USA,Health
49,UC San Diego Health System,USA,Health
49,F Hoffmann-La Roche *,MUL,Companies
51,Shanghai Sixth People's Hospital,CHN,Health
52,Medical Research Council,GBR,Health
53,Ruijin Hospital,CHN,Health
54,"University of California, Berkeley *",USA,Universities
55,University of Tokyo *,JPN,Universities
56,Children's Hospital Boston  *,USA,Health
57,Tianjin University *,CHN,Universities
58,Wellcome Trust Sanger Institute,GBR,Health
59,University of Cambridge *,GBR,Universities
60,European Molecular Biology Laboratory Heidelberg,DEU,Government
61,University of Oxford *,GBR,Universities
62,University of Electronic Science and Technology of China *,CHN,Universities
63,Harran University,TUR,Universities
64,California Institute of Technology *,USA,Universities
65,Northwestern Medicine,USA,Health
66,Nanjing Drum Tower Hospital,CHN,Health
67,University of Pennsylvania Health System,USA,Health
68,Xi'an Jiaotong University *,CHN,Universities
69,National University of Singapore *,SGP,Universities
69,U.S. Department of Health & Human Services *,USA,Health
71,Boston University Medical Campus ,USA,Health
72,Swiss Institute of Bioinformatics,CHE,Non-Profit
73,"Nokia Bell Labs, United States",USA,Companies
74,Stanford Medicine,USA,Health
75,Columbia University Irving Medical Center,USA,Health
76,Chan Zuckerberg Biohub,USA,Health
77,Massachusetts General Hospital,USA,Health
78,Veterans Affairs Medical Centers *,USA,Health
79,"Nokia, United States",USA,Companies
80,Weill Cornell Medicine,USA,Universities
81,National Aeronautics and Space Administration *,USA,Government
82,Nokia Corp *,MUL,Companies
83,BeiHang University *,CHN,Universities
84,Cancer Research UK,GBR,Health
85,Swiss Federal Institute of Technology,CHE,Universities
86,Yale University Health & Medicine,USA,Health
87,Consiglio Nazionale delle Ricerche *,ITA,Government
88,Beth Israel Deaconess Medical Center,USA,Health
89,"Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences",CHN,Government
90,Istituto Nazionale di Fisica Nucleare *,ITA,Government
91,Emory Healthcare,USA,Health
92,Renji Hospital,CHN,Health
93,Mount Sinai Health System *,USA,Health
94,Jilin University *,CHN,Universities
95,South China University of Technology,CHN,Universities
96,Walter and Eliza Hall Institute of Medical Research,AUS,Health
97,Institut Pasteur de Paris,FRA,Health
98,Universite Paris-Saclay *,FRA,Universities
99,German Cancer Consortium,DEU,Government
100,Second Military Medical University *,CHN,Universities
101,Wuhan Union Hospital,CHN,Health
102,Woodruff Health Sciences Center,USA,Health
103,European Molecular Biology Organization *,DEU,Government
104,Institut Catala de la Salut Barcelona *,ESP,Health
105,Royal Netherlands Academy of Arts and Sciences *,NLD,Government
106,Assistance Publique Hopitaux de Paris *,FRA,Health
107,Intel Corp *,MUL,Companies
108,University Medical Center Utrecht,NLD,Health
109,Columbia University *,USA,Universities
110,University Medical Center Groningen,NLD,Health
111,National Cancer Institute,USA,Health
112,Deutsches Krebsforschungszentrum,DEU,Government
113,Commissariat a l'Energie Atomique et aux Energies Alternatives *,FRA,Government
114,"Huawei Software Technology Co Ltd, China",CHN,Companies
115,Tencent Holdings Ltd *,MUL,Companies
116,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
117,Wuhan University *,CHN,Universities
118,"Southeast University, Nanjing *",CHN,Universities
119,Imperial College London,GBR,Universities
120,Nanyang Technological University *,SGP,Universities
121,CareGroup Healthcare System *,USA,Health
122,Shanghai Tenth People's Hospital,CHN,Health
123,Montefiore Medical Center *,USA,Health
124,National Center for Nanoscience and Technology of China,CHN,Government
125,Instituto de Salud Carlos III *,ESP,Health
126,Universitatsklinikum Erlangen,DEU,Health
127,"University of California, Los Angeles *",USA,Universities
128,University College London *,GBR,Universities
129,Central South University *,CHN,Universities
130,University of Washington *,USA,Universities
131,Lawrence Berkeley National Laboratory *,USA,Government
132,Universitatsklinikum Freiburg,DEU,Health
132,National Renewable Energy Laboratory,USA,Government
134,University of Texas M.D. Anderson Cancer Center ,USA,Health
135,Shanghai Cancer Center Fudan University,CHN,Health
136,McGill University Health Centre,CAN,Health
136,The Francis Crick Institute,GBR,Health
138,Vector Institute for Artificial Intelligence,CAN,Non-Profit
139,Berlin Institute of Health,DEU,Health
140,"Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences",CHN,Government
141,"University of Michigan, Ann Arbor *",USA,Universities
142,Cornell University *,USA,Universities
143,Sorbonne Universite *,FRA,Universities
144,Universitatsklinikum Tubingen,DEU,Health
145,Max-Delbruck-Centrum fur Molekulare Medizin ,DEU,Government
146,Sun Yat-Sen University *,CHN,Universities
147,Albert Einstein College of Medicine,USA,Universities
148,Johns Hopkins University *,USA,Universities
149,Sun Yat-sen University Cancer Center,CHN,Health
150,ZTE Corp *,MUL,Companies
151,Beijing Institute of Technology,CHN,Universities
152,"University of Texas, Health Science Center at Houston",USA,Universities
153,Georgia Institute of Technology *,USA,Universities
154,"University of California, San Francisco *",USA,Universities
155,Mayo Clinic *,USA,Health
156,University of Southern California Health Sciences Campus,USA,Health
157,Centre Hospitalier Universitaire Vaudois ,CHE,Health
158,Center for Life Sciences,CHN,Government
159,University of New South Wales *,AUS,Universities
159,University of Massachusetts Medical School,USA,Universities
161,University of Pennsylvania *,USA,Universities
161,Institucio Catalana de Recerca i Estudis Avancats,ESP,Government
163,Fudan University *,CHN,Universities
