Global Rank,Institution,Country,Sector
1,U.S. Department of Health & Human Services *,USA,Health
2,Ministry of Education of the People's Republic of China,CHN,Government
3,Chinese Academy of Sciences *,CHN,Government
4,Harvard University *,USA,Universities
5,Johns Hopkins University *,USA,Universities
6,Centers for Disease Control and Prevention,USA,Health
7,Center for Disease Control and Prevention China,CHN,Health
8,London School of Hygiene and Tropical Medicine,GBR,Universities
9,World Health Organization *,MUL,Health
10,University of Washington *,USA,Universities
11,National Institutes of Health,USA,Health
12,"University of North Carolina, Chapel Hill *",USA,Universities
13,University of Toronto,CAN,Universities
14,"University of Michigan, Ann Arbor *",USA,Universities
15,Columbia University *,USA,Universities
16,"University of California, San Francisco *",USA,Universities
17,Harvard Medical School,USA,Universities
18,University of Melbourne *,AUS,Universities
19,University of Oxford *,GBR,Universities
20,University College London *,GBR,Universities
21,Veterans Affairs Medical Centers *,USA,Health
22,Universidade de Sao Paulo *,BRA,Universities
23,University of Sydney *,AUS,Universities
24,"World Health Organization, Switzerland",CHE,Health
25,Instituto de Salud Carlos III *,ESP,Health
26,Fundacao Oswaldo Cruz *,BRA,Health
27,Peking University *,CHN,Universities
28,University of New South Wales *,AUS,Universities
29,Emory University *,USA,Universities
30,State Grid Corporation of China *,CHN,Companies
31,Yale University *,USA,Universities
32,"University of California, Los Angeles *",USA,Universities
33,"Monash University, Melbourne *",AUS,Universities
34,Centre National de la Recherche Scientifique *,FRA,Government
35,Zhejiang University *,CHN,Universities
36,Institut National de la Sante et de la Recherche Medicale *,FRA,Health
37,Columbia University Irving Medical Center,USA,Health
38,Imperial College London,GBR,Universities
39,University of Chinese Academy of Sciences,CHN,Universities
40,The University of Queensland *,AUS,Universities
41,The University of British Columbia,CAN,Universities
42,Central South University *,CHN,Universities
43,Tehran University of Medical Sciences *,IRN,Universities
44,Boston University *,USA,Universities
45,Ministry of Agriculture,CHN,Government
46,National Institute of Allergy and Infectious Diseases,USA,Health
47,Tsinghua University *,CHN,Universities
48,Woodruff Health Sciences Center,USA,Health
49,Vrije Universiteit Amsterdam *,NLD,Universities
50,Yale University Health & Medicine,USA,Health
51,Medical Research Council,GBR,Health
52,University of Amsterdam *,NLD,Universities
53,Karolinska Institute,SWE,Universities
54,Centres de Recerca de Catalunya *,ESP,Non-Profit
55,Shandong University *,CHN,Universities
56,Stanford University *,USA,Universities
57,McGill University *,CAN,Universities
58,Duke University *,USA,Universities
59,"University of Minnesota, Twin Cities *",USA,Universities
60,National University of Singapore *,SGP,Universities
61,Johns Hopkins Medicine,USA,Health
62,Tongji University *,CHN,Universities
62,University of Pennsylvania *,USA,Universities
64,Quchan University of Technology,IRN,Universities
65,Huazhong University of Science and Technology *,CHN,Universities
66,New York University *,USA,Universities
67,Shanghai Jiao Tong University *,CHN,Universities
68,Sun Yat-Sen University *,CHN,Universities
69,Kings College London,GBR,Universities
70,Boston University Medical Campus ,USA,Health
71,Erasmus University Rotterdam *,NLD,Universities
72,Harbin Institute of Technology,CHN,Universities
73,University of Florida *,USA,Universities
74,University of Michigan Health System,USA,Health
75,"University of California, Berkeley *",USA,Universities
76,The University of Hong Kong *,HKG,Universities
77,Wuhan University *,CHN,Universities
78,"Institute of Process Engineering, Chinese Academy of Sciences",CHN,Government
79,Fudan University *,CHN,Universities
80,East China Jiaotong University,CHN,Universities
81,Utrecht University *,NLD,Universities
82,The University of Edinburgh *,GBR,Universities
83,University of Southern California *,USA,Universities
84,Peking University Health Science Center,CHN,Universities
85,Hebei University of Technology,CHN,Universities
86,Cornell University *,USA,Universities
87,China Three Gorges University,CHN,Universities
88,Brown University,USA,Universities
89,"Ohio State University, Columbus *",USA,Universities
90,"University of California, San Diego *",USA,Universities
91,Sichuan University *,CHN,Universities
92,Erasmus Medical Center,NLD,Health
93,Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS,ITA,Health
94,Jiangsu Academy of Agricultural Sciences *,CHN,Government
95,South China University of Technology,CHN,Universities
96,Centre International de Recherche en Infectiologie,FRA,Government
97,King Saud University *,SAU,Universities
98,"Northwestern University, Evanston *",USA,Universities
99,Maejo University,THA,Universities
100,"University of Colorado, Denver *",USA,Universities
101,Institut Pasteur de Tunis,TUN,Health
102,Chinese Academy of Agricultural Sciences *,CHN,Government
103,University of Cambridge *,GBR,Universities
104,Academisch Medisch Centrum,NLD,Health
105,George Washington University *,USA,Universities
106,Nanjing University *,CHN,Universities
107,Samsung Corp *,MUL,Companies
108,"University of the Witwatersrand, Johannesburg",ZAF,Universities
109,"Southeast University, Nanjing *",CHN,Universities
110,Pennsylvania State University *,USA,Universities
111,University of Alberta,CAN,Universities
112,Beijing Academy of Science and Technology *,CHN,Government
113,"Institute of Soil Science, Chinese Academy of Sciences",CHN,Government
114,University of Ottawa,CAN,Universities
115,University of Cape Town,ZAF,Universities
116,Centro de Investigacion Biomedica en Red de Epidemiologia y Salud Publica,ESP,Health
117,University of Copenhagen,DNK,Universities
