9, Google International LLC
11, U.S. Department of Health & Human Services *
17, DeepMind Technologies Ltd, UK
18, Facebook Inc *
22, The New York Genome Center
26, Alphabet Inc *
27, Parker Institute for Cancer Immunotherapy
36, European Bioinformatics Institute EMBL
37, Google Inc, USA
39, Veterans Affairs Medical Centers *
42, Baidu Inc *
45, Adobe Research, USA
50, Samsung Corp *
52, National Center for Biotechnology Information
54, NVIDIA Corp
57, Central South University *
58, Facebook Inc, United States
59, Whitehead Institute for Biomedical Research
62, Tencent America Llc
68, Broad Institute of MIT and Harvard
71, Inception Institute of Artificial Intelligence
72, Microsoft Research Asia, China
85, Johns Hopkins Medicine
89, Ragon Institute of MGH, MIT and Harvard
92, Baidu Inc, United States
95, Adobe Inc *
98, Centres de Recerca de Catalunya *
105, Ludwig Institute for Cancer Research Lausanne
106, Harvard-MIT Division of Health Sciences and Tecnology
107, University of Minnesota, Twin Cities *
123, Tencent Holdings Ltd *
126, Sarah Cannon Research Institute
130, Catholic University of Leuven
131, Adobe Inc, USA
132, Intel Labs, USA
134, Regeneron Pharmaceuticals Inc *
137, European Molecular Biology Organization *
140, Mount Sinai Health System *
144, University of Pennsylvania Health System
146, Chan Zuckerberg Biohub
151, Genentech Inc
153, Amazon.com, Inc *
156, Microsoft Research Redmond, USA
158, Ludwig Institute for Cancer Research *
161, University of Texas M.D. Anderson Cancer Center 
164, Yale University Health & Medicine
169, Wuhan Institute of Virology, Chinese Academy of Sciences
172, Hoffmann-La Roche Ltd, United States
182, Mitsubishi Electric Corp, USA
195, Taiwan Semiconductor Manufacturing Company Ltd.
202, Intel Corp *
207, Tencent Holdings Ltd, China
210, Nokia Corp *
215, Rutgers, The State University of New Jersey
217, Huawei Technologies Ltd, Germany
218, Institute for Health Metrics and Evaluation
220, Baidu Inc, China
224, Frederick National Laboratory for Cancer Research
229, Intel Corp, USA
231, Huawei Software Technology Co Ltd, China
234, IBM Thomas J Watson Research Center
237, Vector Institute for Artificial Intelligence
240, Chinese Academy of Medical Sciences and Peking Union Medical College *
243, UCSF Helen Diller Family Comprehensive Cancer Center
246, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences
251, UCLA Health System
253, Singapore-MIT Alliance
255, Universita degli Studi di Napoli Federico II
256, Vall d��Hebron Instituto de Oncologia
262, Biogen Inc *
263, Robert H. Lurie Comprehensive Cancer Center
264, Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *
265, Erasmus Medical Center
274, Doe Joint Genome Institute
277, L'Alma Mater Studiorum - Universita di Bologna
278, Guangzhou Institute of Biomedicine and Health, Chinese Academy of Sciences
280, Centro de Investigacion Biomedica en Red de Cancer, Barcelona
292, Biogen Inc, USA
293, Joint BioEnergy Institute
297, University Medical Center Utrecht
299, Gilead Sciences Inc, United States
310, Agency for Science, Technology and Research Singapore *
315, Hoffmann-La Roche, GmbH., Germany
317, Wageningen University and Research Centre
319, Institute of Automation, Chinese Academy of Sciences
320, Flanders Interuniversity Institute for Biotechnology *
322, Peking University Health Science Center
324, Queen Mary, University of London
326, National Institute on Aging
337, Novartis Institutes for Biomedical Research, Switzerland
339, National Institute of Arthritis and Musculoskeletal and Skin Diseases
342, Mitsubishi Electric Corp
344, Leiden University Medical Center
349, Vancouver Prostate Centre
351, The Rockefeller University *
354, Swiss Institute of Bioinformatics
358, Forschungszentrum fur Molekulare Medizin der Osterreichischen Akademie der Wissenschaften
359, National Institute of Dental and Craniofacial Research
361, German Cancer Consortium
367, The Buck Institute for Research on Aging
374, University Medical Center Groningen
387, Radboud University Nijmegen Medical Centre
389, Toyota Motor Corp, USA
391, National Institute of Diabetes and Digestive and Kidney Diseases
392, Copenhagen University Hospital
394, Max Planck Institut fur Biologie Tubingen
397, University of Colorado, Anschutz Medical Campus
398, Canadian Institute for Advanced Research
399, Institute of Biophysics, Chinese Academy of Sciences
402, Fondazione Telethon *
406, Japan Agency for Medical Research and Development
407, Philips Research, Eindhoven
408, Nokia Bell Labs, United States
413, Sony Corp *
414, Koninklijke Philips NV *
415, University Health Network *
416, Tianjin Institute of Industrial Biotechnology
422, Commissariat a l'Energie Atomique et aux Energies Alternatives *
438, Saudi Arabian Oil Co, USA
439, NIHR Oxford Biomedical Research Centre
442, Institute of Chemistry, Chinese Academy of Sciences
444, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences
446, Amazon.com Inc, United States
452, St Jude Childrens Research Hospital
